LL	EH L
BACKFILL	B AE K F IH L
BACKFILLED	B AE K F IH L D
BACKFILLING	B AE K F IH L IH NG
BACKFILLS	B AE K F IH L Z
BACKPEDALLED	B AE K P EH D AH L D
BACKPEDALLING	B AE K P EH D AH L IH NG
BACTERIALLY	B AE K T IH R IY AH L IY
BACTERICIDALLY	B AE K T AH R IH S AH D AE L IY
BACTERIOCHLOROPHYLL	B AE K T IY R IY AH K L AO R AH F AH L
BACTERIOCHLOROPHYLLS	B AE K T IY R IY AH K L AO R AH F AH L Z
BACTERIOLOGICALLY	B AE K T IY R IY AH L AA JH AH K AE L IY
BAGATELLE	B AE G AH T EH L
BAGATELLES	B AE G AH T EH L Z
BALEFULLY	B EY L F AH L IY
BALL	B AO L
BALLAD	B AE L AH D
BALLADE	B AH L AA D
BALLADEER	B AE L AH D IH R
BALLADEERS	B AE L AH D IH R Z
BALLADES	B AO L EY D Z
BALLADIC	B AE L AH D IH K
BALLADIST	B AE L AH D IH S T
BALLADISTS	B AE L AH D IH S T S
BALLADRIES	B AE L AH D R IY Z
BALLADRY	B AE L AH D R IY
BALLADS	B AE L AH D Z
BALLAST	B AE L AH S T
BALLASTED	B AE L AH S T IH D
BALLASTING	B AE L AH S T IH NG
BALLASTS	B AE L AH S T S
BALLASTS(2)	B AE L AH S
BALLCARRIER	B AO L K AE R IY ER
BALLCARRIERS	B AO L K AE R IY ER Z
BALLED	B AO L D
BALLER	B AO L ER
BALLERINA	B AE L ER IY N AH
BALLERINAS	B AE L ER IY N AH Z
BALLERS	B AO L ER Z
BALLET	B AE L EY
BALLETIC	B AE L EY IH K
BALLETOMANE	B AE L EH T AH M EY N
BALLETOMANES	B AE L EH T AH M EY N Z
BALLETOMANIA	B AE L AH T AH M EY N Y AH
BALLETOMANIAS	B AE L AH T AH M EY N Y AH Z
BALLETS	B AE L EY Z
BALLGAME	B AO L G EY M
BALLGAMES	B AO L G EY M Z
BALLHANDLING	B AO L HH AE N D L IH NG
BALLHANDLINGS	B AO L HH AE N D L IH NG Z
BALLHAWK	B AO L HH AO K
BALLHAWKS	B AO L HH AO K S
BALLIES	B AO L IY Z
BALLING	B AO L IH NG
BALLISTA	B AE L IH S T AH
BALLISTAE	B AE L IH S T IY
BALLISTIC	B AH L IH S T IH K
BALLISTICALLY	B AH L IH S T IH K AH L IY
BALLISTICS	B AH L IH S T IH K S
BALLON	B AE L AH N
BALLONET	B AE L AH N AH T
BALLONETS	B AE L AH N AH T S
BALLONNE	B AE L AH N
BALLONNES	B AE L AH N Z
BALLONS	B AO L AO N Z
BALLOON	B AH L UW N
BALLOONED	B AH L UW N D
BALLOONING	B AH L UW N IH NG
BALLOONINGS	B AH L UW N IH NG Z
BALLOONIST	B AH L UW N IH S T
BALLOONISTS	B AH L UW N IH S T S
BALLOONS	B AH L UW N Z
BALLOT	B AE L AH T
BALLOTED	B AE L AH T IH D
BALLOTER	B AE L AH T ER
BALLOTERS	B AE L AH T ER Z
BALLOTING	B AE L AH T IH NG
BALLOTS	B AE L AH T S
BALLPARK	B AO L P AA R K
BALLPARKS	B AO L P AA R K S
BALLPLAYER	B AO L P L EY ER
BALLPLAYERS	B AO L P L EY ER Z
BALLPOINT	B AO L P OY N T
BALLPOINTS	B AO L P OY N T S
BALLROOM	B AO L R UW M
BALLROOMS	B AO L R UW M Z
BALLS	B AO L Z
BALLSIER	B AO L Z IY ER
BALLSIEST	B AO L Z IY AH S T
BALLSY	B AO L Z IY
BALLUTE	B IY AH L UW T
BALLUTES	B IY AH L UW T S
BALLY	B AE L IY
BALLY(2)	B EY L IY
BALLYHOO	B AE L IY HH UW
BALLYHOOED	B AE L IY HH UW D
BALLYHOOING	B AE L IY HH UW IH NG
BALLYHOOS	B AE L IY HH UW Z
BALLYRAG	B AO L IY R AE G
BALLYRAGGED	B AO L IY R AE G AH D
BALLYRAGGING	B AO L IY R AE G IH NG
BALLYRAGS	B AO L IY R AE G Z
BANALLY	B EY N AH L IY
BANDERILLA	B AE N D AH R IH L AH
BANDERILLAS	B AE N D AH R IH L AH Z
BANDERILLERO	B AE N D AH R IH L AH R OW
BANDERILLEROS	B AE N D ER IH L ER AA S
BANEFULLY	B EY N F AH L IY
BANKROLL	B AE NG K R OW L
BANKROLLED	B AE NG K R OW L D
BANKROLLER	B AE NG K R OW L ER
BANKROLLERS	B AE NG K R OW L ER Z
BANKROLLING	B AE NG K R OW L IH NG
BANKROLLS	B AE NG K R OW L Z
BAPTISMALLY	B AE P T IH Z M AH L IY
BARBARICALLY	B AA R B AE R IH K AH L IY
BARBELL	B AA R B EH L
BARBELLS	B AA R B EH L Z
BARCAROLLE	B AA R K AH R AH L
BARCAROLLES	B AA R K AH R AH L Z
BARGELLO	B AA R JH EH L OW
BARGELLOS	B AA R JH EH L AH Z
BARILLA	B AH R IH L AH
BARILLAS	B AH R IH L AH Z
BAROMETRICALLY	B AE R AH M EH T R IH K AH L IY
BARRELLED	B AE R AH L D
BARRELLING	B AE R AH L IH NG
BASALLY	B EY S AH L IY
BASEBALL	B EY S B AO L
BASEBALLS	B EY S B AO L Z
BASHFULLY	B AE SH F AH L IY
BASICALLY	B EY S IH K L IY
BASIPETALLY	B AH S IH P AH T AE L IY
BASKETBALL	B AE S K AH T B AO L
BASKETBALLS	B AE S K AH T B AO L Z
BASTILLE	B AE S T IH L
BASTILLES	B AE S T AH L Z
BATHETICALLY	B AH TH EH T AH K AE L IY
BATHYMETRICALLY	B EY DH IY M EH T R IH K AH L IY
BDELLIUM	B D EH L IY AH M
BDELLIUMS	B D EH L IY AH M Z
BEADROLL	B IY D R OW L
BEADROLLS	B IY D R OW L Z
BEANBALL	B IY N B AO L
BEANBALLS	B IY N B AO L Z
BEATIFICALLY	B IY AH T IH F IH K AH L IY
BEAUTIFULLY	B Y UW T AH F L IY
BECUDGELLED	B IH K AH JH AH L D
BECUDGELLING	B IH K AH JH AH L IH NG
BEDELL	B EH D AH L
BEDELLS	B IH D EH L Z
BEDEVILLED	B IH D EH V AH L D
BEDEVILLING	B IH D IY V IH L IH NG
BEDFELLOW	B EH D F EH L OW
BEDFELLOWS	B EH D F EH L OW Z
BEDRIVELLED	B IH D R IH V AH L D
BEDRIVELLING	B IH D R AH V EH L AH NG
BEDROLL	B EH D R OW L
BEDROLLS	B EH D R OW L Z
BEFALL	B IH F AO L
BEFALLEN	B AH F AA L AH N
BEFALLING	B IH F AO L IH NG
BEFALLS	B IH F AO L Z
BEFELL	B IH F EH L
BEGALL	B IH G AO L
BEGALLED	B IH G AO L D
BEGALLING	B IH G AE L IH NG
BEGALLS	B IH G AO L Z
BEHAVIORALLY	B IY HH EY V Y ER AH L IY
BEJEWELLED	B IH JH UW AH L D
BEJEWELLING	B IH JH UW AH L IH NG
BELL	B EH L
BELLADONNA	B EH L AH D AA N AH
BELLADONNAS	B EH L AH D AA N AH Z
BELLBIRD	B EH L B ER D
BELLBIRDS	B EH L B ER D Z
BELLBOY	B EH L B OY
BELLBOYS	B EH L B OY Z
BELLE	B EH L
BELLED	B EH L D
BELLEEK	B IH L IY K
BELLEEKS	B IH L IY K S
BELLES	B EH L Z
BELLETRIST	B IH L EH T R AH S T
BELLETRISTIC	B IH L EH T R AH S T AH K
BELLETRISTS	B IH L EH T R AH S T S
BELLFLOWER	B EH L F L AW ER
BELLFLOWERS	B EH L F L AW ER Z
BELLHOP	B EH L HH AA P
BELLHOPS	B EH L HH AA P S
BELLICOSE	B EH L AH K OW S
BELLICOSELY	B IH L AH K OW Z L IY
BELLICOSITIES	B EH L IH K AA S AH T IY Z
BELLICOSITY	B EH L IH K AA S AH T IY
BELLIED	B EH L IY D
BELLIES	B EH L IY Z
BELLIGERENCE	B AH L IH JH ER AH N S
BELLIGERENCES	B AH L IH JH ER AH N S IH Z
BELLIGERENCIES	B AH L IH JH ER AH N S IY Z
BELLIGERENCY	B AH L IH JH ER AH N S IY
BELLIGERENT	B AH L IH JH ER AH N T
BELLIGERENTLY	B AH L IH JH ER AH N T L IY
BELLIGERENTS	B AH L IH JH ER AH N T S
BELLING	B EH L IH NG
BELLMAN	B EH L M AH N
BELLMEN	B EH L M EH N
BELLOW	B EH L OW
BELLOWED	B EH L OW D
BELLOWER	B EH L OW ER
BELLOWERS	B EH L OW ER Z
BELLOWING	B EH L OW IH NG
BELLOWS	B EH L OW Z
BELLPULL	B EH L P UH L
BELLPULLS	B EH L P UH L Z
BELLS	B EH L Z
BELLWETHER	B EH L W EH DH ER
BELLWETHERS	B EH L W EH DH ER Z
BELLWORT	B IH L W AH R T
BELLWORTS	B IH L W AH R T S
BELLY	B EH L IY
BELLYACHE	B EH L IY EY K
BELLYACHED	B EH L IY EY K T
BELLYACHER	B EH L IY EY K ER
BELLYACHERS	B EH L IY EY K ER Z
BELLYACHES	B EH L IY EY K S
BELLYACHING	B EH L IY EY K IH NG
BELLYBAND	B EH L IY B AE N D
BELLYBANDS	B EH L IY B AE N D Z
BELLYBUTTON	B EH L IY B AH T AH N
BELLYBUTTONS	B EH L IY B AH T AH N Z
BELLYFUL	B EH L IY F AH L
BELLYFULS	B EH L IY F AH L Z
BELLYING	B EH L IY IH NG
BEMEDALLED	B IH M EH D AH L D
BENEFICIALLY	B EH N AH F IH SH AH L IY
BERYLLIUM	B ER IH L IY AH M
BERYLLIUMS	B AH R IH L IY AH M Z
BESTIALLY	B EH S CH AH L IY
BESTSELLER	B EH S T S EH L ER
BESTSELLER(2)	B EH S EH L ER
BESTSELLERDOM	B EH S T S EH L ER D AH M
BESTSELLERDOMS	B EH S T S EH L ER D AH M Z
BESTSELLERS	B EH S T S EH L ER Z
BESTSELLERS(2)	B EH S EH L ER Z
BEVELLED	B EH V AH L D
BEVELLER	B EH V AH L ER
BEVELLERS	B EH V AH L ER Z
BEVELLING	B EH V AH L IH NG
BIANNUALLY	B AY AE N Y AH W AH L IY
BIAXIALLY	B AY AE K S IY AH L IY
BIBLICALLY	B IH B L IH K AH L IY
BIBLIOGRAPHICALLY	B IH B L IY AH G R AE F IH K AH L IY
BIDIRECTIONALLY	B AY D AH R EH K SH AH N AH L IY
BIDONVILLE	B AY D AA N V AH L
BIDONVILLES	B AY D AA N V AH L Z
BIENNIALLY	B AY EH N IY AH L IY
BIFACIALLY	B AY F EY SH AH L IY
BIFLAGELLATE	B AY F L AE JH AH L AH T
BILATERALLY	B AY L AE T ER AH L IY
BILINGUALLY	B AY L IH NG G W AH L IY
BILL	B IH L
BILLABLE	B IH L AH B AH L
BILLABONG	B IH L AH B AA NG
BILLABONGS	B IH L AH B AA NG Z
BILLBOARD	B IH L B AO R D
BILLBOARDED	B IH L B OW R D IH D
BILLBOARDING	B IH L B OW R D IH NG
BILLBOARDS	B IH L B AO R D Z
BILLBUG	B IH L B AH G
BILLBUGS	B IH L B AH G Z
BILLED	B IH L D
BILLER	B IH L ER
BILLERS	B IH L ER Z
BILLET	B IH L AH T
BILLET(2)	B IH L IH T
BILLETED	B IH L AH T IH D
BILLETER	B IH L IY T ER
BILLETERS	B IH L AH T ER Z
BILLETING	B IH L AH T IH NG
BILLETS	B IH L AH T S
BILLFISH	B IH L F IH SH
BILLFISHES	B IH L F IH SH IH Z
BILLFOLD	B IH L F OW L D
BILLFOLDS	B IH L F OW L D Z
BILLHEAD	B IH L HH EH D
BILLHEADS	B IH L HH EH D Z
BILLHOOK	B IH L HH UH K
BILLHOOKS	B IH L HH UH K S
BILLIARD	B IH L Y ER D
BILLIARDS	B IH L Y ER D Z
BILLIE	B IH L IY
BILLIES	B IH L IY Z
BILLING	B IH L IH NG
BILLINGS	B IH L IH NG Z
BILLINGSGATE	B IH L IH NG Z G EY T
BILLINGSGATES	B IH L IH NG Z G EY T S
BILLION	B IH L Y AH N
BILLIONAIRE	B IH L Y AH N EH R
BILLIONAIRES	B IH L Y AH N EH R Z
BILLIONS	B IH L Y AH N Z
BILLIONTH	B IH L Y AH N TH
BILLIONTHS	B IH L Y AH N TH S
BILLON	B IH L AH N
BILLONS	B IH L AO N Z
BILLOW	B IH L OW
BILLOWED	B IH L OW D
BILLOWIER	B IH L OW IY ER
BILLOWIEST	B IH L OW IY AH S T
BILLOWING	B IH L OW IH NG
BILLOWS	B IH L OW Z
BILLOWY	B IH L OW IY
BILLS	B IH L Z
BILLY	B IH L IY
BILLYCAN	B IH L IY K AE N
BILLYCANS	B IH L IY K AE N Z
BILLYCOCK	B IH L IY K AA K
BILLYCOCKS	B IH L IY K AA K S
BIMANUALLY	B AY M AE N Y AH W AH L IY
BIMETALLIC	B AY M AH T AE L IH K
BIMETALLICS	B AY M AH T AE L IH K S
BIMETALLISM	B AY M EH T AH L IH Z AH M
BIMETALLISMS	B AY M EH T AH L IH Z AH M Z
BIMETALLIST	B AY M EH T AH L IH S T
BIMETALLISTIC	B AY M EH T AH L IH S T IH K
BIMETALLISTS	B AY M EH T AH L IH S T S
BIMILLENARIES	B AY M IH L AH N EH R IY Z
BIMILLENARY	B AY M IH L AH N EH R IY
BIMILLENNIAL	B AY M IH L AH N IY AH L
BIMILLENNIALS	B AY M IH L AH N IY AH L Z
BINAURALLY	B IH N AO R AH L IY
BINOMIALLY	B AY N OW M IY AH L IY
BIOCHEMICALLY	B AY OW K EH M IH K AH L IY
BIOGENETICALLY	B AY AH JH AH N EH T AH K AE L IY
BIOGRAPHICALLY	B AY AH G R AE F IH K AH L IY
BIOLOGICALLY	B AY AH L AA JH IH K L IY
BIOMECHANICALLY	B AY AH M AH CH AE N AH K AE L IY
BIOSOCIALLY	B AY AH S OW S IY AE L IY
BIOSYNTHETICALLY	B AY AH S IH N TH EH T AH K AE L IY
BIPARENTALLY	B AY P AH R EH N T AH L IY
BIPEDALLY	B AY P EH D AH L IY
BIPROPELLANT	B AY P R OW P EH L AH N T
BIPROPELLANTS	B AY P R OW P EH L AH N T S
BIRDCALL	B ER D K AO L
BIRDCALLS	B ER D K AO L Z
BISECTIONALLY	B AY S EH K SH AH N AH L IY
BISEXUALLY	B AY S EH K SH AH W AH L IY
BLACKBALL	B L AE K B AO L
BLACKBALLED	B L AE K B AO L D
BLACKBALLING	B L AE K B AO L IH NG
BLACKBALLS	B L AE K B AO L Z
BLACKPOLL	B L AE K P OW L
BLACKPOLLS	B L AE K P OW L Z
BLAMEFULLY	B L EY M F AH L IY
BLELLUM	B L EH L AH M
BLELLUMS	B L EH L AH M Z
BLISSFULLY	B L IH S F AH L IY
BLOWBALL	B L OW B AO L
BLOWBALLS	B L OW B AO L Z
BLUEBALL	B L UW B AO L
BLUEBALLS	B L UW B AO L Z
BLUEBELL	B L UW B EH L
BLUEBELLS	B L UW B EH L Z
BLUEBILL	B L UW B IH L
BLUEBILLS	B L UW B IH L Z
BLUEGILL	B L UW G IH L
BLUEGILLS	B L UW G IH L Z
BOASTFULLY	B OW S T F AH L IY
BOATBILL	B OW T B IH L
BOATBILLS	B OW T B IH L Z
BOLL	B OW L
BOLLARD	B AA L ER D
BOLLARDS	B AA L AH R D Z
BOLLED	B AA L D
BOLLING	B OW L IH NG
BOLLIX	B AA L AH K S
BOLLIXED	B AA L AH K S T
BOLLIXES	B AA L AH K S
BOLLIXING	B AA L IH K S AH NG
BOLLOCKS	B AA L AH K S
BOLLOX	B AA L AH K S
BOLLOXED	B AA L AH K S T
BOLLOXES	B AA L AH K S
BOLLOXING	B AA L AA K S AH NG
BOLLS	B OW L Z
BOLLWORM	B AA L W AH R M
BOLLWORMS	B AA L W AH R M Z
BOLOMETRICALLY	B OW L OW M EH T R IH K AH L IY
BOMBASTICALLY	B AA M B AE S T IH K AH L IY
BOMBSHELL	B AA M SH EH L
BOMBSHELLS	B AA M SH EH L Z
BONSPELL	B AA N S AH L
BONSPELLS	B AA N S AH L Z
BOOKSELLER	B UH K S EH L ER
BOOKSELLERS	B UH K S EH L ER Z
BOOKSELLING	B UH K S EH L IH NG
BOOKSELLINGS	B UH K S EH L IH NG Z
BOOKSTALL	B UH K S T AO L
BOOKSTALLS	B UH K S T AO L Z
BORDELLO	B AO R D EH L OW
BORDELLOS	B IY ER D EH L AA S
BOTANICALLY	B AH T AE N AH K AH L IY
BOTANICALLY(2)	B AH T AE N AH K L IY
BOUGAINVILLAEA	B AW G EY N V IH L IY AH
BOUGAINVILLAEAS	B AW G EY N V IH L IY AH Z
BOUGAINVILLEA	B UW G EY N V IH L IY AH
BOUGAINVILLEAS	B AW G EY N V IH L IY Z
BOUILLABAISSE	B AW IH L AH B EY S
BOUILLABAISSES	B AW IH L AH B EY S AH Z
BOUILLON	B UW W IH L AH N
BOUILLONS	B AW IH L AH N Z
BOULLE	B UW L
BOULLES	B UW L Z
BOUNTIFULLY	B AW N T IY F AH L IY
BOWELLED	B AW AH L D
BOWELLESS	B AW AH L AH S
BOWELLING	B AW AH L IH NG
BOWLLIKE	B OW L AY K
BRAILLE	B R EY L
BRAILLED	B R EY L D
BRAILLES	B R EY L Z
BRAILLEWRITER	B R EY L R AY T ER
BRAILLEWRITERS	B R EY L R AY T ER Z
BRAILLING	B R EY L IH NG
BRAILLIST	B R EY L IH S T
BRAILLISTS	B R EY L IH S T S
BRIDALLY	B R AY D AH L IY
BRIDEWELL	B R AY D W EH L
BRIDEWELLS	B R AY D W EH L Z
BRILL	B R IH L
BRILLIANCE	B R IH L Y AH N S
BRILLIANCES	B R IH L Y AH N S IH Z
BRILLIANCIES	B R IH L Y AH N S IY Z
BRILLIANCY	B R IH L Y AH N S IY
BRILLIANT	B R IH L Y AH N T
BRILLIANTINE	B R IH L IY AH N T AY N
BRILLIANTINES	B R IH L IY AH N T AY N Z
BRILLIANTLY	B R IH L Y AH N T L IY
BRILLIANTS	B R IH L Y AH N T S
BRILLS	B R IH L Z
BRIMFULL	B R IH M F UH L
BROCATELLE	B R AA K AH T AH L
BROCATELLES	B R AA K AH T AH L Z
BROLLIES	B R AA L AY Z
BROLLY	B R AA L IY
BRONCHIALLY	B R AA N K AY AH L IY
BROOMBALL	B R UW M B AO L
BROOMBALLER	B R UW M B AO L ER
BROOMBALLERS	B R UW M B AO L ER Z
BROOMBALLS	B R UW M B AO L Z
BRUCELLA	B R UW S EH L AH
BRUCELLAE	B R UW S EH L IY
BRUCELLAS	B R UW S EH L AH Z
BRUCELLOSES	B R UW S AH L OW Z AH Z
BRUCELLOSIS	B R UW S AH L OW S AH S
BRUTALLY	B R UW T AH L IY
BRYOPHYLLUM	B R AY AH F IH L AH M
BRYOPHYLLUMS	B R AY AH F IH L AH M Z
BUCCALLY	B AH K AE L IY
BUCKMINSTERFULLERENE	B AH K M AH N S T AH R F UH L AH R IY N
BUCKMINSTERFULLERENES	B AH K M AH N S T AH R F UH L AH R IY N Z
BUCKYBALL	B AH K IY B AO L
BUCKYBALLS	B AH K IY B AO L Z
BUCOLICALLY	B Y UW K AA L IH K AH L IY
BULL	B UH L
BULLA	B UH L AH
BULLACE	B UH L EY S
BULLACES	B UH L EY S IH Z
BULLAE	B UH L IY
BULLATE	B UH L AH T
BULLBAITING	B UH L B EY T IH NG
BULLBAITINGS	B UH L B EY T IH NG Z
BULLBAT	B UH L B AE T
BULLBATS	B UH L B AE T S
BULLDOG	B UH L D AO G
BULLDOGGED	B UH L D AO G AH D
BULLDOGGER	B UH L D AO G ER
BULLDOGGERS	B UH L D AO G ER Z
BULLDOGGING	B UH L D AO G IH NG
BULLDOGGINGS	B UH L D AO G IH NG Z
BULLDOGS	B UH L D AO G Z
BULLDOZE	B UH L D OW Z
BULLDOZED	B UH L D OW Z D
BULLDOZER	B UH L D OW Z ER
BULLDOZERS	B UH L D OW Z ER Z
BULLDOZES	B UH L D OW Z IH Z
BULLDOZING	B UH L D OW Z IH NG
BULLED	B UH L D
BULLET	B UH L AH T
BULLETED	B UH L AH T IH D
BULLETIN	B UH L IH T AH N
BULLETINED	B UH L AH T AH N D
BULLETING	B UH L AH T IH NG
BULLETINING	B UH L AH T AH N IH NG
BULLETINS	B UH L AH T AH N Z
BULLETPROOF	B UH L AH T P R UW F
BULLETS	B UH L AH T S
BULLFIGHT	B UH L F AY T
BULLFIGHTER	B UH L F AY T ER
BULLFIGHTERS	B UH L F AY T ER Z
BULLFIGHTING	B UH L F AY T IH NG
BULLFIGHTINGS	B UH L F AY T IH NG Z
BULLFIGHTS	B UH L F AY T Z
BULLFINCH	B UH L F IH N CH
BULLFINCHES	B UH L F IH N CH IH Z
BULLFROG	B UH L F R AO G
BULLFROGS	B UH L F R AO G Z
BULLHEAD	B UH L HH EH D
BULLHEADED	B UH L HH EH D IH D
BULLHEADEDLY	B UH L HH EH D AH D L IY
BULLHEADEDNESS	B UH L HH EH D AH D N AH S
BULLHEADEDNESSES	B UH L HH EH D AH D N AH S IH Z
BULLHEADS	B UH L HH EH D Z
BULLHORN	B UH L HH AO R N
BULLHORNS	B UH L HH AO R N Z
BULLIED	B UH L IY D
BULLIER	B UH L IY ER
BULLIES	B UH L IY Z
BULLIEST	B UH L IY AH S T
BULLING	B UH L IH NG
BULLION	B UH L Y AH N
BULLIONS	B UH L Y AH N Z
BULLISH	B UH L IH SH
BULLISHLY	B UH L IH SH L IY
BULLISHNESS	B UH L IH SH N AH S
BULLISHNESSES	B UH L IH SH N AH S IH Z
BULLMASTIFF	B UH L M AE S T AH F
BULLMASTIFFS	B UH L M AE S T AH F S
BULLNECK	B UH L N EH K
BULLNECKED	B UH L N EH K T
BULLNECKS	B UH L N EH K S
BULLNOSE	B UH L N OW Z
BULLNOSES	B UH L N OW Z IH Z
BULLOCK	B UH L AH K
BULLOCKS	B UH L AH K S
BULLOCKY	B UH L AA K IY
BULLOUS	B UH L AH S
BULLPEN	B UH L P EH N
BULLPENS	B UH L P EH N Z
BULLPOUT	B UH L P AW T
BULLPOUTS	B UH L P AW T S
BULLRING	B UH L R IH NG
BULLRINGS	B UH L R IH NG Z
BULLRUSH	B UH L R AH SH
BULLRUSHES	B UH L R AH SH IH Z
BULLS	B UH L Z
BULLSHIT	B UH L SH IH T
BULLSHITS	B UH L SH IH T S
BULLSHITTED	B UH L SH IH T IH D
BULLSHITTING	B UH L SH IH T IH NG
BULLSHOT	B UH L SH AA T
BULLSHOTS	B UH L SH AA T S
BULLTERRIER	B UH L T EH R IY ER
BULLTERRIERS	B UH L T EH R IY ER Z
BULLWEED	B UH L W IY D
BULLWEEDS	B UH L W IY D Z
BULLWHIP	B UH L W IH P
BULLWHIPPED	B UH L W IH P T
BULLWHIPPING	B UH L W IH P IH NG
BULLWHIPS	B UH L W IH P S
BULLY	B UH L IY
BULLYBOY	B UH L IY B OY
BULLYBOYS	B UH L IY B OY Z
BULLYING	B UH L IY IH NG
BULLYRAG	B UH L IY R AE G
BULLYRAGGED	B UH L IY R AE G AH D
BULLYRAGGING	B UH L IY R AE G IH NG
BULLYRAGS	B UH L IY R AE G Z
BUREAUCRATICALLY	B Y UH R AH K R AE T IH K AH L IY
BUSHELLED	B UH SH AH L D
BUSHELLING	B UH SH AH L IH NG
BUTTERBALL	B AH T ER B AO L
BUTTERBALLS	B AH T ER B AO L Z
BUTTONBALL	B AH T AH N B AO L
BUTTONBALLS	B AH T AH N B AO L Z
CABALLED	K AE B AH L D
CABALLERO	K AE B AH Y EH R OW
CABALLEROS	K AE B AH L ER AA S
CABALLING	K AE B AH L IH NG
CABRILLA	K AE B R IH L AH
CABRILLAS	K AE B R IH L AH Z
CADASTRALLY	K AH D AE S T R AE L IY
CADELLE	K AE D AH L
CADELLES	K AE D AH L Z
CAECALLY	K IY K AE L IY
CALL	K AO L
CALLA	K AE L AH
CALLABLE	K AO L AH B AH L
CALLALOO	K AE L AH L UW
CALLALOOS	K AE L AH L UW Z
CALLAN	K AE L AH N
CALLANS	K AE L AH N Z
CALLANT	K AO L AH N T
CALLANTS	K AO L AH N T S
CALLAS	K AE L AH Z
CALLBACK	K AO L B AE K
CALLBACKS	K AO L B AE K S
CALLBOY	K AO L B OY
CALLBOYS	K AO L B OY Z
CALLED	K AO L D
CALLER	K AO L ER
CALLERS	K AO L ER Z
CALLET	K AE L AH T
CALLETS	K AE L AH T S
CALLIGRAPHER	K AH L IH G R AH F ER
CALLIGRAPHERS	K AH L IH G R AH F ER Z
CALLIGRAPHIC	K AE L AH G R AE F IH K
CALLIGRAPHICALLY	K AE L IH G R AE F AH K AE L IY
CALLIGRAPHIES	K AH L IH G R AH F IY Z
CALLIGRAPHIST	K AE L IH G R AH F AH S T
CALLIGRAPHISTS	K AE L IH G R AH F AH S T S
CALLIGRAPHY	K AH L IH G R AH F IY
CALLING	K AO L IH NG
CALLINGS	K AO L IH NG Z
CALLIOPE	K AH L AY AH P IY
CALLIOPES	K AH L AY AH P IY Z
CALLIPEE	K AE L AH P IY IY
CALLIPEES	K AE L AH P IY Z
CALLIPER	K AE L AY P AH R
CALLIPERED	K AE L AH P IY R D
CALLIPERING	K AE L AH P IY R AH NG
CALLIPERS	K AE L AH P AH R Z
CALLIPYGIAN	K AE L IH P AH JH AH N
CALLIPYGOUS	K AE L IH P AH G AH S
CALLITHUMP	K AE L AH TH AH M P
CALLITHUMPIAN	K AE L AH TH AH M P IY AH N
CALLITHUMPS	K AE L AH TH AH M P S
CALLOSE	K AE L OW Z
CALLOSES	K AO L AA S IH Z
CALLOSITIES	K AO L AA S AH T IY Z
CALLOSITY	K AO L AA S AH T IY
CALLOUS	K AE L AH S
CALLOUSED	K AE L AH S T
CALLOUSES	K AE L AH S IH Z
CALLOUSING	K AE L AH S IH NG
CALLOUSLY	K AE L AH S L IY
CALLOUSNESS	K AE L AH S N AH S
CALLOUSNESSES	K AE L AH S N AH S IH Z
CALLOW	K AE L OW
CALLOWER	K AO L OW ER
CALLOWEST	K AO L OW AH S T
CALLOWNESS	K AO L OW N AH S
CALLOWNESSES	K AO L OW N AH S IH Z
CALLS	K AO L Z
CALLUS	K AE L AH S
CALLUSED	K AE L AH S T
CALLUSES	K AE L AH S IH Z
CALLUSING	K AE L AH S IH NG
CALORICALLY	K AH L AO R IH K AH L IY
CALORIMETRICALLY	K AH L AO R AH M EH T R IH K AH L IY
CAMARILLA	K AE M AH R IH L AH
CAMARILLAS	K AE M AH R IH L AH Z
CAMELLIA	K AH M IY L Y AH
CAMELLIAS	K AH M IY L Y AH Z
CANAILLE	K AH N EY L
CANAILLES	K AH N EY L Z
CANALLED	K AH N AE L D
CANALLER	K AH N AE L ER
CANALLERS	K AH N AE L ER Z
CANALLING	K AH N AE L IH NG
CANCELLABLE	K AE N S AH L AH B AH L
CANCELLATION	K AE N S AH L EY SH AH N
CANCELLATIONS	K AE N S AH L EY SH AH N Z
CANCELLED	K AE N S AH L D
CANCELLER	K AE N S AH L ER
CANCELLERS	K AE N S AH L ER Z
CANCELLING	K AE N S AH L IH NG
CANCELLING(2)	K AE N S L IH NG
CANCELLOUS	K AE N S AH L AH S
CANELLA	K AH N EH L AH
CANELLAS	K AH N EH L AH Z
CANNELLONI	K AE N EH L AH N IY
CANNONBALL	K AE N AH N B AO L
CANNONBALLED	K AE N AH N B AO L D
CANNONBALLING	K AE N AH N B AO L IH NG
CANNONBALLS	K AE N AH N B AO L Z
CANONICALLY	K AE N AH N IH K AH L IY
CANTILLATE	K AE N T IH L AH T
CANTILLATED	K AE N T IH L EY T IH D
CANTILLATES	K AE N T IH L AH T S
CANTILLATING	K AE N T IH L EY T IH NG
CANTILLATION	K AE N T IH L EY SH AH N
CANTILLATIONS	K AE N T IH L EY SH AH N Z
CAPERCAILLIE	K AE P AH R K EY L AY
CAPERCAILLIES	K AH P AH R K EY L AY Z
CAPILLARIES	K AE P AH L EH R IY Z
CAPILLARITIES	K AE P IH L ER AH T IY Z
CAPILLARITY	K AE P IH L ER AH T IY
CAPILLARY	K AE P AH L EH R IY
CAPITALISTICALLY	K AE P AH T AH L IH S T IH K AH L IY
