CI	S IY
BRECCIAL	B R EH K S IY AH L
BRECCIAS	B R EH K S IY AH Z
BRECCIATE	B R EH K S AY EY T
BRECCIATED	B R EH K S AY EY T AH D
BRECCIATES	B R EH K S AY EY T S
BRECCIATING	B R EH K S AY EY T AH NG
BRECCIATION	B R EH K S AY EY SH AH N
BRECCIATIONS	B R EH K S IY EY T IY AH N Z
BREVETCIES	B R AH V EH T S AY Z
BRILLIANCIES	B R IH L Y AH N S IY Z
BROMOURACIL	B R AH M AH R AH S AH L
BROMOURACILS	B R AA M AH Y UH R AH S AH L Z
BRUCIN	B R UW S AH N
BRUCINE	B R UW S AY N
BRUCINES	B R UW S AY N Z
BRUCINS	B R UW S AH N Z
BUCCINATOR	B AH K S AH N EY T AH R
BUCCINATORS	B AH K S IH N AH T AH R Z
BUOYANCIES	B OY AH N S IY Z
BUREAUCRACIES	B Y UH R AA K R AH S IY Z
CACCIATORE	K AA CH AH T AO R IY
CACIQUE	K AH S IY K
CACIQUES	K AE S AH K S
CACIQUISM	K AE S AH K W IH Z AH M
CACIQUISMS	K AH S IH K W AH Z AH M Z
CADENCIES	K EY D AH N S IY Z
CADENCING	K EY D AH N S IH NG
CADUCITIES	K AE D Y UW S AH T AY Z
CADUCITY	K AE D Y UW S AH T IY
CAECILIAN	K IY S IH L IY AH N
CAECILIANS	K IY S IH L IY AH N Z
CALCIC	K AE L S IH K
CALCICOLE	K AE L S AH K OW L
CALCICOLES	K AE L S AH K OW L Z
CALCICOLOUS	K AE L S IH K AH L AH S
CALCIFEROL	K AE L S IH F AH R AH L
CALCIFEROLS	K AE L S IH F AH R AH L Z
CALCIFEROUS	K AE L S IH F AH R AH S
CALCIFIC	K AE L S IH F AH K
CALCIFICATION	K AE L S AH F AH K EY SH AH N
CALCIFICATIONS	K AE L S AH F AH K EY SH AH N Z
CALCIFIED	K AE L S AH F AY D
CALCIFIES	K AE L S AH F AY Z
CALCIFUGE	K AE L S AH F Y UW JH
CALCIFUGES	K AE L S AH F Y UW JH AH Z
CALCIFUGOUS	K AE L S AH F Y UW G AH S
CALCIFY	K AE L S AH F AY
CALCIFYING	K AE L S AH F AY IH NG
CALCIMINE	K AE L S AH M AY N
CALCIMINED	K AE L S AH M AY N D
CALCIMINES	K AE L S AH M AY N Z
CALCIMINING	K AE L S AH M AY N AH NG
CALCINATION	K AE L S AH N EY SH AH N
CALCINATIONS	K AE L S AH N EY T IY AH N Z
CALCINE	K AE L S AY N
CALCINED	K AE L S AY N D
CALCINES	K AE L S AY N Z
CALCINING	K AE L S AY N AH NG
CALCINOSES	K AE L S AH N OW Z AH Z
CALCINOSIS	K AE L S AH N OW S AH S
CALCITE	K AE L S AY T
CALCITES	K AE L S AY T S
CALCITIC	K AE L S AH T AH K
CALCITONIN	K AE L S IY T AH N IH N
CALCITONINS	K AE L S IY T AH N IH N Z
CALCIUM	K AE L S IY AH M
CALCIUMS	K AE L S IY AH M Z
CALYCINE	K AE L AH S AY N
CANDIDACIES	K AE N D AH D AH S IY Z
CANONICITIES	K AE N AH N IH K S AH T IY Z
CANONICITY	K AE N AH N IH K S AH T IY
CANTATRICI	K AE N T AE T R AH S IY
CAPACIOUS	K AH P EY SH AH S
CAPACIOUSLY	K AH P EY SH AH S L IY
CAPACIOUSNESS	K AH P EY SH AH S N AH S
CAPACIOUSNESSES	K AH P EY SH AH S N AH S IH Z
CAPACITANCE	K AH P AE S AH T AH N S
CAPACITANCES	K AH P AE S AH T AH N S IH Z
CAPACITATE	K AH P AE S AH T AH T
CAPACITATED	K AH P AE S AH T EY T IH D
CAPACITATES	K AH P AE S AH T AH T S
CAPACITATING	K AH P AE S AH T EY T IH NG
CAPACITATION	K AH P AE S AH T EY SH AH N
CAPACITATIONS	K AH P AE S AH T EY SH AH N Z
CAPACITIES	K AH P AE S AH T IY Z
CAPACITIES(2)	K AH P AE S IH T IY Z
CAPACITIVE	K AH P AE S AH T IH V
CAPACITIVELY	K AH P AE S AH T IH V L IY
CAPACITOR	K AH P AE S AH T ER
CAPACITORS	K AH P AE S AH T ER Z
CAPACITORS(2)	K AH P AE S IH T ER Z
CAPACITY	K AH P AE S AH T IY
CAPACITY(2)	K AH P AE S IH T IY
CAPPUCCINO	K AE P UW CH IY N OW
CAPPUCCINOS	K AE P AH K S AH N AH Z
CAPRICCI	K AE P R IH K S IY
CAPRICCIO	K AE P R IH K S IY OW
CAPRICCIOS	K AE P R IH K S IY AH Z
CAPRICIOUS	K AH P R IH SH AH S
CAPRICIOUSLY	K AH P R IH SH IH S L IY
CAPRICIOUSNESS	K AH P R IH SH AH S N AH S
CAPRICIOUSNESSES	K AH P R IH SH AH S N AH S IH Z
CAPSAICIN	K AE P S EY S AH N
CAPSAICINS	K AE P S EY S AH N Z
CAPSICIN	K AE P S IH K IH N
CAPSICINS	K AE P S IH K IH N Z
CAPTAINCIES	K AE P T AH N S IY Z
CARCINOGEN	K AA R S IH N AH JH AH N
CARCINOGENESES	K AA R S AH N AA JH AH N IY Z AH Z
CARCINOGENESIS	K AA R S AH N AH JH IY N AH S AH S
CARCINOGENIC	K AA R S AH N OW JH EH N IH K
CARCINOGENICITIES	K AA R S IH N AH JH AH N IH S AH T AY Z
CARCINOGENICITY	K AA R S AH N AA JH AH N IH S AH T IY
CARCINOGENS	K AA R S IH N AH JH AH N Z
CARCINOID	K AA R S AH N OY D
CARCINOIDS	K AA R S AH N OY D Z
CARCINOMA	K AA R S AH N OW M AH
CARCINOMAS	K AA R S AH N OW M AH Z
CARCINOMATA	K AA R S AH N AA M AH T AH
CARCINOMATOSES	K AA R S AH N AA M AH T OW Z AH Z
CARCINOMATOSIS	K AA R S IH N AH M AH T OW S AH S
CARCINOMATOUS	K AA R S AH N AA M AH T AH S
CARCINOSARCOMA	K AA R S AH N AH S AA R K AH M AH
CARCINOSARCOMAS	K AA R S AH N AH S AA R K AH M AH Z
CARCINOSARCOMATA	K AA R S IH N AH S AH R K AA M AH T AH
CARDIOTHORACIC	K AA R D IY AA TH AH R AH S AH K
CARPACCIO	K AA R P AE K S IY OW
CARPACCIOS	K AA R P AE K S IY AH Z
CATFACING	K AE T F EY S IH NG
CATFACINGS	K AE T F EY S IH NG Z
CATHOLICITIES	K AE TH L IH K AH T IY Z
CATHOLICITY	K AE TH L IH K AH T IY
CATHOLICIZE	K AE TH L IH K AY Z
CATHOLICIZED	K AE TH L IH K AY Z D
CATHOLICIZES	K AE TH L IH K AY Z IH Z
CATHOLICIZING	K AE TH L IH K AY Z IH NG
CAUSTICITIES	K AO S T IH S AH T AY Z
CAUSTICITY	K AO S T IH S AH T IY
CELIBACIES	S AH L IH B AH S AY Z
CENOSPECIES	S AH N AA S AH S AY Z
CENTRICITIES	S EH N T R IH K AH T IY Z
CENTRICITY	S EH N T R IH K AH T IY
CERAMICIST	S AH R AE M IH K IH S T
CERAMICISTS	S AH R AE M IH K IH S T S
CERCI	S AH R S IY
CERCIS	S AH R S AH S
CERCISES	S AH R S AY Z AH Z
CERVICITIS	S AH R V AH S AY T AH S
CERVICITISES	S AH R V IH S AH T AY Z AH Z
CHALCID	CH AE L S AH D
CHALCIDS	CH AE L S AH D Z
CHALCOCITE	CH AE L K AH S AY T
CHALCOCITES	CH AE L K AH S AY T S
CHANCIER	CH AE N S IY ER
CHANCIEST	CH AE N S IY AH S T
CHANCILY	CH AE N S IY L IY
CHANCINESS	CH AE N S IY N AH S
CHANCINESSES	CH AE N S IY N AH S IH Z
CHANCING	CH AE N S IH NG
CHAPLAINCIES	CH AE P L EY N S AY Z
CHARACID	CH AA R AE S AH D
CHARACIDS	CH AA R AE S AH D Z
CHARACIN	CH AE R AH S AH N
CHARACINS	CH AE R AH S AH N Z
CHATOYANCIES	CH AE T OY AE N S AY Z
CHIEFTAINCIES	CH IY F T EY N S AY Z
CHIROMANCIES	CH IH R AH M AE N S AY Z
CHOLECALCIFEROL	CH AA L AH K AH L S IH F AH R AH L
CHOLECALCIFEROLS	CH AA L AH K AH L S IH F AH R AH L Z
CHORIOCARCINOMA	CH AH R IY AH K AH R S IH N AH M AH
CHORIOCARCINOMAS	CH AH R IY AH K AH R S IH N AH M AH Z
CHORIOCARCINOMATA	CH AH R IY AH K AA R S AH N AA M AH T AH
CHROMATICISM	K R OW M AE T IH K IH Z AH M
CHROMATICISMS	K R OW M AE T IH K IH Z AH M Z
CHROMATICITIES	K R OW M AE T IH K AH T IY Z
CHROMATICITY	K R OW M AE T IH K AH T IY
CHRONICITIES	K R AA N IH K AH T IY Z
CHRONICITY	K R AA N IH K AH T IY
CIAO	CH AW
CIBOL	S IH B AH L
CIBOLS	S IH B AH L Z
CIBORIA	S AH B AO R IY AH
CIBORIUM	S AH B AO R IY AH M
CIBOULE	S IH B OW UW L
CIBOULES	S IH B OW AH L Z
CICADA	S AH K EY D AH
CICADAE	S IH K AH D IY
CICADAS	S IH K EY D AH Z
CICALA	S IH K AA L AH
CICALAS	S IH K AH L AH Z
CICALE	S AH K EY L
CICATRICES	S AH K AE T R AH S
CICATRICIAL	S AH K AE T R IH S IY AH L
CICATRIX	S AH K AE T R AH K S
CICATRIXES	S AH K AE T R AH K S
CICATRIZATION	S AH K AE T R AH Z EY SH AH N
CICATRIZATIONS	S AH K AE T R AH Z EY T IY AH N Z
CICATRIZE	S IH K AH T R AY Z
CICATRIZED	S IH K AH T R AY Z D
CICATRIZES	S IH K AH T R AY Z AH Z
CICATRIZING	S IH K AH T R AY Z AH NG
CICELIES	S IH S AH L AY Z
CICELY	S IH S AH L IY
CICERO	S IH S ER OW
CICERONE	S IH S ER OW N
CICERONES	S IH S AH R OW N Z
CICERONI	S AH S EH R AH N IY
CICEROS	S IH S AH R AH Z
CICHLID	S IH K L AH D
CICHLIDAE	S IH K L AH D IY
CICHLIDS	S IH K L AH D Z
CICISBEI	S AH S IH Z IY
CICISBEISM	S AH S IH Z IY IH Z AH M
CICISBEISMS	S IH S AH Z IY Z AH M Z
CICISBEO	S AH S IH Z IY OW
CICISBEOS	S AH S IH Z IY AH Z
CICOREE	S IH K AH R IY IY
CICOREES	S IH K AH R IY Z
CIDER	S AY D ER
CIDERS	S AY D ER Z
CIG	S IH G
CIGAR	S IH G AA R
CIGARET	S IH G AH R EH T
CIGARETS	S IH G AH R EH T S
CIGARETTE	S IH G AH R EH T
CIGARETTES	S IH G AH R EH T S
CIGARILLO	S IH G AH R IH L OW
CIGARILLOS	S IH G AA R IH L AA S
CIGARS	S IH G AA R Z
CIGS	S IH G Z
CIGUATERA	S IH G W AA T AH R AH
CIGUATERAS	S IH G W AA T AH R AH Z
CILANTRO	S IH L AE N T R OW
CILANTROS	S AH L AE N T R AH Z
CILIA	S IH L Y AH
CILIARY	S IH L AY EH R IY
CILIATE	S IH L IY EY T
CILIATED	S IH L IY EY T IH D
CILIATES	S IH L IY AH T S
CILIATION	S IH L IY EY SH AH N
CILIATIONS	S IH L IY EY SH AH N Z
CILICE	S IH L AH S
CILICES	S IH L AH S
CILIUM	S IH L IY AH M
CIMBALOM	S IH M B AH L AH M
CIMBALOMS	S IH M B AH L AH M Z
CIMETIDINE	S AH M EH T AH D AY N
CIMETIDINES	S AH M EH T AH D AY N Z
CIMEX	S IH M AH K S
CIMICES	S IH M AH S
CINCH	S IH N CH
CINCHED	S IH N CH T
CINCHES	S IH N CH IH Z
CINCHING	S IH N CH IH NG
CINCHONA	S IH NG K AH N AH
CINCHONAS	S IH NG K AH N AH Z
CINCHONINE	S IH NG K AH N AY N
CINCHONINES	S IH NG K AH N AY N Z
CINCHONISM	S IH N CH AO N IH Z AH M
CINCHONISMS	S IH N CH AO N IH Z AH M Z
CINCTURE	S IH NG K T Y AH R
CINCTURED	S IH NG K T Y AH R D
CINCTURES	S IH NG K T Y AH R Z
CINCTURING	S IH NG K T Y AH R AH NG
CINDER	S IH N D ER
CINDERBLOCK	S IH N D ER B L AA K
CINDERBLOCKS	S IH N D ER B L AA K S
CINDERED	S IH N D ER D
CINDERING	S IH N D ER IH NG
CINDERS	S IH N D ER Z
CINDERY	S IH N D ER IY
CINE	S AY N
CINEAST	S AH N IY S T
CINEASTE	S AH N IY S T
CINEASTES	S AH N IY S T S
CINEASTS	S AH N IY S T S
CINEMA	S IH N AH M AH
CINEMAGOER	S IH N AH M AH G OW ER
CINEMAGOERS	S IH N AH M AH G OW ER Z
CINEMAS	S IH N AH M AH Z
CINEMATHEQUE	S AH N EH M AH TH AH K
CINEMATHEQUES	S AH N EH M AH TH AH K S
CINEMATIC	S IH N AH M AE T IH K
CINEMATICALLY	S IH N AH M AE T IH K AH L IY
CINEMATIZE	S AH N EH M AH T AY Z
CINEMATIZED	S AH N EH M AH T AY Z D
CINEMATIZES	S AH N EH M AH T AY Z AH Z
CINEMATIZING	S AH N EH M AH T AY Z AH NG
CINEMATOGRAPH	S IH N AH M AH T AA G R AH F
CINEMATOGRAPHER	S IH N IH M AH T AA G R AH F ER
CINEMATOGRAPHERS	S IH N AH M AH T AA G R AH F AH R Z
CINEMATOGRAPHIC	S IH N AH M AH T AA G R AH F AH K
CINEMATOGRAPHICALLY	S AH N EH M AH T AA G R AE F AH K AE L IY
CINEMATOGRAPHIES	S IH N AH M AH T AA G R AH F AY Z
CINEMATOGRAPHS	S IH N AH M AH T AA G R AH F S
CINEMATOGRAPHY	S IH N IH M AH T AA G R AH F IY
CINEOL	S IH N IY AH L
CINEOLE	S IH N IY OW L
CINEOLES	S IH N IY OW L Z
CINEOLS	S IH N IY AH L Z
CINEPLEX	S IH N AH P L EH K S
CINEPLEXES	S AH N EH P L AH K S
CINERARIA	S IH N AH R AE R IY AH
CINERARIAS	S IH N AH R AE R IY AH Z
CINERARIUM	S IH N AH R AE R IY AH M
CINERARY	S IH N AH R EH R IY
CINEREOUS	S AH N IY R IY AH S
CINERIN	S IH N AH R AH N
CINERINS	S IH N AH R AH N Z
CINES	S AY N Z
CINGULA	S IH N G Y UW L AH
CINGULATE	S IH N G Y AH L EY T
CINGULUM	S IH N G Y UW L AH M
CINNABAR	S IH N AH B AA R
CINNABARINE	S IH N AE B AH R AY N
CINNABARS	S IH N AH B AH R Z
CINNAMIC	S IH N AH M AH K
CINNAMON	S IH N AH M AH N
CINNAMONS	S IH N AH M AH N Z
CINNAMYL	S IH N AH M AH L
CINNAMYLS	S IH N AH M AH L Z
CINQUAIN	S IH NG K W EY N
CINQUAINS	S IH NG K W EY N Z
CINQUE	S IH NG K
CINQUECENTIST	S IH NG K W AH S EH N T AH S T
CINQUECENTISTI	S IH NG K W AH S AH N T IH S T IY
CINQUECENTISTS	S IH NG K W AH S EH N T AH S T S
CINQUECENTO	S IH NG K W AH S EH N T OW
CINQUECENTOS	S IH NG K W AH S EH N T AH Z
CINQUEFOIL	S IH NG K W AH F OY L
CINQUEFOILS	S IH NG K W EH F OW AH L Z
CINQUES	S IH NG K W Z
CION	S AY AH N
CIONS	S AY AH N Z
CIOPPINO	S AY AA P AH N OW
CIOPPINOS	S AY AA P AH N AH Z
CIPHER	S AY F ER
CIPHERED	S AY F ER D
CIPHERING	S AY F ER IH NG
CIPHERS	S AY F ER Z
CIPHERTEXT	S AY F ER T EH K S T
CIPHERTEXTS	S AY F ER T EH K S T S
CIPHONIES	S IH F AH N AY Z
CIPHONY	S IH F AH N IY
CIPOLIN	S IH P AH L AH N
CIPOLINS	S IH P AH L AH N Z
CIRCA	S ER K AH
CIRCADIAN	S ER K EY D IY AH N
CIRCINATE	S AH R S AH N EY T
CIRCINATELY	S AH R S AH N EY T L IY
CIRCLE	S ER K AH L
CIRCLED	S ER K AH L D
CIRCLER	S ER K AH L ER
CIRCLERS	S ER K AH L ER Z
CIRCLES	S ER K AH L Z
CIRCLET	S AH R K L AH T
CIRCLETS	S AH R K L AH T S
CIRCLING	S ER K AH L IH NG
CIRCLING(2)	S ER K L IH NG
CIRCUIT	S ER K AH T
CIRCUITAL	S ER K AH T AH L
CIRCUITED	S ER K AH T IH D
CIRCUITIES	S ER K AH T IY Z
CIRCUITING	S ER K AH T IH NG
CIRCUITOUS	S ER K Y UW IH T AH S
CIRCUITOUSLY	S ER K Y UW AH T AH S L IY
CIRCUITOUSNESS	S ER K Y UW AH T AH S N AH S
CIRCUITOUSNESSES	S ER K Y UW AH T AH S N AH S IH Z
CIRCUITRIES	S ER K AH T R IY Z
CIRCUITRY	S ER K AH T R IY
CIRCUITS	S ER K AH T S
CIRCUITY	S ER K AH T IY
CIRCULAR	S ER K Y AH L ER
CIRCULARISE	S AH R K Y UW L AH R AY Z
CIRCULARISED	S ER K Y AH L EH R IY Z D
CIRCULARISES	S ER K Y AH L EH R IY Z IH Z
CIRCULARISING	S ER K Y AH L EH R IY Z IH NG
CIRCULARITIES	S ER K Y AH L AE R AH T IY Z
CIRCULARITY	S ER K Y AH L AE R AH T IY
CIRCULARIZATION	S ER K Y AH L ER AH Z EY SH AH N
CIRCULARIZATIONS	S ER K Y AH L ER AH Z EY SH AH N Z
CIRCULARIZE	S ER K Y AH L ER AY Z
CIRCULARIZED	S ER K Y AH L ER AY Z D
CIRCULARIZES	S ER K Y AH L ER AY Z IH Z
CIRCULARIZING	S ER K Y AH L ER AY Z IH NG
CIRCULARLY	S ER K Y AH L ER L IY
CIRCULARNESS	S ER K Y AH L ER N AH S
CIRCULARNESSES	S ER K Y AH L ER N AH S IH Z
CIRCULARS	S ER K Y AH L ER Z
CIRCULATABLE	S ER K Y AH L AH T AH B AH L
CIRCULATE	S ER K Y AH L EY T
CIRCULATED	S ER K Y AH L EY T AH D
CIRCULATED(2)	S ER K Y AH L EY T IH D
CIRCULATES	S ER K Y AH L EY T S
CIRCULATING	S ER K Y AH L EY T IH NG
CIRCULATION	S ER K Y AH L EY SH AH N
CIRCULATIONS	S ER K Y AH L EY SH AH N Z
CIRCULATIVE	S ER K Y AH L AH T IH V
CIRCULATOR	S ER K Y AH L AH T ER
CIRCULATORS	S ER K Y AH L AH T ER Z
CIRCULATORY	S ER K Y AH L AH T AO R IY
CIRCUMAMBIENT	S ER K AH M AE M B IY AH N T
CIRCUMAMBIENTLY	S ER K AH M AE M B IY AH N T L IY
CIRCUMAMBULATE	S ER K AH M AE M B Y AH L AH T
CIRCUMAMBULATED	S ER K AH M AE M B Y AH L EY T IH D
CIRCUMAMBULATES	S ER K AH M AE M B Y AH L AH T S
CIRCUMAMBULATING	S ER K AH M AE M B Y AH L EY T IH NG
CIRCUMAMBULATION	S ER K AH M AE M B Y AH L EY SH AH N
CIRCUMAMBULATIONS	S ER K AH M AE M B Y AH L EY SH AH N Z
CIRCUMCENTER	S ER K AH M S EH N T ER
CIRCUMCENTERS	S ER K AH M S EH N T ER Z
CIRCUMCIRCLE	S ER K AH M S ER K AH L
CIRCUMCIRCLES	S ER K AH M S ER K AH L Z
CIRCUMCISE	S ER K AH M S AY Z
CIRCUMCISED	S ER K AH M S AY Z D
CIRCUMCISER	S AH R K AH M S AH S AH R
CIRCUMCISERS	S AH R K AH M S IH S AH R Z
CIRCUMCISES	S AH R K AH M S AY Z AH Z
CIRCUMCISING	S AH R K AH M S AY Z AH NG
CIRCUMCISION	S ER K AH M S IH ZH AH N
CIRCUMCISIONS	S ER K AH M S IH ZH AH N Z
CIRCUMFERENCE	S ER K AH M F R AH N S
CIRCUMFERENCES	S ER K AH M F R AH N S IH Z
CIRCUMFERENTIAL	S ER K AH M F ER AH N T IY AH L
CIRCUMFLEX	S ER K AH M F L EH K S
CIRCUMFLEXES	S ER K AH M F L EH K S IH Z
CIRCUMFLUENT	S ER K AH M F L UW AH N T
CIRCUMFLUOUS	S ER K AH M F L UW AH S
CIRCUMFUSE	S ER K AH M F Y UW Z
CIRCUMFUSED	S ER K AH M F Y UW Z D
CIRCUMFUSES	S ER K AH M F Y UW Z IH Z
CIRCUMFUSING	S ER K AH M F Y UW Z IH NG
CIRCUMFUSION	S ER K AH M F Y UW ZH AH N
CIRCUMFUSIONS	S ER K AH M F Y UW ZH AH N Z
CIRCUMJACENT	S AH R K AH M JH AH S AH N T
CIRCUMLOCUTION	S ER K AH M L OW K Y UW SH AH N
CIRCUMLOCUTIONS	S ER K AH M L OW K Y UW SH AH N Z
CIRCUMLOCUTORY	S AH R K AH M L AA K Y AH T AO R IY
CIRCUMLUNAR	S ER K AH M L UW N ER
CIRCUMNAVIGATE	S ER K AH M N AE V AH G EY T
CIRCUMNAVIGATED	S ER K AH M N AE V AH G EY T IH D
CIRCUMNAVIGATES	S ER K AH M N AE V AH G AH T S
CIRCUMNAVIGATING	S ER K AH M N AE V AH G EY T IH NG
CIRCUMNAVIGATION	S ER K AH M N AE V AH G EY SH AH N
CIRCUMNAVIGATIONS	S ER K AH M N AE V AH G EY SH AH N Z
CIRCUMNAVIGATOR	S ER K AH M N AE V AH G AH T ER
CIRCUMNAVIGATORS	S ER K AH M N AE V AH G AH T ER Z
CIRCUMPOLAR	S ER K AH M P OW L ER
CIRCUMSCISSILE	S AH R K AH M S IH S AH L
CIRCUMSCRIBE	S ER K AH M S K R AY B
CIRCUMSCRIBED	S ER K AH M S K R AY B D
CIRCUMSCRIBES	S ER K AH M S K R AY B Z
CIRCUMSCRIBING	S ER K AH M S K R AY B IH NG
CIRCUMSCRIPTION	S ER K AH M S K R IH P SH AH N
CIRCUMSCRIPTIONS	S ER K AH M S K R IH P SH AH N Z
CIRCUMSPECT	S ER K AH M S P EH K T
CIRCUMSPECTION	S ER K AH M S P EH K SH AH N
CIRCUMSPECTIONS	S ER K AH M S P EH K SH AH N Z
CIRCUMSPECTLY	S ER K AH M S P EH K T L IY
CIRCUMSTANCE	S ER K AH M S T AE N S
CIRCUMSTANCED	S ER K AH M S T AE N S T
CIRCUMSTANCES	S ER K AH M S T AE N S AH Z
CIRCUMSTANCES(2)	S ER K AH M S T AE N S IH Z
CIRCUMSTANTIAL	S ER K AH M S T AE N SH AH L
CIRCUMSTANTIALITIES	S AH R K AH M S T AE N T IY AE L AH T AY Z
CIRCUMSTANTIALITY	S AH R K AH M S T AE N T IY AE L AH T IY
CIRCUMSTANTIALLY	S ER K AH M S T AE N SH AH L IY
CIRCUMSTANTIATE	S AH R K AH M S T AE N T AY EY T
CIRCUMSTANTIATED	S AH R K AH M S T AE N T AY EY T AH D
CIRCUMSTANTIATES	S AH R K AH M S T AE N T AY EY T S
CIRCUMSTANTIATING	S AH R K AH M S T AE N T AY EY T AH NG
CIRCUMSTELLAR	S ER K AH M S T EH L ER
CIRCUMVALLATE	S AH R K AH M V AE L EY T
CIRCUMVALLATED	S AH R K AH M V AE L EY T AH D
CIRCUMVALLATES	S AH R K AH M V AE L EY T S
CIRCUMVALLATING	S AH R K AH M V AE L EY T AH NG
CIRCUMVALLATION	S AH R K AH M V AE L EY SH AH N
CIRCUMVALLATIONS	S AH R K AH M V AE L EY T IY AH N Z
CIRCUMVENT	S ER K AH M V EH N T
CIRCUMVENTED	S ER K AH M V EH N T IH D
CIRCUMVENTING	S ER K AH M V EH N T IH NG
CIRCUMVENTION	S ER K AH M V EH N CH AH N
CIRCUMVENTIONS	S ER K AH M V EH N CH AH N Z
CIRCUMVENTS	S ER K AH M V EH N T S
CIRCUMVOLUTION	S AH R K AH M V AA L Y UW T IY AH N
CIRCUMVOLUTIONS	S AH R K AH M V AH L UW T IY AH N Z
CIRCUS	S ER K AH S
CIRCUSES	S ER K AH S AH Z
CIRCUSY	S ER K AH S IY
CIRE	S AY R
CIRES	S AY R Z
CIRQUE	S ER K
CIRQUES	S AH R K S
CIRRATE	S AH R EY T
CIRRHOSES	S AH R OW Z AH Z
CIRRHOSIS	S ER OW S AH S
CIRRHOTIC	S AH R AH T AH K
CIRRHOTICS	S AH R AH T AH S Z
CIRRI	S AH R IY
CIRRIPED	S AH R AY P T
CIRRIPEDS	S AH R AH P AH D Z
CIRROCUMULI	S AH R AA K Y UW M Y UW L IY
CIRROCUMULUS	S AH R AH K Y UW M Y AH L AH S
CIRROSE	S AH R OW Z
CIRROSTRATI	S AH R AA S T R AH T IY
CIRROSTRATUS	S AH R AH S T R EY T AH S
CIRROUS	S AH R AH S
CIRRUS	S IH R AH S
CIRSOID	S IH R Z OY D
CIS	S IH Z
CISALPINE	S IH S AH L P AY N
CISCO	S IH S K OW
CISCOES	S IH S OW Z
CISCOS	S IH S AH Z
CISLUNAR	S IH Z L UW N AH R
CISPLATIN	S IH S L AH T AH N
CISPLATINS	S IH S L AH T AH N Z
CISSIES	S IH S AY Z
CISSOID	S AH S OY D
CISSOIDS	S IH S OY D Z
CISSY	S IH S IY
CIST	S IH S T
CISTERN	S IH S T ER N
CISTERNA	S IH S T AH R N AH
CISTERNAE	S IH S T AH R N IY
CISTERNAL	S IH S T ER N AH L
CISTERNS	S IH S T ER N Z
CISTRON	S IH S T R AH N
CISTRONIC	S IH S T R AH N AH K
CISTRONS	S IH S T R AH N Z
CISTS	S IH S T S
CISTUS	S IH S T AH S
CISTUSES	S IH S T Y UW Z AH Z
CITABLE	S AY T AH B AH L
CITADEL	S IH T AH D EH L
CITADELS	S IH T AH D AH L Z
CITATION	S AY T EY SH AH N
CITATIONAL	S AY T EY SH AH N AH L
CITATIONS	S AY T EY SH AH N Z
CITATOR	S AY T AH T ER
CITATORS	S AY T AH T ER Z
CITATORY	S AY T AH T OW R IY
CITE	S AY T
CITEABLE	S AY T AH B AH L
CITED	S AY T AH D
CITED(2)	S AY T IH D
CITER	S AY T ER
CITERS	S AY T ER Z
CITES	S AY T S
CITHARA	S IH TH AH R AH
CITHARAS	S IH TH AH R AH Z
CITHER	S IH DH AH R
CITHERN	S IH TH AH R N
CITHERNS	S IH TH AH R N Z
CITHERS	S IH TH AH R Z
CITHREN	S IH TH R AH N
CITHRENS	S IH TH R AH N Z
CITIED	S IH T IY D
CITIES	S IH T IY Z
CITIFICATION	S AY T AH F AH K EY SH AH N
CITIFICATIONS	S AY T AH F AH K EY SH AH N Z
CITIFIED	S AY T AH F AY D
CITIFIES	S AY T AH F AY Z
CITIFY	S AY T AH F AY
CITIFYING	S AY T AH F AY IH NG
CITING	S AY T IH NG
CITIZEN	S IH T AH Z AH N
CITIZEN(2)	S IH T IH Z AH N
CITIZENESS	S IH T AH Z AH N AH S
CITIZENESSES	S IH T AH Z AH N AH S IH Z
CITIZENLY	S IH T AH Z AH N L IY
CITIZENRIES	S IH T AH Z AH N R IY Z
CITIZENRY	S IH T IH Z AH N R IY
CITIZENS	S IH T AH Z AH N Z
CITIZENS(2)	S IH T IH Z AH N Z
CITIZENSHIP	S IH T IH Z AH N SH IH P
CITIZENSHIPS	S IH T AH Z AH N SH IH P S
CITOLA	S IH T AH L AH
CITOLAS	S IH T AH L AH Z
CITOLE	S AH T OW L
CITOLES	S AH T OW L Z
CITRAL	S IH T R AH L
CITRALS	S IH T R AH L Z
CITRATE	S IH T R EY T
CITRATED	S IH T R EY T AH D
CITRATES	S IH T R EY T S
CITREOUS	S IH T R IY AH S
CITRIC	S IH T R IH K
CITRICULTURE	S IH T R AH K AH L T Y AH R
CITRICULTURES	S IH T R AH K AH L T Y AH R Z
CITRICULTURIST	S IH T R AH K AH L T Y AH R AH S T
CITRICULTURISTS	S IH T R AH K AH L T Y AH R AH S T S
CITRIN	S IH T R IH N
CITRINE	S IH T R IY N
CITRINES	S IH T R AY N Z
CITRININ	S IH T R AH N AH N
CITRININS	S IH T R AH N AH N Z
CITRINS	S IH T R AH N Z
CITRON	S IH T R AH N
CITRON(2)	S IH T R AH N Z
CITRONELLA	S IH T R AA N EH L AH
CITRONELLAL	S IH T R AH N EH L AH L
CITRONELLALS	S IH T R AH N EH L AH L Z
CITRONELLAS	S IH T R AH N EH L AH Z
CITRONELLOL	S IH T R AH N EH L AH L
CITRONELLOLS	S IH T R AH N EH L AH L Z
CITRONS	S IH T R AH N Z
