DE	D IY
BORDELLO	B AO R D EH L OW
BORDELLOS	B IY ER D EH L AA S
BORDELS	B AO R D AH L Z
BORDER	B AO R D ER
BORDEREAU	B AO R D IY R IY UW
BORDEREAUX	B AO R D IY R IY AH K S
BORDERED	B AO R D ER D
BORDERER	B AO R D ER ER
BORDERERS	B AO R D ER ER Z
BORDERING	B AO R D ER IH NG
BORDERLAND	B AO R D ER L AE N D
BORDERLANDS	B AO R D ER L AE N D Z
BORDERLINE	B AO R D ER L AY N
BORDERLINES	B AO R D ER L AY N Z
BORDERS	B AO R D ER Z
BORIDE	B AH R AY D
BORIDES	B AH R AY D Z
BOROHYDRIDE	B AH R AA HH AH D R AY D
BOROHYDRIDES	B AH R AA HH AH D R AY D Z
BOULDER	B OW L D ER
BOULDERED	B OW L D ER D
BOULDERS	B OW L D ER Z
BOULDERY	B OW L D ER IY
BOUNDED	B AW N D AH D
BOUNDED(2)	B AW N D IH D
BOUNDEDNESS	B AW N D AH D N AH S
BOUNDEDNESSES	B AW N D AH D N AH S IH Z
BOUNDEN	B AW N D AH N
BOUNDER	B AW N D ER
BOUNDERISH	B AW N D ER IH SH
BOUNDERS	B AW N D ER Z
BOURRIDE	B AH R AY D
BOURRIDES	B AH R AY D Z
BOWLDER	B OW L D AH R
BOWLDERS	B OW L D AH R Z
BRADDED	B R AE D IH D
BRAIDED	B R EY D IH D
BRAIDER	B R EY D ER
BRAIDERS	B R EY D ER Z
BRANDED	B R AE N D IH D
BRANDER	B R AE N D ER
BRANDERS	B R AE N D ER Z
BREADBOARDED	B R EH D B OW R D IH D
BREADED	B R EH D IH D
BREDE	B R IY D
BREDES	B R IY D Z
BREECHLOADER	B R IY CH L OW D ER
BREECHLOADERS	B R IY CH L OW D ER Z
BREEDER	B R IY D ER
BREEDERS	B R IY D ER Z
BRIDE	B R AY D
BRIDEGROOM	B R AY D G R UW M
BRIDEGROOMS	B R AY D G R UW M Z
BRIDES	B R AY D Z
BRIDESMAID	B R AY D Z M EY D
BRIDESMAIDS	B R AY D Z M EY D Z
BRIDEWELL	B R AY D W EH L
BRIDEWELLS	B R AY D W EH L Z
BRIGADE	B R AH G EY D
BRIGADE(2)	B R IH G EY D
BRIGADED	B R IH G EY D IH D
BRIGADES	B R IH G EY D Z
BRINDED	B R AY N D AH D
BROADEN	B R AO D AH N
BROADENED	B R AO D AH N D
BROADENING	B R AO D AH N IH NG
BROADENING(2)	B R AO D N IH NG
BROADENS	B R AO D AH N Z
BROADER	B R AO D ER
BROADEST	B R AO D IH S T
BROADSIDE	B R AO D S AY D
BROADSIDED	B R AO D S AY D IH D
BROADSIDES	B R AO D S AY D Z
BROCADE	B R OW K EY D
BROCADED	B R OW K EY D IH D
BROCADES	B R OW K EY D Z
BROIDER	B R OY D AH R
BROIDERED	B R OY D IY R D
BROIDERIES	B R OY D AH R AY Z
BROIDERING	B R OY D IY R AH NG
BROIDERS	B R OY D AH R Z
BROIDERY	B R OY D AH R IY
BROMIDE	B R OW M AY D
BROMIDES	B R OW M AY D Z
BROODED	B R UW D IH D
BROODER	B R UW D ER
BROODERS	B R UW D ER Z
BUBBLEHEADED	B AH B AH L HH EH D IH D
BUDDED	B AH D IH D
BUDDER	B AH D ER
BUDDERS	B AH D ER Z
BUILDED	B IH L D IH D
BUILDER	B IH L D ER
BUILDERS	B IH L D ER Z
BULLHEADED	B UH L HH EH D IH D
BULLHEADEDLY	B UH L HH EH D AH D L IY
BULLHEADEDNESS	B UH L HH EH D AH D N AH S
BULLHEADEDNESSES	B UH L HH EH D AH D N AH S IH Z
BURDEN	B ER D AH N
BURDENED	B ER D AH N D
BURDENER	B ER D AH N ER
BURDENERS	B ER D AH N ER Z
BURDENING	B ER D AH N IH NG
BURDENS	B ER D AH N Z
BURDENSOME	B ER D AH N S AH M
BURLADERO	B AH R L AE D AH R OW
BURLADEROS	B ER L EY D ER AA S
BURNSIDES	B ER N S AY D Z
BUTYRALDEHYDE	B Y UW T AH R AE L D AH HH AY D
BUTYRALDEHYDES	B Y UW T AH R AE L D AH HH AY D Z
BYSTANDER	B AY S T AE N D ER
BYSTANDERS	B AY S T AE N D ER Z
CACODEMON	K AH K AA D AH M AH N
CACODEMONIC	K AH K AA D AH M AH N AH K
CACODEMONS	K AH K AA D AH M AH N Z
CADE	K EY D
CADELLE	K AE D AH L
CADELLES	K AE D AH L Z
CADENCE	K EY D AH N S
CADENCED	K EY D AH N S T
CADENCES	K EY D AH N S IH Z
CADENCIES	K EY D AH N S IY Z
CADENCING	K EY D AH N S IH NG
CADENCY	K EY D AH N S IY
CADENT	K EY D AH N T
CADENTIAL	K EY D AH N T IY AH L
CADENZA	K AH D EH N Z AH
CADENZAS	K AH D EH N Z AH Z
CADES	K EY D Z
CADET	K AH D EH T
CADETS	K AH D EH T S
CADETSHIP	K AH D EH T SH IH P
CADETSHIPS	K AH D EH T SH IH P S
CALAMANDER	K AE L AH M AE N D ER
CALAMANDERS	K AE L AH M AE N D AH R Z
CALDERA	K AE L D EH R AH
CALDERA(2)	K AO L D EH R AH
CALDERAS	K AE L D AH R AH Z
CALENDER	K AH L EH N D AH R
CALENDERED	K AE L AH N D IY R D
CALENDERER	K AE L AH N D IY R AH R
CALENDERERS	K AH L EH N D AH R AH R Z
CALENDERING	K AE L AH N D IY R AH NG
CALENDERS	K AH L EH N D AH R Z
CAMARADERIE	K AA M ER AA D ER IY
CAMARADERIES	K AA M AH R AA D AH R IY Z
CAMCORDER	K AE M K AO R D ER
CAMCORDERS	K AE M K AO R D ER Z
CAMISADE	K AE M IY Z EY D
CAMISADES	K AE M IY Z EY D Z
CANDELA	K AE N D EH L AH
CANDELABRA	K AE N D AH L AA B R AH
CANDELABRAS	K AE N D AH L AE B R AH Z
CANDELABRUM	K AE N D IY L AE B R AH M
CANDELABRUMS	K AE N D IY L AE B R AH M Z
CANDELAS	K AE N D AH L AH Z
CANDENT	K AE N D AH N T
CANDESCENCE	K AE N D EH S AH N S
CANDESCENCES	K AE N D AH S EH N S AH Z
CANDESCENT	K AE N D IH S EH N T
CANDIDER	K AE N D AH D ER
CANDIDEST	K AE N D AH D AH S T
CANDLEHOLDER	K AE N D AH L HH OW L D ER
CANDLEHOLDERS	K AE N D AH L HH OW L D ER Z
CANNONADE	K AE N AH N EY D
CANNONADED	K AE N AH N EY D IH D
CANNONADES	K AE N AH N EY D Z
CANTHARIDES	K AE N TH AH R AY D Z
CARBAMIDE	K AA R B AH M AY D
CARBAMIDES	K AA R B AH M AY D Z
CARBIDE	K AA R B AY D
CARBIDES	K AA R B AY D Z
CARBONADE	K AA R B AH N EY D
CARBONADES	K AA R B AH N EY D Z
CARBONNADE	K AA R B AH N EY D
CARBONNADES	K AA R B AH N EY D Z
CARDED	K AA R D IH D
CARDER	K AA R D ER
CARDERS	K AA R D ER Z
CARDHOLDER	K AA R D HH OW L D ER
CARDHOLDERS	K AA R D HH OW L D ER Z
CARDITIDES	K AA R D AH T AY D Z
CARRONADE	K AE R AH N EY D
CARRONADES	K AE R AH N EY D Z
CARYATIDES	K AE R IY AE T AH D IY Z
CARYOPSIDES	K AE R AY AH P S AY D Z
CASCADE	K AE S K EY D
CASCADED	K AE S K EY D IH D
CASCADES	K AE S K EY D Z
CATHODE	K AE TH OW D
CATHODES	K AE TH OW D Z
CAUDEX	K AO D AH K S
CAUDEXES	K AO D AH K S
CAVALCADE	K AE V AH L K EY D
CAVALCADES	K AE V AH L K EY D Z
CEDE	S IY D
CEDED	S IY D AH D
CEDED(2)	S IY D IH D
CEDER	S IY D ER
CEDERS	S EH D AH R Z
CEDES	S IY D Z
CENTIGRADE	S EH N T AH G R EY D
CENTIPEDE	S EH N T IH P IY D
CENTIPEDES	S EH N T AH P IY D Z
CEREBROSIDE	S AH R EH B R AH S AY D
CEREBROSIDES	S AH R EH B R AH S AY D Z
CERTITUDE	S ER T AH T UW D
CERTITUDES	S ER T AH T UW D Z
CESTODE	S EH S T OW D
CESTODES	S EH S T OW D Z
CHALCOGENIDE	CH AE L K AA JH AH N AY D
CHALCOGENIDES	CH AE L K AA JH AH N AY D Z
CHAMADE	CH AH M EY D
CHAMADES	CH AH M EY D Z
CHANDELIER	SH AE N D AH L IH R
CHANDELIERED	SH AE N D AH L IH ER D
CHANDELIERS	SH AE N D AH L IH Z
CHANDELLE	SH AE N D EH L
CHANDELLED	SH AE N D EH L D
CHANDELLES	SH AE N D EH L Z
CHANDELLING	SH AE N D EH L IH NG
CHARADE	SH ER EY D
CHARADES	SH ER EY D Z
CHEDER	CH IY D AH R
CHEDERS	CH EH D AH R Z
CHEERLEADER	CH IH R L IY D ER
CHEERLEADERS	CH IH R L IY D ER Z
CHICKADEE	CH IH K EY D IY
CHICKADEES	CH IH K EY D IY Z
CHIDDEN	CH IH D AH N
CHIDE	CH AY D
CHIDED	CH AY D IH D
CHIDER	CH AY D ER
CHIDERS	CH AY D ER Z
CHIDES	CH AY D Z
CHIFFONADE	CH IH F AH N EY D
CHIFFONADES	CH IH F AH N EY D Z
CHILDE	CH IH L D
CHILDES	CH IH L D Z
CHLAMYDES	K L AH M AY D Z
CHLORDIAZEPOXIDE	K L AO R D IY AH Z EH P AH K S AY D
CHLORDIAZEPOXIDES	K L AO R D IY AH Z EH P AH K S AY D Z
CHLORIDE	K L AO R AY D
CHLORIDES	K L OW R AY D Z
CHLOROTHIAZIDE	K L AH R AA TH IY AH Z AY D
CHLOROTHIAZIDES	K L AH R AA TH IY AH Z AY D Z
CHLORPROPAMIDE	K L AO R P R AA P AH M AY D
CHLORPROPAMIDES	K L AO R P R AA P AH M AY D Z
CHOLECYSTITIDES	CH AH L AH S IH S T AH T AY D Z
CHORDAMESODERM	CH AO R D AH M EH S AH D AH R M
CHORDAMESODERMAL	CH AO R D AH M EH S AH D AH R M AH L
CHORDAMESODERMS	CH AO R D AH M EH S AH D AH R M Z
CHORDED	K AO R D IH D
CHORIOALLANTOIDES	CH AH R IY OW L AH N T OY D Z
CHOWDER	CH AW D ER
CHOWDERED	CH AW D ER D
CHOWDERHEAD	CH AW D ER HH EH D
CHOWDERHEADED	CH AW D ER HH EH D IH D
CHOWDERHEADS	CH AW D ER HH EH D Z
CHOWDERING	CH AW D ER IH NG
CHOWDERS	CH AW D ER Z
CHROMIDE	K R AH M AY D
CHROMIDES	K R AH M AY D Z
CHRYSALIDES	K R IH S AH L AY D Z
CHUCKLEHEADED	CH AH K AH L HH EH D IH D
CHUDDER	CH AH D AH R
CHUDDERS	CH AH D AH R Z
CHURCHWARDEN	CH ER CH W ER D AH N
CHURCHWARDENS	CH ER CH W ER D AH N Z
CIDER	S AY D ER
CIDERS	S AY D ER Z
CINDER	S IH N D ER
CINDERBLOCK	S IH N D ER B L AA K
CINDERBLOCKS	S IH N D ER B L AA K S
CINDERED	S IH N D ER D
CINDERING	S IH N D ER IH NG
CINDERS	S IH N D ER Z
CINDERY	S IH N D ER IY
CITADEL	S IH T AH D EH L
CITADELS	S IH T AH D AH L Z
CITYWIDE	S IH T IY W AY D
CLADE	K L EY D
CLADES	K L EY D Z
CLADODE	K L AH D OW D
CLADODES	K L AH D OW D Z
CLANDESTINE	K L AE N D EH S T IH N
CLANDESTINELY	K L AE N D EH S T AH N L IY
CLANDESTINENESS	K L AE N D EH S T AH N AH S
CLANDESTINENESSES	K L AE N D EH S T AH N AH S IH Z
CLANDESTINITIES	K L AE N D EH S T AH N AH T IY Z
CLANDESTINITY	K L AE N D EH S T AH N AH T IY
CLAPBOARDED	K L AE P B OW R D IH D
CLEANHANDED	K L IY N HH AE N D IH D
CLEARHEADED	K L IH ER HH EH D IH D
CLEARHEADEDLY	K L IH ER HH EH D AH D L IY
CLEARHEADEDNESS	K L IH ER HH EH D AH D N AH S
CLEARHEADEDNESSES	K L IH ER HH EH D AH D N AH S IH Z
CLITORIDECTOMIES	K L IH T AH R AH D EH K T AH M AY Z
CLITORIDECTOMY	K L IH T AH R AH D EH K T AH M IY
CLITORIDES	K L IH T AH R AY D Z
CLOUDED	K L AW D IH D
CLOWDER	K L OW D AH R
CLOWDERS	K L OW D AH R Z
COATTENDED	K OW AH T EH N D IH D
COCKADE	K AA K EY D
COCKADED	K AA K EY D IH D
COCKADES	K AA K EY D Z
CODDED	K AA D IH D
CODDER	K AA D ER
CODDERS	K AA D ER Z
CODE	K OW D
CODEBOOK	K OW D IY B UH K
CODEBOOKS	K OW D IY B UH K S
CODEBTOR	K OW D EH T ER
CODEBTORS	K OW D EH T ER Z
CODEC	K OW D EH K
CODECS	K OW D EH K S
CODED	K OW D IH D
CODEFENDANT	K OW D IY F EH N D AH N T
CODEFENDANTS	K OW D IY F EH N D AH N T S
CODEIA	K OW D IY IY AH
CODEIAS	K OW D IY AY AH Z
CODEIN	K OW D IY IH N
CODEINA	K OW D IY AH N AA
CODEINAS	K OW D IY AH N AE Z
CODEINE	K OW D IY IH N
CODEINES	K OW D IY AY N Z
CODEINS	K OW D IY IH N Z
CODELESS	K OW D L AH S
CODEN	K OW D EH N
CODENS	K OW D EH N Z
CODEPENDENCE	K OW D IH P EH N D AH N S
CODEPENDENCES	K OW D IH P EH N D AH N S IH Z
CODEPENDENCIES	K OW D IH P EH N D AH N S IY Z
CODEPENDENCY	K OW D IH P EH N D AH N S IY
CODEPENDENT	K OW D IY P EH N D EH N T
CODEPENDENTS	K OW D IY P EH N D EH N T S
CODER	K OW D ER
CODERIVE	K OW D IH R AY V
CODERIVED	K OW D IH R AY V D
CODERIVES	K OW D IH R AY V Z
CODERIVING	K OW D IH R AY V IH NG
CODERS	K OW D ER Z
CODES	K OW D Z
CODESIGN	K OW D IH Z AY N
CODESIGNED	K OW D IH Z AY N D
CODESIGNING	K OW D IH Z AY N IH NG
CODESIGNS	K OW D IH Z AY N Z
CODETERMINATION	K OW D IY T ER M AH N EY SH AH N
CODETERMINATIONS	K OW D IY T ER M AH N EY SH AH N Z
CODEVELOP	K OW D IH V EH L AH P
CODEVELOPED	K OW D IH V EH L AH P T
CODEVELOPER	K OW D IH V EH L AH P ER
CODEVELOPERS	K OW D IH V EH L AH P ER Z
CODEVELOPING	K OW D IH V EH L AH P IH NG
CODEVELOPS	K OW D IH V EH L AH P S
CODEX	K OW D EH K S
COEXTENDED	K OW IH K S T EH N D IH D
COFOUNDED	K OW F AW N D IH D
COFOUNDER	K OW F AW N D ER
COFOUNDERS	K OW F AW N D ER Z
COHEADED	K OW HH EH D IH D
COHOLDER	K OW HH OW L D ER
COHOLDERS	K OW HH OW L D ER Z
COINCIDE	K OW IH N S AY D
COINCIDED	K OW AH N S AY D AH D
COINCIDENCE	K OW IH N S IH D AH N S
COINCIDENCES	K OW IH N S AH D AH N S IH Z
COINCIDENT	K OW IH N S AH D AH N T
COINCIDENTAL	K OW IH N S AH D EH N T AH L
COINCIDENTALLY	K OW IH N S IH D EH N T AH L IY
COINCIDENTLY	K OW IH N S AH D AH N T L IY
COINCIDES	K OW IH N S AY D Z
COLANDER	K AA L AH N D ER
COLANDERS	K AA L AH N D ER Z
COLATITUDE	K OW L AE T AH T UW D
COLATITUDES	K OW L AE T AH T UW D Z
COLDBLOODED	K OW L D B L AH D IH D
COLDER	K OW L D ER
COLDEST	K OW L D AH S T
COLEADER	K OW L IY D ER
COLEADERS	K OW L IY D ER Z
COLLIDE	K AH L AY D
COLLIDED	K AH L AY D IH D
COLLIDER	K AH L AY D ER
COLLIDERS	K AH L AY D ER Z
COLLIDES	K AH L AY D Z
COLLUDE	K AH L UW D
COLLUDED	K AH L UW D IH D
COLLUDER	K AA L UW D AH R
COLLUDERS	K AA L UW D AH R Z
COLLUDES	K AA L UW D Z
COLONNADE	K AA L AH N EY D
COLONNADED	K AA L AH N EY D IH D
COLONNADES	K AA L AH N EY D Z
COMADE	K AH M EY D
COMMANDED	K AH M AE N D IH D
COMMANDEER	K AA M AH N D IH R
COMMANDEERED	K AA M AH N D IH R D
COMMANDEERING	K AA M AH N D IH ER IH NG
COMMANDEERS	K AA M AH N D IH ER Z
COMMANDER	K AH M AE N D ER
COMMANDERIES	K AH M AE N D AH R IY Z
COMMANDERS	K AH M AE N D ER Z
COMMANDERSHIP	K AH M AE N D ER SH IH P
COMMANDERSHIPS	K AH M AE N D ER SH IH P S
COMMANDERY	K AH M AE N D AH R IY
COMMENDED	K AH M EH N D IH D
COMMENDER	K AH M EH N D ER
COMMENDERS	K AH M EH N D ER Z
COMMODE	K AH M OW D
COMMODES	K AH M OW D Z
COMPOUNDED	K AH M P AW N D AH D
COMPOUNDED(2)	K AH M P AW N D IH D
COMPOUNDER	K AH M P AW N D ER
COMPOUNDERS	K AH M P AW N D ER Z
COMPREHENDED	K AA M P R IH HH EH N D IH D
COMRADE	K AA M R AE D
COMRADELINESS	K AA M R AE D L IY N AH S
COMRADELINESSES	K AA M R AE D L IY N AH S IH Z
COMRADELY	K AA M R AE D L IY
COMRADERIES	K AA M R AE D AH R IY Z
COMRADERY	K AA M R AE D AH R IY
COMRADES	K AA M R AE D Z
COMRADESHIP	K AA M R AE D SH IH P
COMRADESHIPS	K AA M R AE D SH IH P S
CONCEDE	K AH N S IY D
CONCEDED	K AH N S IY D IH D
CONCEDEDLY	K AH N S IY D AH D L IY
CONCEDER	K AH N S IY D ER
CONCEDERS	K AH N S IY D ER Z
CONCEDES	K AH N S IY D Z
CONCLUDE	K AH N K L UW D
CONCLUDED	K AH N K L UW D AH D
CONCLUDED(2)	K AH N K L UW D IH D
CONCLUDER	K AH N K L UW D ER
CONCLUDERS	K AH N K L UW D ER Z
CONCLUDES	K AH N K L UW D Z
CONDEMN	K AH N D EH M
CONDEMNABLE	K AH N D EH M AH B AH L
CONDEMNATION	K AA N D AH M N EY SH AH N
CONDEMNATIONS	K AA N D AH M N EY SH AH N Z
CONDEMNATORY	K AH N D EH M N AH T OW R IY
CONDEMNED	K AH N D EH M D
CONDEMNER	K AH N D EH M ER
CONDEMNERS	K AH N D EH M ER Z
CONDEMNING	K AH N D EH M IH NG
CONDEMNOR	K AH N D EH M ER
CONDEMNORS	K AH N D EH M ER Z
CONDEMNS	K AH N D EH M Z
CONDENSABLE	K AH N D EH N S AH B AH L
CONDENSATE	K AA N D AH N S EY T
CONDENSATES	K AA N D AH N S EY T S
CONDENSATION	K AA N D AH N S EY SH AH N
CONDENSATIONAL	K AA N D EH N S EY SH AH N AH L
CONDENSATIONS	K AA N D EH N S EY SH AH N Z
CONDENSE	K AH N D EH N S
CONDENSED	K AH N D EH N S T
CONDENSER	K AH N D EH N S ER
CONDENSERS	K AH N D EH N S ER Z
CONDENSES	K AH N D EH N S IH Z
CONDENSIBLE	K AH N D EH N S AH B AH L
CONDENSING	K AH N D EH N S IH NG
CONDESCEND	K AA N D IH S EH N D
CONDESCENDED	K AA N D IH S EH N D IH D
CONDESCENDENCE	K AA N D IH S EH N D AH N S
CONDESCENDENCES	K AA N D IH S EH N D AH N S IH Z
CONDESCENDING	K AA N D IH S EH N D IH NG
CONDESCENDINGLY	K AA N D IH S EH N D IH NG L IY
CONDESCENDS	K AA N D IH S EH N D Z
CONDESCENSION	K AA N D AH S EH N SH AH N
CONDESCENSIONS	K AA N D IH S EH N CH AH N Z
CONFEDERACIES	K AH N F EH D ER AH S IY Z
CONFEDERACY	K AH N F EH D ER AH S IY
CONFEDERACY(2)	K AH N F EH D R AH S IY
CONFEDERAL	K AH N F EH D ER AH L
CONFEDERATE	K AH N F EH D ER AH T
CONFEDERATE(2)	K AH N F EH D ER EY T
CONFEDERATED	K AH N F EH D ER EY T IH D
CONFEDERATES	K AH N F EH D ER AH T S
CONFEDERATING	K AH N F EH D ER EY T IH NG
CONFEDERATION	K AH N F EH D ER EY SH AH N
CONFEDERATIONS	K AH N F EH D ER EY SH AH N Z
CONFEDERATIVE	K AH N F EH D ER AH T IH V
CONFIDE	K AH N F AY D
CONFIDED	K AH N F AY D IH D
CONFIDENCE	K AA N F AH D EH N S
CONFIDENCES	K AA N F AH D EH N S IH Z
CONFIDENT	K AA N F AH D AH N T
CONFIDENTIAL	K AA N F AH D EH N SH AH L
CONFIDENTIALITIES	K AA N F AH D EH N CH IY AE L AH T IY Z
CONFIDENTIALITY	K AA N F AH D EH N SH IY AE L AH T IY
CONFIDENTIALLY	K AA N F AH D EH N SH AH L IY
CONFIDENTLY	K AA N F AH D AH N T L IY
CONFIDER	K AH N F AY D ER
CONFIDERS	K AH N F AY D ER Z
CONFIDES	K AH N F AY D Z
CONFOUNDED	K AH N F AW N D IH D
CONFOUNDEDLY	K AH N F AW N D AH D L IY
CONFOUNDER	K AH N F AW N D ER
CONFOUNDERS	K AH N F AW N D ER Z
CONSIDER	K AH N S IH D ER
CONSIDERABLE	K AH N S IH D ER AH B AH L
CONSIDERABLES	K AH N S IH D ER AH B AH L Z
CONSIDERABLY	K AH N S IH D ER AH B L IY
CONSIDERATE	K AH N S IH D ER AH T
CONSIDERATELY	K AH N S IH D ER AH T L IY
CONSIDERATENESS	K AH N S IH D ER AH T N AH S
CONSIDERATENESSES	K AH N S IH D ER AH T N AH S IH Z
CONSIDERATION	K AH N S IH D ER EY SH AH N
CONSIDERATIONS	K AH N S IH D ER EY SH AH N Z
CONSIDERED	K AH N S IH D ER D
CONSIDERING	K AH N S IH D ER IH NG
CONSIDERS	K AH N S IH D ER Z
CONSUETUDE	K AA N S UW AH T Y UW D
CONSUETUDES	K AA N S UW AH T Y UW D Z
CONTENDED	K AH N T EH N D IH D
CONTENDER	K AH N T EH N D ER
CONTENDERS	K AH N T EH N D ER Z
COOLHEADED	K UW L HH EH D IH D
COPRESIDENT	K OW P R EH Z AH D AH N T
COPRESIDENTS	K OW P R EH Z AH D AH N T S
COPYDESK	K AA P IY D EH S K
COPYDESKS	K AA P IY D EH S K S
COPYHOLDER	K AA P IY HH OW L D ER
COPYHOLDERS	K AA P IY HH OW L D ER Z
COPYREADER	K AA P IY R IY D ER
COPYREADERS	K AA P IY R IY D ER Z
CORDED	K AO R D AH D
CORDELLE	K AA R D EH L
CORDELLED	K AA R D EH L D
CORDELLES	K AA R D EH L Z
CORDELLING	K AA R D EH L AH NG
CORDER	K AO R D ER
CORDERS	K AO R D ER Z
COREDEEM	K OW R IY D IY M
COREDEEMED	K OW R IY D IY M D
COREDEEMING	K OW R IY D IY M IH NG
COREDEEMS	K OW R IY D IY M Z
CORESIDENT	K OW R EH Z AH D AH N T
CORESIDENTIAL	K OW R EH Z AH D EH N CH AH L
CORESIDENTS	K OW R EH Z AH D AH N T S
CORESPONDENT	K AO R AH S P AA N D AH N T
CORESPONDENTS	K OW R IH S P AA N D AH N T S
CORIANDER	K AO R IY AE N D ER
CORIANDERS	K AO R IY AE N D ER Z
COROMANDEL	K OW R AH M AE N D AH L
COROMANDELS	K OW R AH M AE N D AH L Z
CORRADE	K AA R EY D
CORRADED	K AA R EY D AH D
CORRADES	K AA R EY D Z
CORRECTITUDE	K AH R EH K T AH T UW D
CORRECTITUDES	K AH R EH K T AH T UW D Z
CORRESPONDED	K AO R AH S P AA N D IH D
CORRESPONDENCE	K AO R AH S P AA N D AH N S
CORRESPONDENCES	K AO R AH S P AA N D AH N S IH Z
CORRESPONDENCIES	K AO R AH S P AA N D AH N S IY Z
CORRESPONDENCY	K AO R AH S P AA N D AH N S IY
CORRESPONDENT	K AO R AH S P AA N D AH N T
CORRESPONDENTS	K AO R AH S P AA N D AH N T S
CORRODE	K ER OW D
CORRODED	K ER OW D IH D
CORRODES	K ER OW D Z
COUDE	K OW Y UW D IY
COULDEST	K OW AH L D AH S T
COUNTERBADE	K AW N T ER B IY EY D
COUNTERBIDDEN	K AW N T ER B IH D AH N
COUNTERBLOCKADE	K AW N T ER B L AA K EY D
COUNTERBLOCKADED	K AW N T ER B L AA K EY D IH D
COUNTERBLOCKADES	K AW N T ER B L AA K EY D Z
COUNTERDEMAND	K AW N T ER D IH M AE N D
COUNTERDEMANDS	K AW N T ER D IH M AE N D Z
COUNTERDEMONSTRATE	K AW N T ER D EH M AH N S T R AH T
COUNTERDEMONSTRATED	K AW N T ER D EH M AH N S T R EY T IH D
COUNTERDEMONSTRATES	K AW N T ER D EH M AH N S T R AH T S
COUNTERDEMONSTRATING	K AW N T ER D EH M AH N S T R EY T IH NG
COUNTERDEMONSTRATION	K AW N T ER D EH M AH N S T R EY SH AH N
COUNTERDEMONSTRATIONS	K AW N T ER D EH M AH N S T R EY SH AH N Z
COUNTERDEMONSTRATOR	K AW N T ER D EH M AH N S T R AH T ER
COUNTERDEMONSTRATORS	K AW N T ER D EH M AH N S T R AH T ER Z
COUNTERDEPLOYMENT	K AW N T ER D IH P L OY M AH N T
COUNTERDEPLOYMENTS	K AW N T ER D IH P L OY M AH N T S
COUNTEREVIDENCE	K AW N T ER EH V AH D AH N S
COUNTEREVIDENCES	K AW N T ER EH V AH D AH N S IH Z
COUNTERMANDED	K OW AH N T AH R M AE N D AH D
COUNTERORDER	K AW N T ER AO R D ER
COUNTERORDERED	K AW N T ER AO R D ER D
COUNTERORDERING	K AW N T ER AO R D ER IH NG
COUNTERORDERS	K AW N T ER AO R D ER Z
COUNTERRAIDED	K AW N T ER R EY D IH D
COUNTERTENDENCIES	K AW N T ER T EH N D AH N S IY Z
COUNTERTENDENCY	K AW N T ER T EH N D AH N S IY
COUNTERTRADE	K AW N T ER T R EY D
COUNTERTRADES	K AW N T ER T R EY D Z
COUNTRYSIDE	K AH N T R IY S AY D
COUNTRYSIDES	K AH N T R IY S AY D Z
COUNTRYWIDE	K AH N T R IY W AY D
COURTSIDE	K OW R T S AY D
COURTSIDES	K OW R T S AY D Z
COUVADE	K OW Y AH V EY D
COUVADES	K OW Y AH V EY D Z
COWHIDE	K AW HH AY D
COWHIDED	K AW HH AY D IH D
COWHIDES	K AW HH AY D Z
COXITIDES	K OW Z AH T AY D Z
CRASSITUDE	K R AE S AH T UW D
CRASSITUDES	K R AE S AH T UW D Z
CREDENCE	K R IY D AH N S
CREDENCES	K R EH D AH N S IH Z
CREDENDA	K R AH D EH N D AH
CREDENDUM	K R AH D EH N D AH M
CREDENT	K R EH D AH N T
CREDENTIAL	K R IH D EH N SH AH L
CREDENTIAL(2)	K R AH D EH N SH AH L
CREDENTIALED	K R AH D EH N SH AH L D
CREDENTIALING	K R IH D EH N CH AH L IH NG
CREDENTIALISM	K R IH D EH N CH AH L IH Z AH M
CREDENTIALISMS	K R IH D EH N CH AH L IH Z AH M Z
CREDENTIALLED	K R IH D EH N CH AH L D
CREDENTIALLING	K R IH D EH N CH AH L IH NG
CREDENTIALS	K R AH D EH N SH AH L Z
CREDENZA	K R AH D EH N Z AH
CREDENZAS	K R AH D EH N Z AH Z
CROOKEDER	K R UH K AH D ER
CROOKEDEST	K R UH K AH D AH S T
CROSSBANDED	K R AO S B AE N D IH D
CROUSTADE	K R AW S T EY D
CROUSTADES	K R AW S T EY D Z
CROWDED	K R AW D AH D
CROWDED(2)	K R AW D IH D
CROWDEDNESS	K R AW D AH D N AH S
CROWDEDNESSES	K R AW D AH D N AH S IH Z
CROWDER	K R AW D ER
CROWDERS	K R AW D ER Z
CRUDDED	K R AH D AH D
CRUDE	K R UW D
CRUDELY	K R UW D L IY
CRUDENESS	K R UW D N AH S
CRUDENESSES	K R UW D N AH S IH Z
CRUDER	K R UW D ER
CRUDES	K R UW D Z
CRUDEST	K R UW D AH S T
CRUNODE	K R UW N OW D
CRUNODES	K R UW N OW D Z
CRUSADE	K R UW S EY D
CRUSADED	K R UW S EY D IH D
CRUSADER	K R UW S EY D ER
CRUSADERS	K R UW S EY D ER Z
CRUSADES	K R UW S EY D Z
CUCKOLDED	K AH K OW L D AH D
CULLENDER	K AH L EH N D AH R
CULLENDERS	K AH L EH N D AH R Z
CURBSIDE	K ER B S AY D
CURBSIDES	K ER B S AY D Z
