PH	P IY EY CH
BLEPHAROPLASTIES	B L EH F AH R AA P L AE S T AY Z
BLEPHAROPLASTS	B L EH F AH R AA P L AH S T S
BLEPHAROPLASTY	B L EH F AH R AH
BLEPHAROSPASM	B L EH F AH R AA S AH Z AH M
BLEPHAROSPASMS	B L EH F AH R AA S AH Z AH M Z
BOUSTROPHEDON	B AW S T R AA F AH D AH N
BOUSTROPHEDONIC	B AW S T R AA F AH D AH N AH K
BOUSTROPHEDONS	B AW S T R AA F AH D AH N Z
BRACHYCEPHALIC	B R AH CH IH S AH F AH L AH K
BRACHYCEPHALIES	B R AE CH AH S EH F AH L AY Z
BRACHYCEPHALY	B R AE CH AH S EH F AH L IY
BRYOPHYLLUM	B R AY AH F IH L AH M
BRYOPHYLLUMS	B R AY AH F IH L AH M Z
BRYOPHYTE	B R AY AH F AY T
BRYOPHYTES	B R AY AH F AY T S
BRYOPHYTIC	B R AY AH F AH T AH K
BUMPH	B AH M F
BUMPHS	B AH M F S
BUTYROPHENONE	B Y UW T AH R AA F AH N OW N
BUTYROPHENONES	B Y UW T AH R AA F AH N OW N Z
CACOGRAPHICAL	K AH K AA G R AH F IH S AH L
CACOGRAPHIES	K AH K AA G R AH F AY Z
CACOGRAPHY	K AH K AA G R AH F IY
CACOPHONIES	K AE K AA F AH N IY Z
CACOPHONOUS	K AE K AA F AH N AH S
CACOPHONOUSLY	K AE K AA F AH N AH S L IY
CACOPHONY	K AE K AA F AH N IY
CALIPH	K AE L AH F
CALIPHAL	K AE L AH F AH L
CALIPHATE	K AE L AH F AH T
CALIPHATES	K AE L AH F AH T S
CALIPHS	K AE L AH F S
CALLIGRAPHER	K AH L IH G R AH F ER
CALLIGRAPHERS	K AH L IH G R AH F ER Z
CALLIGRAPHIC	K AE L AH G R AE F IH K
CALLIGRAPHICALLY	K AE L IH G R AE F AH K AE L IY
CALLIGRAPHIES	K AH L IH G R AH F IY Z
CALLIGRAPHIST	K AE L IH G R AH F AH S T
CALLIGRAPHISTS	K AE L IH G R AH F AH S T S
CALLIGRAPHY	K AH L IH G R AH F IY
CAMPHENE	K AE M F IY N
CAMPHENES	K AE M F IY N Z
CAMPHINE	K AE M F AY N
CAMPHINES	K AE M F AY N Z
CAMPHIRE	K AE M P HH AY ER
CAMPHIRES	K AE M P HH AY ER Z
CAMPHOL	K AE M F AH L
CAMPHOLS	K AE M F AH L Z
CAMPHOR	K AE M F AH R
CAMPHORACEOUS	K AE M F AH R AH S IY AH S
CAMPHORATE	K AE M F AH R EY T
CAMPHORATED	K AE M F AH R EY T AH D
CAMPHORATES	K AE M F AH R EY T S
CAMPHORATING	K AE M F AH R EY T AH NG
CAMPHORS	K AE M F AH R Z
CANEPHOR	K AE N AH F AH R
CANEPHORS	K AE N AH F AH R Z
CAPH	K AE F
CAPHS	K AE F S
CARDIOGRAPH	K AA R D IY AA G R AH F
CARDIOGRAPHIC	K AA R D IY AA G R AH F AH K
CARDIOGRAPHIES	K AA R D IY AA G R AH F AY Z
CARDIOGRAPHS	K AA R D IY AA G R AH F S
CARDIOGRAPHY	K AA R D IY AA G R AH F IY
CARPOPHORE	K AA R P AH F AH R
CARPOPHORES	K AA R P AH F AH R Z
CARTOGRAPHER	K AA R T AA G R AH F AH R
CARTOGRAPHERS	K AA R T AA G R AH F AH R Z
CARTOGRAPHIC	K AA R T AA G R AH F AH K
CARTOGRAPHICAL	K AA R T AA G R AH F IH S AH L
CARTOGRAPHICALLY	K AA R T AA G R AE F AH K AE L IY
CARTOGRAPHIES	K AA R T AA G R AH F AY Z
CARTOGRAPHY	K AA R T AA G R AH F IY
CATAPHORA	K AH T AE F AH R AH
CATAPHORAS	K AH T AE F AH R AH Z
CATAPHORESES	K AH T AE F AH R IY Z AH Z
CATAPHORESIS	K AE T AH F AO R AH S AH S
CATAPHORETIC	K AH T AE F AH R AH T AH K
CATAPHORETICALLY	K AE T AH F AH R EH T AH K AE L IY
CATAPHORIC	K AE T AH F AH R AH K
CATASTROPHE	K AH T AE S T R AH F IY
CATASTROPHES	K AH T AE S T R AH F IY Z
CATASTROPHIC	K AE T AH S T R AA F IH K
CATASTROPHICALLY	K AE T AH S T R AA F IH K AH L IY
CATASTROPHISM	K AH T AE S T R AH F IY IH Z AH M
CATASTROPHISMS	K AH T AE S T R AH F IY IH Z AH M Z
CATASTROPHIST	K AH T AE S T R AH F IY IH S T
CATASTROPHISTS	K AH T AE S T R AH F IY IH S T S
CATCHPHRASE	K AE CH F R EY Z
CATCHPHRASES	K AE CH F R EY Z IH Z
CELLOPHANE	S EH L AH F EY N
CELLOPHANES	S EH L AH F EY N Z
CELLPHONE	S EH L F OW N
CELLPHONES	S EH L F OW N Z
CENOTAPH	S EH N AH T AH F
CENOTAPHS	S EH N AH T AH F S
CEPHALAD	S EH F AH L AH D
CEPHALEXIN	S EH F AH L EH K S AH N
CEPHALEXINS	S EH F AH L EH K S AH N Z
CEPHALIC	S EH F AH L AH K
CEPHALICALLY	S AH F AE L AH K AE L IY
CEPHALIN	S EH F AH L AH N
CEPHALINS	S EH F AH L AH N Z
CEPHALIZATION	S EH F AH L AH Z EY SH AH N
CEPHALIZATIONS	S EH F AH L AH Z EY T IY AH N Z
CEPHALOMETRIC	S AH F AE L AH M AH T R AH K
CEPHALOMETRIES	S EH F AH L AH M EH T R AY Z
CEPHALOMETRY	S EH F AH L AH M EH T R IY
CEPHALOPOD	S EH F AH L AH P AA D
CEPHALOPODS	S AH F AE L AH P AH D Z
CEPHALORIDINE	S AH F AH L AO R AH D AY N
CEPHALORIDINES	S AH F AH L AO R AH D AY N Z
CEPHALOSPORIN	S EH F AH L AO S P AO R IH N
CEPHALOSPORINS	S EH F AH L AA S AH R AH N Z
CEPHALOTHIN	S AH F AE L AH TH AH N
CEPHALOTHINS	S AH F AE L AH TH AH N Z
CEPHALOTHORACES	S EH F AH L AH TH AO R AH S AH Z
CEPHALOTHORAX	S EH F AH L AA TH AH R AH K S
CEPHALOTHORAXES	S EH F AH L AA TH AH R AH K S
CEPHEID	S AH F IY D
CEPHEIDS	S AH F IY D Z
CERIPH	S EH R AH F
CERIPHS	S EH R AH F S
CHAMAEPHYTE	CH AE M AH F AY T
CHAMAEPHYTES	CH AE M AH F AY T S
CHEMOAUTOTROPHIC	K EH M OW AH T AA T R AH F AH K
CHEMOAUTOTROPHIES	K EH M OW AH T AA T R AH F AY Z
CHEMOAUTOTROPHY	K EH M OW AH T AA T R AH F IY
CHEMOPROPHYLACTIC	K EH M AH P R AA F AH L AH K T AH K
CHEMOPROPHYLAXES	K EH M AH P R AA F AH L AH K S
CHEMOPROPHYLAXIS	K AH M AA P R AA F AH L AE K S AH S
CHIROGRAPHER	CH AH R AA G R AH F AH R
CHIROGRAPHERS	CH AH R AA G R AH F AH R Z
CHIROGRAPHIC	CH AH R AA G R AH F AH K
CHIROGRAPHICAL	CH AH R AA G R AH F IH S AH L
CHIROGRAPHIES	CH AH R AA G R AH F AY Z
CHIROGRAPHY	CH AH R AA G R AH F IY
CHLORAMPHENICOL	K L AO R AH M F EH N AH K AH L
CHLORAMPHENICOLS	K L AO R AH M F EH N AH K AH L Z
CHLOROPHYLL	K L AO R AH F IH L
CHLOROPHYLLOUS	K L AO R AH F IH L AH S
CHLOROPHYLLS	K L AO R AH F AH L Z
CHOLANGIOGRAPHIC	CH AH L AE N JH IY AA G R AH F AH K
CHOLANGIOGRAPHIES	CH AH L AE N JH IY AA G R AH F AY Z
CHOLANGIOGRAPHY	CH AH L AE N JH IY AA G R AH F IY
CHOPHOUSE	CH AA P HH AW S
CHOPHOUSES	CH AA P HH AW S IH Z
CHOREOGRAPH	K AO R IY AH G R AE F
CHOREOGRAPHED	K AO R IY AH G R AE F T
CHOREOGRAPHER	K AO R IY AA G R AH F ER
CHOREOGRAPHERS	K AO R IY AA G R AH F ER Z
CHOREOGRAPHIC	K AO R IY AH G R AE F IH K
CHOREOGRAPHICALLY	K OW R IY AH G R AE F IH K AH L IY
CHOREOGRAPHIES	K OW R IY AA G R AH F IY Z
CHOREOGRAPHING	K AO R IY AA G R AH F IH NG
CHOREOGRAPHING(2)	K AO R IY AH G R AE F IH NG
CHOREOGRAPHS	K OW R IY AH G R AE F S
CHOREOGRAPHY	K AO R IY AA G R AH F IY
CHOROGRAPHER	CH AH R AA G R AH F AH R
CHOROGRAPHERS	CH AH R AA G R AH F AH R Z
CHOROGRAPHIC	CH AH R AA G R AH F AH K
CHOROGRAPHIES	CH AH R AA G R AH F AY Z
CHOROGRAPHY	CH AH R AA G R AH F IY
CHROMATOGRAPH	K R AA M AH T AA G R AH F
CHROMATOGRAPHED	K R AA M AH T AA G R AH F T
CHROMATOGRAPHER	K R AA M AH T AA G R AH F AH R
CHROMATOGRAPHERS	K R AA M AH T AA G R AH F AH R Z
CHROMATOGRAPHIC	K R OW M AE T AH G R AE F IH K
CHROMATOGRAPHICALLY	K R OW M AE T AH G R AE F IH K AH L IY
CHROMATOGRAPHIES	K R OW M AH T AA G R AH F IY Z
CHROMATOGRAPHING	K R AA M AH T AA G R AH F AH NG
CHROMATOGRAPHS	K R AA M AH T AA G R AH F S
CHROMATOGRAPHY	K R OW M AH T AA G R AH F IY
CHROMATOPHORE	K R AH M AE T AH F AH R
CHROMATOPHORES	K R AH M AE T AH F AH R Z
CHROMOLITHOGRAPH	K R AA M AH L AH TH AA G R AH F
CHROMOLITHOGRAPHED	K R AA M AH L AH TH AA G R AH F T
CHROMOLITHOGRAPHER	K R AA M AH L AH TH AA G R AH F AH R
CHROMOLITHOGRAPHERS	K R AA M AH L AH TH AA G R AH F AH R Z
CHROMOLITHOGRAPHIC	K R AA M AH L AH TH AA G R AH F AH K
CHROMOLITHOGRAPHIES	K R AA M AH L AH TH AA G R AH F AY Z
CHROMOLITHOGRAPHING	K R AA M AH L AH TH AA G R AH F AH NG
CHROMOLITHOGRAPHS	K R AA M AH L AH TH AA G R AH F S
CHROMOLITHOGRAPHY	K R AA M AH L AH TH AA G R AH F IY
CHROMOPHIL	K R AA M AH F AH L
CHROMOPHOBE	K R AA M AH F OW B
CHROMOPHORE	K R AA M AH F AH R
CHROMOPHORES	K R AA M AH F AH R Z
CHROMOPHORIC	K R AA M AH F AH R AH K
CHROMOSPHERE	K R AH M AA S AH R
CHROMOSPHERES	K R AA M AH S IY R Z
CHROMOSPHERIC	K R AH M AA S AH R AH K
CHRONOGRAPH	K R AH N AA G R AH F
CHRONOGRAPHIC	K R AH N AA G R AH F AH K
CHRONOGRAPHIES	K R AH N AA G R AH F AY Z
CHRONOGRAPHS	K R AH N AA G R AH F S
CHRONOGRAPHY	K R AH N AA G R AH F IY
CHRYSOPHYTE	K R IH S AH F AY T
CHRYSOPHYTES	K R IH S AH F AY T S
CINEMATOGRAPH	S IH N AH M AH T AA G R AH F
CINEMATOGRAPHER	S IH N IH M AH T AA G R AH F ER
CINEMATOGRAPHERS	S IH N AH M AH T AA G R AH F AH R Z
CINEMATOGRAPHIC	S IH N AH M AH T AA G R AH F AH K
CINEMATOGRAPHICALLY	S AH N EH M AH T AA G R AE F AH K AE L IY
CINEMATOGRAPHIES	S IH N AH M AH T AA G R AH F AY Z
CINEMATOGRAPHS	S IH N AH M AH T AA G R AH F S
CINEMATOGRAPHY	S IH N IH M AH T AA G R AH F IY
CIPHER	S AY F ER
CIPHERED	S AY F ER D
CIPHERING	S AY F ER IH NG
CIPHERS	S AY F ER Z
CIPHERTEXT	S AY F ER T EH K S T
CIPHERTEXTS	S AY F ER T EH K S T S
CIPHONIES	S IH F AH N AY Z
CIPHONY	S IH F AH N IY
CLADOPHYLL	K L AE D AH F AH L
CLADOPHYLLA	K L AE D AH F IH L AH
CLADOPHYLLS	K L AE D AH F AH L Z
CLADOPHYLLUM	K L AE D AH F IH L AH M
CLAUSTROPHOBE	K L AO S T R AH F OW B
CLAUSTROPHOBES	K L AO S T R AH F OW B Z
CLAUSTROPHOBIA	K L AO S T R AH F OW B IY AH
CLAUSTROPHOBIAS	K L AO S T R AH F OW B IY AH Z
CLAUSTROPHOBIC	K L AO S T R AH F OW B IH K
CLAUSTROPHOBICALLY	K L AO S T R AH F AA B AH K AE L IY
CLOMIPHENE	K L AA M AH F IY N
CLOMIPHENES	K L AA M AH F IY N Z
COLIPHAGE	K OW L IH F AH JH
COLIPHAGES	K OW L IH F AH JH AH Z
COLOPHON	K OW L AA F AH N
COLOPHONIES	K OW L AA P HH OW N IY Z
COLOPHONS	K OW L AA F AH N Z
COLOPHONY	K OW L AA P HH OW N IY
COMPUTERPHOBE	K AA M P Y UW T AH R F OW B
COMPUTERPHOBES	K AA M P Y UW T AH R F OW B Z
COMPUTERPHOBIA	K AA M P Y UW T AH R F OW B IY AH
COMPUTERPHOBIAS	K AA M P Y UW T AH R F OW B IY AH Z
COMPUTERPHOBIC	K AA M P Y AH T AH R F AH B AH K
CONIDIOPHORE	K AH N AH D IY AH F AH R
CONIDIOPHORES	K AH N AH D IY AH F AH R Z
COPROPHAGIES	K AA P R AH F AH JH AY Z
COPROPHAGOUS	K AA P R AH F EY JH AH S
COPROPHAGY	K AA P R AA F AH JH IY
COPROPHILIA	K AA P R AH F IH L Y AH
COPROPHILIAC	K AA P R AH F IH L IY AH K
COPROPHILIACS	K AA P R AH F IH L IY AH S
COPROPHILIAS	K AA P R AH F IH L Y AH Z
COPROPHILOUS	K AA P R AH F AY L AH S
CORONAGRAPH	K AH R OW N AH G R AE F
CORONAGRAPHS	K AH R OW N AH G R AE F S
CORONOGRAPH	K OW R AH N AA G R AH F
CORONOGRAPHS	K OW R AH N AA G R AH F S
CORTICOTROPHIN	K AA R T AH K AA T R AH F AH N
CORTICOTROPHINS	K AA R T AH K AA T R AH F AH N Z
CORYPHAEI	K OW R IH F IY IY
CORYPHAEUS	K OW R IH F IY AH S
CORYPHEE	K OW R AH F IY IY
CORYPHEES	K OW R AH F IY Z
COSMOGRAPHER	K AA S M AA G R AH F AH R
COSMOGRAPHERS	K AA S M AA G R AH F AH R Z
COSMOGRAPHIC	K AA S M AA G R AH F AH K
COSMOGRAPHICAL	K AA S M AA G R AH F IH S AH L
COSMOGRAPHIES	K AA S M AA G R AH F AY Z
COSMOGRAPHY	K AA S M AA G R AH F IY
CRYOPHILIC	K R AY AH F AY L AH K
CRYPTOGRAPH	K R IH P T AA G R AH F
CRYPTOGRAPHER	K R IH P T AA G R AH F AH R
CRYPTOGRAPHERS	K R IH P T AA G R AH F AH R Z
CRYPTOGRAPHIC	K R IH P T AH G R AE F IH K
CRYPTOGRAPHICALLY	K R IH P T AH G R AE F IH K AH L IY
CRYPTOGRAPHIES	K R IH P T AA G R AH F AY Z
CRYPTOGRAPHS	K R IH P T AA G R AH F S
CRYPTOGRAPHY	K R IH P T AA G R AH F IY
CRYSTALLOGRAPHER	K R IH S T AH L AA G R AH F ER
CRYSTALLOGRAPHERS	K R IH S T AH L AA G R AH F ER Z
CRYSTALLOGRAPHIC	K R IH S T AH L OW G R AE F IH K
CRYSTALLOGRAPHICALLY	K R IH S T AH L OW G R AE F IH K AH L IY
CRYSTALLOGRAPHIES	K R IH S T AH L AA G R AH F IY Z
CRYSTALLOGRAPHY	K R IH S T AH L AA G R AH F IY
CTENOPHORAN	K T AH N AA F AH R AH N
CTENOPHORANS	K T AH N AA F AH R AH N Z
CTENOPHORE	K T EH N AH F AH R
CTENOPHORES	K T EH N AH F AH R Z
CYCADOPHYTE	S AH K AE D AH F AY T
CYCADOPHYTES	S AH K AE D AH F AY T S
CYCLOALIPHATIC	S IH K L OW L AH F AH T AH K
CYCLOPHOSPHAMIDE	S IH K L AH F AA S AH M AY D
CYCLOPHOSPHAMIDES	S IH K L AH F AA S AH M AY D Z
CYMOPHANE	S IH M AH F EY N
CYMOPHANES	S IH M AH F EY N Z
CYPHER	S AY F ER
CYPHERED	S AH F IY R D
CYPHERING	S AH F IY R AH NG
CYPHERS	S AY F ER Z
CYTOPHILIC	S IH T AH F AY L AH K
CYTOPHOTOMETRIC	S IH T AH F AA T AH M AH T R AH K
CYTOPHOTOMETRIES	S AH T AH F AH T AH M EH T R AY Z
CYTOPHOTOMETRY	S AH T AA F AH T AH M EH T R IY
DAPHNE	D AE F N IY
DAPHNES	D AE F N Z
DAPHNIA	D AE F N IY AH
DAPHNIAS	D AE F N IY AH Z
DAUPHIN	D AW F IH N
DAUPHINE	D AO F IY N
DAUPHINES	D AO F IY N Z
DAUPHINS	D AO F AH N Z
DECIPHER	D IH S AY F ER
DECIPHERABLE	D IY S AY F ER AH B AH L
DECIPHERED	D IH S AY F ER D
DECIPHERER	D IY S AY F ER ER
DECIPHERERS	D IY S AY F ER ER Z
DECIPHERING	D AH S AY F ER IH NG
DECIPHERMENT	D IY S AY F ER M AH N T
DECIPHERMENTS	D IY S AY F ER M AH N T S
DECIPHERS	D IY S AY F ER Z
DEEMPHASIZE	D IY EH M F AH S AY Z
DEEMPHASIZED	D IY EH M F AH S AY Z D
DEEMPHASIZES	D IY EH M F AH S AY Z IH Z
DEEMPHASIZING	D IY EH M F AH S AY Z IH NG
DELPHIC	D EH L F IH K
DELPHICALLY	D IH L F AH K AE L IY
DELPHINIUM	D IH L F IH N IY AH M
DELPHINIUMS	D IH L F IH N IY AH M Z
DEMOGRAPHER	D IH M AA G R AH F ER
DEMOGRAPHERS	D IH M AA G R AH F ER Z
DEMOGRAPHIC	D EH M AH G R AE F IH K
DEMOGRAPHICAL	D EH M AH G R AE F IH K AH L
DEMOGRAPHICALLY	D EH M AH G R AE F IH K L IY
DEMOGRAPHICS	D EH M AH G R AE F IH K S
DEMOGRAPHIES	D IH M AA G R AH F IY Z
DEMOGRAPHY	D IH M AA G R AH F IY
DEPHOSPHORYLATE	D IY F AA S F ER IY L EY T
DEPHOSPHORYLATED	D IY F AA S F ER IY L EY T IH D
DEPHOSPHORYLATES	D IY F AA S F ER IY L EY T S
DEPHOSPHORYLATING	D IY F AA S F ER IY L EY T IH NG
DEPHOSPHORYLATION	D IY F AA S F ER IY L EY SH AH N
DEPHOSPHORYLATIONS	D IY F AA S F ER IY L EY SH AH N Z
DERMATOGLYPHIC	D IH R M AH T AA G L AH F AH K
DERMATOGLYPHICS	D IH R M AH T AA G L AH F AH S Z
DERMATOPHYTE	D IH R M AE T AH F AY T
DERMATOPHYTES	D IH R M AE T AH F AY T S
DEXTROAMPHETAMINE	D IH Z T R OW M F EH T AH M AY N
DEXTROAMPHETAMINES	D IH Z T R OW M F EH T AH M AY N Z
DIADELPHOUS	D AY AH D EH L F AH S
DIAGRAPH	D AY AE G R AH F
DIAGRAPHS	D AY AE G R AH F S
DIAPHANEITIES	D AY AH F AH N AH T AY Z
DIAPHANEITY	D AY AH F AH N IY AH T IY
DIAPHANOUS	D AY AE F AH N IH S
DIAPHANOUSLY	D AY AE F AH N AH S L IY
DIAPHANOUSNESS	D AY AE F AH N AH S N AH S
DIAPHANOUSNESSES	D AY AE F AH N AH S N AH S IH Z
DIAPHONE	D AY AH F OW N
DIAPHONES	D AY AH F OW N Z
DIAPHONIES	D AY AE F AH N AY Z
DIAPHONY	D AY AE F AH N IY
DIAPHORASE	D AY AE F AH R EY Z
DIAPHORASES	D AY AE F AH R EY Z AH Z
DIAPHORESES	D AY AE F AH R IY Z AH Z
DIAPHORESIS	D AY AH F AO R AH S AH S
DIAPHORETIC	D AY AE F AH R AH T AH K
DIAPHORETICS	D AY AH F AO R AH T AH S Z
DIAPHRAGM	D AY AH F R AE M
DIAPHRAGMATIC	D AY AH F R AE M AH T IH K
DIAPHRAGMATICALLY	D AY AH F R AE M AH T IH K AH L IY
DIAPHRAGMS	D AY AH F R AE M Z
DIAPHYSEAL	D AY AH F IH Z IY AH L
DIAPHYSES	D AY AH F AY Z AH Z
DIAPHYSIAL	D AY AH F IH Z IY AH L
DIAPHYSIS	D AY AE F AH S AH S
DIASTROPHIC	D AY AE S T R AH F AH K
DIASTROPHICALLY	D AY AE S T R AA F AH K AE L IY
DIASTROPHISM	D AY AE S T R AH F IH Z AH M
DIASTROPHISMS	D AY AE S T R AH F AH Z AH M Z
DIENCEPHALA	D IY N S EH F AH L AH
DIENCEPHALIC	D IY N S AH F AH L AH K
DIENCEPHALON	D IY N S EH F AH L AH N
DIENCEPHALONS	D IY N S EH F AH L AH N Z
DIGRAPH	D IH G R AH F
DIGRAPHIC	D IH G R AH F AH K
DIGRAPHICALLY	D IH G R AE F AH K AE L IY
DIGRAPHS	D IH G R AH F S
DIMORPH	D IH M AH R F
DIMORPHIC	D AY M AO R F IH K
DIMORPHISM	D AY M AO R F IH Z AH M
DIMORPHISMS	D AH M AO R F AH Z AH M Z
DIMORPHOUS	D AH M AO R F AH S
DIMORPHS	D IH M AH R F S
DINITROPHENOL	D IH N AH T R AA F AH N AH L
DINITROPHENOLS	D IH N AH T R AA F AH N AH L Z
DIPHASE	D AH F EY Z
DIPHASIC	D IH F AH Z AH K
DIPHENHYDRAMINE	D AH F AH N HH IH D R AH M AY N
DIPHENHYDRAMINES	D AH F AH N HH IH D R AH M AY N Z
DIPHENYL	D IH F AH N AH L
DIPHENYLAMINE	D AH F AH N IH L AH M AY N
DIPHENYLAMINES	D AH F AH N IH L AH M AY N Z
DIPHENYLHYDANTOIN	D AH F AH N IH L HH IH D AH N T OY N
DIPHENYLHYDANTOINS	D AH F AH N IH L HH IH D AH N T OY N Z
DIPHENYLS	D IH F AH N AH L Z
DIPHOSGENE	D IH F AH Z IY N
DIPHOSGENES	D IH F AH Z IY N Z
DIPHOSPHATE	D IH F AH S EY T
DIPHOSPHATES	D IH F AH S EY T S
DIPHTHERIA	D IH F TH IH R IY AA
DIPHTHERIAL	D IH F TH IY R IY AH L
DIPHTHERIAS	D IH F TH IY R IY AH Z
DIPHTHERITIC	D IH F TH AH R AH T AH K
DIPHTHEROID	D IH F TH AH R OY D
DIPHTHEROIDS	D IH F TH AH R OY D Z
DIPHTHONG	D IH F TH AO NG
DIPHTHONGAL	D IH F TH AA N G AH L
DIPHTHONGIZATION	D IH F TH AA N JH AH Z EY SH AH N
DIPHTHONGIZATIONS	D IH F TH AA N JH AH Z EY T IY AH N Z
DIPHTHONGIZE	D IH F TH AH N JH AY Z
DIPHTHONGIZED	D IH F TH AH N JH AY Z D
DIPHTHONGIZES	D IH F TH AH N JH AY Z AH Z
DIPHTHONGIZING	D IH F TH AH N JH AY Z AH NG
DIPHTHONGS	D IH F TH AH NG Z
DIPHYLETIC	D IH F AH L AH T AH K
DIPHYODONT	D AH F AY AH D AH N T
DIPLOPHASE	D IH P L AH F EY Z
DIPLOPHASES	D IH P L AH F EY Z AH Z
DISCOGRAPHER	D IH S K OW G R AE F ER
DISCOGRAPHERS	D IH S K OW G R AE F ER Z
DISCOGRAPHIC	D IH S K OW G R AE F IH K
DISCOGRAPHICAL	D IH S K OW G R AE F IH K AH L
DISCOGRAPHIES	D IH S K OW G R AE F IY Z
DISCOGRAPHY	D IH S K AO G R AH F IY
DISCOPHILE	D IH S AH F AY L
DISCOPHILES	D IH S AH F AY L Z
DODECAPHONIC	D UW D IY K AE P HH OW N IH K
DODECAPHONICALLY	D UW D IY K AE P HH OW N IH K AH L IY
DODECAPHONIES	D UW D IY K AE P HH OW N IY Z
DODECAPHONIST	D UW D IY K AE P HH OW N IH S T
DODECAPHONISTS	D UW D IY K AE P HH OW N IH S T S
DODECAPHONY	D UW D IY K AE P HH OW N IY
DOLICHOCEPHALIC	D AA L AH CH AA S AH F AH L AH K
DOLICHOCEPHALIES	D AA L AH CH AH S EH F AH L AY Z
DOLICHOCEPHALY	D AA L AH CH AH S EH F AH L IY
DOLPHIN	D AA L F AH N
DOLPHINFISH	D AA L F AH N F IH SH
DOLPHINFISHES	D AA L F AH N F IH SH IH Z
DOLPHINS	D AA L F AH N Z
DROPHEAD	D R AA P HH EH D
DROPHEADS	D R AA P HH EH D Z
DROSOPHILA	D R AH S AA F AH L AH
DROSOPHILAE	D R AH S AA F AH L IY
DROSOPHILAS	D R AH S AA F AH L AH Z
DYSPHAGIA	D IH S EY JH IY AH
DYSPHAGIAS	D IH S EY JH IY AH Z
DYSPHASIA	D IH S EY ZH IY AH
DYSPHASIAS	D IH S EY S IY AH Z
DYSPHASIC	D IH S AH Z AH K
DYSPHASICS	D IH S AH Z AH S Z
DYSPHEMISM	D IH S AH M IH Z AH M
DYSPHEMISMS	D IH S AH M AH Z AH M Z
DYSPHEMISTIC	D IH S AH M AH S T AH K
DYSPHONIA	D IH S OW N Y AH
DYSPHONIAS	D IH S OW N Y AH Z
DYSPHORIA	D IH S AO R IY AH
DYSPHORIAS	D IH S AO R IY AH Z
DYSPHORIC	D IH S F AO R IH K
DYSTROPHIC	D IH S T R AH F AH K
DYSTROPHIES	D IH S T R AH F IY Z
DYSTROPHY	D IH S T R AH F IY
EARPHONE	IH R F OW N
EARPHONE(2)	IY R F OW N
EARPHONES	IH R F OW N Z
EARPHONES(2)	IY R F OW N Z
ECHOCARDIOGRAPHER	AH CH AH K AA R D IY AA G R AH F AH R
ECHOCARDIOGRAPHERS	AH CH AH K AA R D IY AA G R AH F AH R Z
ECHOCARDIOGRAPHIC	AH CH AH K AA R D IY AA G R AH F AH K
ECHOCARDIOGRAPHIES	AH CH AH K AA R D IY AA G R AH F AY Z
ECHOCARDIOGRAPHY	AH CH AH K AA R D IY AA G R AH F IY
ECOCATASTROPHE	EH K AH K AH T AE S T R AH F
ECOCATASTROPHES	EH K AH K AH T AE S T R AH F S
ECOPHYSIOLOGICAL	AH K AA F AH S IY AA L AH JH IH S AH L
ECOPHYSIOLOGIES	AH K AA F AH S IY AA L AH JH AY Z
ECOPHYSIOLOGY	AH K AA F AH S IY AA L AH JH IY
ECOSPHERE	AH K AA S AH R
ECOSPHERES	EH K AH S IY R Z
ECTOMORPH	EH K T AH M AH R F
ECTOMORPHIC	EH K T AH M AH R F AH K
ECTOMORPHS	EH K T AH M AH R F S
ECTOTROPHIC	EH K T AA T R AH F AH K
EDAPHIC	EH D AH F AH K
EDAPHICALLY	AH D AE F AH K AE L IY
ELAPHINE	EH L AH F AY N
ELECTROCARDIOGRAPH	IH L EH K T R OW K AA R D IY AH G R AE F
ELECTROCARDIOGRAPHIC	IH L EH K T R OW K AA R D IY AH G R AE F IH K
ELECTROCARDIOGRAPHICALLY	IH L EH K T R OW K AA R D IY AH G R AE F IH K AH L IY
ELECTROCARDIOGRAPHIES	IH L EH K T R OW K AA R D IY AH G R AE F IY Z
ELECTROCARDIOGRAPHS	IH L EH K T R OW K AA R D IY AH G R AE F S
ELECTROCARDIOGRAPHY	IH L EH K T R OW K AA R D IY AH G R AE F IY
ELECTROENCEPHALOGRAM	AH L AH K T R OW EH N S AH F AH L AA G R AH M
ELECTROENCEPHALOGRAMS	AH L AH K T R OW EH N S AH F AH L AA G R AH M Z
ELECTROENCEPHALOGRAPH	AH L AH K T R OW EH N S AH F AH L AA G R AH F
ELECTROENCEPHALOGRAPHER	AH L AH K T R OW EH N S AH F AH L AA G R AH F AH R
ELECTROENCEPHALOGRAPHERS	AH L AH K T R OW EH N S AH F AH L AA G R AH F AH R Z
ELECTROENCEPHALOGRAPHIC	AH L AH K T R OW EH N S AH F AH L AA G R AH F AH K
ELECTROENCEPHALOGRAPHICALLY	AH L AH K T R OW AH N S EH F AH L AA G R AE F AH K AE L IY
ELECTROENCEPHALOGRAPHIES	AH L AH K T R OW EH N S AH F AH L AA G R AH F AY Z
ELECTROENCEPHALOGRAPHS	AH L AH K T R OW EH N S AH F AH L AA G R AH F S
ELECTROENCEPHALOGRAPHY	AH L AH K T R OW EH N S AH F AH L AA G R AH F IY
ELECTROMYOGRAPH	AH L EH K T R AH M AY AA G R AH F
ELECTROMYOGRAPHIC	AH L EH K T R AH M AY AA G R AH F AH K
