GE	JH IY
BUTTERFINGERS	B AH T ER F IH NG G ER Z
CABBAGE	K AE B AH JH
CABBAGE(2)	K AE B IH JH
CABBAGED	K AE B IH JH D
CABBAGES	K AE B IH JH IH Z
CABBAGEWORM	K AE B IH JH W ER M
CABBAGEWORMS	K AE B IH JH W ER M Z
CABOTAGE	K AE B AH T IH JH
CABOTAGES	K AH B AA T AH JH AH Z
CADGE	K AE JH
CADGED	K AE JH D
CADGER	K AE JH AH R
CADGERS	K AE JH AH R Z
CADGES	K AE JH AH Z
CAGE	K EY JH
CAGED	K EY JH D
CAGEFUL	K EY JH F AH L
CAGEFULS	K EY JH F AH L Z
CAGELING	K EY JH L IH NG
CAGELINGS	K EY JH L IH NG Z
CAGER	K EY JH ER
CAGERS	K EY JH ER Z
CAGES	K EY JH IH Z
CAGEY	K EY JH IY
CAGEYNESS	K EY JH IY N AH S
CAGEYNESSES	K EY JH IY N AH S IH Z
CALCIFUGE	K AE L S AH F Y UW JH
CALCIFUGES	K AE L S AH F Y UW JH AH Z
CAMOUFLAGE	K AE M AH F L AA ZH
CAMOUFLAGEABLE	K AE M AH F L AA ZH AH B AH L
CAMOUFLAGED	K AE M AH F L AA ZH D
CAMOUFLAGES	K AE M AH F L AA ZH IH Z
CARAGEEN	K EH R IH JH AH N
CARAGEENS	K EH R IH JH AH N Z
CARCINOGEN	K AA R S IH N AH JH AH N
CARCINOGENESES	K AA R S AH N AA JH AH N IY Z AH Z
CARCINOGENESIS	K AA R S AH N AH JH IY N AH S AH S
CARCINOGENIC	K AA R S AH N OW JH EH N IH K
CARCINOGENICITIES	K AA R S IH N AH JH AH N IH S AH T AY Z
CARCINOGENICITY	K AA R S AH N AA JH AH N IH S AH T IY
CARCINOGENS	K AA R S IH N AH JH AH N Z
CARDIOGENIC	K AA R D IY AH JH AH N AH K
CARIOGENIC	K AH R IY AH JH AH N AH K
CARNAGE	K AA R N IH JH
CARNAGES	K AA R N IH JH IH Z
CARPETBAGGER	K AA R P AH T B AE G ER
CARPETBAGGERIES	K AA R P AH T B AE G AH R IY Z
CARPETBAGGERS	K AA R P AH T B AE G ER Z
CARPETBAGGERY	K AA R P AH T B AE G AH R IY
CARRAGEEN	K AA R IH JH AH N
CARRAGEENAN	K AE R AH JH IY N AH N
CARRAGEENANS	K AE R AH JH IY N AH N Z
CARRAGEENIN	K AA R IH JH AH N IH N
CARRAGEENINS	K AA R IH JH AH N IH N Z
CARRAGEENS	K AA R IH JH AH N Z
CARRIAGE	K AE R IH JH
CARRIAGE(2)	K EH R AH JH
CARRIAGES	K AE R IH JH IH Z
CARRIAGES(2)	K EH R AH JH AH Z
CARRIAGEWAY	K AE R IH JH W EY
CARRIAGEWAYS	K AE R IH JH W EY Z
CARTAGE	K AA R T IH JH
CARTAGES	K AA R T IH JH IH Z
CARTILAGE	K AA R T AH L AH JH
CARTILAGE(2)	K AA R T AH L IH JH
CARTILAGES	K AA R T AH L IH JH IH Z
CARTRIDGE	K AA R T R AH JH
CARTRIDGE(2)	K AA R T R IH JH
CARTRIDGES	K AA R T R AH JH AH Z
CATALOGED	K AE T AH L AO G D
CATALOGER	K AE T AH L AO G ER
CATALOGERS	K AE T AH L AO G ER Z
CEILINGED	S EH L IH NG D
CELLARAGE	S EH L ER IH JH
CELLARAGES	S EH L ER IH JH IH Z
CENTRIFUGE	S EH N T R AH F Y UW JH
CENTRIFUGED	S EH N T R AH F Y UW JH D
CENTRIFUGES	S EH N T R AH F Y UW JH IH Z
CHALCOGEN	CH AE L K AH JH AH N
CHALCOGENIDE	CH AE L K AA JH AH N AY D
CHALCOGENIDES	CH AE L K AA JH AH N AY D Z
CHALCOGENS	CH AE L K AH JH AH N Z
CHALLENGE	CH AE L AH N JH
CHALLENGED	CH AE L AH N JH D
CHALLENGER	CH AE L AH N JH ER
CHALLENGER(2)	CH AE L IH N JH ER
CHALLENGERS	CH AE L AH N JH ER Z
CHALLENGES	CH AE L AH N JH IH Z
CHANGE	CH EY N JH
CHANGEABILITIES	CH EY N JH AH B IH L AH T EH Z
CHANGEABILITY	CH EY N JH AH B IH L AH T EH
CHANGEABLE	CH EY N JH AH B AH L
CHANGEABLENESS	CH EY N JH AH B AH L N AH S
CHANGEABLENESSES	CH EY N JH AH B AH L N AH S IH Z
CHANGEABLY	CH EY N JH AH B L IY
CHANGED	CH EY N JH D
CHANGEFUL	CH EY N JH F AH L
CHANGEFULLY	CH EY N JH F AH L IY
CHANGEFULNESS	CH EY N JH F AH L N AH S
CHANGEFULNESSES	CH EY N JH F AH L N AH S IH Z
CHANGELESS	CH EY N JH L AH S
CHANGELESSLY	CH EY N JH L AH S L IY
CHANGELESSNESS	CH EY N JH L AH S N AH S
CHANGELESSNESSES	CH EY N JH L AH S N AH S IH Z
CHANGELING	CH EY N JH L IH NG
CHANGELINGS	CH EY N JH L IH NG Z
CHANGEOVER	CH EY N JH OW V ER
CHANGEOVERS	CH EY N JH OW V ER Z
CHANGER	CH EY N JH ER
CHANGERS	CH EY N JH ER Z
CHANGES	CH EY N JH AH Z
CHANGES(2)	CH EY N JH IH Z
CHANTAGE	CH AE N T IH JH
CHANTAGES	CH AE N T IH JH IH Z
CHAPERONAGE	SH AE P AH R OW N IH JH
CHAPERONAGES	SH AE P AH R OW N IH JH IH Z
CHARGE	CH AA R JH
CHARGEABLE	CH AA R JH AH B AH L
CHARGED	CH AA R JH D
CHARGEHAND	CH AA R JH HH AE N D
CHARGEHANDS	CH AA R JH HH AE N D Z
CHARGER	CH AA R JH ER
CHARGERS	CH AA R JH ER Z
CHARGES	CH AA R JH IH Z
CHARMINGER	CH AA R M IH NG ER
CHARMINGEST	CH AA R M IH N JH EH S T
CHEESEBURGER	CH IY Z B ER G ER
CHEESEBURGERS	CH IY Z B ER G ER Z
CHEMOSURGERIES	K EH M AH S AH R JH AH R AY Z
CHEMOSURGERY	K EH M AH S AH R JH EH R IY
CHIGETAI	CH IH JH AH T EY
CHIGETAIS	CH AH JH EH T EY AH S
CHIGGER	CH IH G ER
CHIGGERS	CH IH G ER Z
CHIRURGEON	CH AH R AH R JH AH N
CHIRURGEONS	CH AH R AH R JH IY AH N Z
CHROMOGEN	K R AA M AH JH AH N
CHROMOGENIC	K R AA M AH JH AH N AH K
CHROMOGENS	K R AA M AH JH AH N Z
CHRONOLOGER	K R AA N AH L OW JH AH R
CHRONOLOGERS	K R AH N AA L AH JH AH R Z
CHUGALUGGED	CH AH G AH L AH G D
CHUGGED	CH AH G D
CHUGGER	CH AH G ER
CHUGGERS	CH AH G ER Z
CHYMOTRYPSINOGEN	CH AH M AA T R IH P S IH N AH JH AH N
CHYMOTRYPSINOGENS	CH AH M AA T R AH P S IH N AH JH AH N Z
CLADOGENESES	K L AH D AA JH AH N IY Z AH Z
CLADOGENESIS	K L AE D AH JH IY N AH S AH S
CLADOGENETIC	K L AH D AA JH AH N AH T AH K
CLADOGENETICALLY	K L AE D AH JH AH N EH T AH K AE L IY
CLAGGED	K L AE G D
CLANGED	K L AE NG D
CLANGER	K L AE NG ER
CLANGERS	K L AE NG ER Z
CLEAVAGE	K L IY V AH JH
CLEAVAGE(2)	K L IY V IH JH
CLEAVAGES	K L IY V IH JH IH Z
CLIENTAGE	K L AY AH N T IH JH
CLIENTAGES	K L AY AH N T IH JH IH Z
CLIFFHANGER	K L IH F HH AE NG ER
CLIFFHANGERS	K L IH F HH AE NG ER Z
CLINGED	K L IH NG D
CLINGER	K L IH NG ER
CLINGERS	K L IH NG ER Z
CLOGGED	K L AO G D
CLOGGER	K L AA G ER
CLOGGERS	K L AA G ER Z
COAGENCIES	K OW EY JH AH N S IY Z
COAGENCY	K OW EY JH AH N S IY
COAGENT	K OW EY JH AH N T
COAGENTS	K OW EY JH AH N T S
COBELLIGERENT	K OW B AH L IH JH ER AH N T
COBELLIGERENTS	K OW B AH L IH JH ER AH N T S
COCARCINOGEN	K OW K AA R S IH N AH JH AH N
COCARCINOGENIC	K OW K AA R S IH N AH JH AH N AH K
COCARCINOGENS	K OW K AA R S IH N AH JH AH N Z
COCCYGEAL	K AA K S AY JH IY AH L
COCCYGES	K AA K S AY JH AH Z
CODGER	K AA JH AH R
CODGERS	K AA JH EH R Z
COGENCIES	K OW JH AH N S IY Z
COGENCY	K OW JH AH N S IY
COGENERATION	K OW JH EH N ER EY SH AH N
COGENERATIONS	K OW JH EH N ER EY SH AH N Z
COGENERATOR	K OW JH EH N ER EY T ER
COGENERATORS	K OW JH EH N ER EY T ER Z
COGENT	K OW JH AH N T
COGENTLY	K OW JH AH N T L IY
COGGED	K AA G D
COINAGE	K OY N IH JH
COINAGES	K OY N IH JH IH Z
COLIPHAGE	K OW L IH F AH JH
COLIPHAGES	K OW L IH F AH JH AH Z
COLLAGE	K AH L AA ZH
COLLAGED	K AH L AA ZH D
COLLAGEN	K AA L AH G AH N
COLLAGENASE	K AA L AE JH AH N EY Z
COLLAGENASES	K AA L AE JH AH N EY Z AH Z
COLLAGENOUS	K AA L AH JH EH N AH S
COLLAGENS	K AA L AH JH EH N Z
COLLAGES	K AH L AA ZH IH Z
COLLEGE	K AA L IH JH
COLLEGER	K AA L IH JH ER
COLLEGERS	K AA L IH JH ER Z
COLLEGES	K AA L IH JH IH Z
COLPORTAGE	K AA L P AO R T AH JH
COLPORTAGES	K AA L P AO R T AH JH AH Z
COMANAGE	K OW M AE N IH JH
COMANAGED	K OW M AE N IH JH D
COMANAGEMENT	K OW M AE N IH JH M AH N T
COMANAGEMENTS	K OW M AE N IH JH M AH N T S
COMANAGER	K OW M AE N IH JH ER
COMANAGERS	K OW M AE N IH JH ER Z
COMANAGES	K OW M AE N IH JH IH Z
COMMONAGE	K AA M AH N IH JH
COMMONAGES	K AA M AH N IH JH IH Z
CONCIERGE	K AA N S IY EH R ZH
CONCIERGES	K OW N S Y EH R ZH IH Z
CONCUBINAGE	K AA N K Y UW B AH N AH JH
CONCUBINAGES	K AH N K AH B IH N IH JH IH Z
CONGE	K AA N JH IY
CONGEAL	K AH N JH IY L
CONGEALED	K AH N JH IY L D
CONGEALING	K AH N JH IY L IH NG
CONGEALMENT	K AH N JH IY L M AH N T
CONGEALMENTS	K AH N JH IY L M AH N T S
CONGEALS	K AH N JH IY L Z
CONGEE	K AA N JH IY IY
CONGEED	K AA N JH IY D
CONGEEING	K AA N JH IY AH NG
CONGEES	K AA N JH IY Z
CONGELATION	K AH N JH EH L EY SH AH N
CONGELATIONS	K AH N JH EH L EY SH AH N Z
CONGENER	K AH N JH IY N ER
CONGENERIC	K AH N JH EH N ER IH K
CONGENEROUS	K AH N JH EH N ER AH S
CONGENERS	K AH N JH IY N ER Z
CONGENIAL	K AH N JH IY N Y AH L
CONGENIALITIES	K AH N JH IY N IY AE L AH T IY Z
CONGENIALITY	K AH N JH IY N IY AE L AH T IY
CONGENIALLY	K AH N JH IY N Y AH L IY
CONGENITAL	K AH N JH EH N AH T AH L
CONGENITALLY	K AH N JH EH N AH T AH L IY
CONGER	K AO NG ER
CONGERIES	K AA N JH AH R AY Z
CONGERS	K AA N JH EH R Z
CONGES	K AA N JH AH Z
CONGEST	K AH N JH EH S T
CONGESTED	K AH N JH EH S T AH D
CONGESTED(2)	K AH N JH EH S T IH D
CONGESTING	K AH N JH EH S T IH NG
CONGESTION	K AH N JH EH S CH AH N
CONGESTIONS	K AH N JH EH S SH AH N Z
CONGESTIVE	K AH N JH EH S T IH V
CONGESTS	K AH N JH EH S T S
CONSTRINGE	K AA N S T R IH N JH
CONSTRINGED	K AH N S T R IH NG D
CONSTRINGENT	K AH N S T R IH N JH AH N T
CONSTRINGES	K AH N S T R IH NG Z
CONTINGENCE	K AH N T IH N JH AH N S
CONTINGENCES	K AH N T IH N JH AH N S IH Z
CONTINGENCIES	K AH N T IH N JH AH N S IY Z
CONTINGENCY	K AH N T IH N JH AH N S IY
CONTINGENT	K AH N T IH N JH AH N T
CONTINGENTLY	K AH N T IH N JH AH N T L IY
CONTINGENTS	K AH N T IH N JH AH N T S
CONVERGE	K AH N V ER JH
CONVERGED	K AH N V ER JH D
CONVERGENCE	K AH N V ER JH AH N S
CONVERGENCES	K AH N V ER JH AH N S IH Z
CONVERGENCIES	K AH N V ER JH AH N S IY Z
CONVERGENCY	K AH N V ER JH AH N S IY
CONVERGENT	K AH N V ER JH AH N T
CONVERGES	K AH N V ER JH IH Z
COOPERAGE	K UW P ER AH JH
COOPERAGES	K OW AA P ER IH JH IH Z
CORDAGE	K AO R D AH JH
CORDAGES	K AO R D IH JH IH Z
CORKAGE	K AO R K IH JH
CORKAGES	K AO R K IH JH IH Z
CORRIGENDA	K AA R AH JH EH N D AH
CORRIGENDUM	K AA R AH JH EH N D AH M
CORSAGE	K AO R S AA ZH
CORSAGES	K AO R S AA ZH IH Z
CORTEGE	K AO R T EH ZH
CORTEGES	K AO R T EH ZH IH Z
COSMOGENIC	K OW S M AA G AH N IH K
COSTERMONGER	K AO S T ER M AH NG G ER
COSTERMONGERS	K AO S T ER M AH NG G ER Z
COTANGENT	K OW T AE N JH AH N T
COTANGENTS	K OW T AE N JH AH N T S
COTTAGE	K AA T AH JH
COTTAGE(2)	K AA T IH JH
COTTAGER	K AA T IH JH ER
COTTAGERS	K AA T IH JH ER Z
COTTAGES	K AA T IH JH IH Z
COTTAGEY	K AA T IH JH IY
COUNTERAGENT	K AW N T ER IH JH AH N T
COUNTERAGENTS	K AW N T ER IH JH AH N T S
COUNTERCHANGE	K AW N T ER CH EY N JH
COUNTERCHANGED	K AW N T ER CH EY N JH D
COUNTERCHANGES	K AW N T ER CH EY N JH IH Z
COUNTERCHARGE	K AW N T ER CH AA R JH
COUNTERCHARGE(2)	K AW N ER CH AA R JH
COUNTERCHARGED	K AW N T ER CH AA R JH D
COUNTERCHARGES	K AW N T ER CH AA R JH IH Z
COUNTERCHARGES(2)	K AW N ER CH AA R JH IH Z
COUNTERESPIONAGE	K AW N T ER EH S P IY AH N AA JH
COUNTERESPIONAGE(2)	K AW N ER EH S P Y AH N AA JH
COUNTERESPIONAGES	K AW N T ER EH S P IY AH N AA ZH IH Z
COUNTERIMAGE	K AW N T ER IH M IH JH
COUNTERIMAGES	K AW N T ER IH M IH JH IH Z
COUNTERINSURGENCIES	K AW N T ER IH N S ER JH AH N S IY Z
COUNTERINSURGENCIES(2)	K AW N ER IH N S ER JH AH N S IY Z
COUNTERINSURGENCY	K AW N T ER IH N S ER JH AH N S IY
COUNTERINSURGENCY(2)	K AW N ER IH N S ER JH AH N S IY
COUNTERINSURGENT	K AW N T ER IH N S ER JH AH N T
COUNTERINSURGENTS	K AW N T ER IH N S ER JH AH N T S
COUNTERINTELLIGENCE	K AW N T ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCE(2)	K AW N ER IH N T EH L IH JH AH N S
COUNTERINTELLIGENCES	K AW N T ER IH N T EH L AH JH AH N S IH Z
COUNTERSUGGESTION	K AW N T ER S AH G JH EH S SH AH N
COUNTERSUGGESTIONS	K AW N T ER S AH G JH EH S SH AH N Z
COURAGE	K ER IH JH
COURAGEOUS	K ER EY JH AH S
COURAGEOUSLY	K ER EY JH AH S L IY
COURAGEOUSNESS	K AH R EY JH AH S N AH S
COURAGEOUSNESSES	K AH R EY JH AH S N AH S IH Z
COURAGES	K ER IH JH IH Z
COURGETTE	K OW ER JH EH T
COURGETTES	K OW ER JH EH T S
COUSINAGE	K AH Z AH N IH JH
COUSINAGES	K AH Z AH N IH JH IH Z
COVERAGE	K AH V ER AH JH
COVERAGE(2)	K AH V ER IH JH
COVERAGE(3)	K AH V R IH JH
COVERAGES	K AH V ER AH JH IH Z
COVERAGES(2)	K AH V ER IH JH IH Z
COVERAGES(3)	K AH V R IH JH IH Z
COWAGE	K OW W EY JH
COWAGES	K OW W EY JH IH Z
COWHAGE	K OW AH JH
COWHAGES	K OW AH JH AH Z
COZENAGE	K AH Z AH N IH JH
COZENAGES	K AH Z AH N IH JH IH Z
CRAGGED	K R AE G D
CRANNOGE	K R AE N OW JH
CRANNOGES	K R AE N OW JH AH Z
CREEPAGE	K R IY P IH JH
CREEPAGES	K R IY P IH JH IH Z
CRIBBAGE	K R IH B AH JH
CRIBBAGES	K R IH B IH JH IH Z
CRINGE	K R IH N JH
CRINGED	K R IH N JH D
CRINGER	K R IH N JH ER
CRINGERS	K R IH N JH ER Z
CRINGES	K R IH N JH IH Z
CRYOGEN	K R AY AH JH AH N
CRYOGENIC	K R AY AH JH EH N IH K
CRYOGENICALLY	K R AY AH JH EH N AH K AE L IY
CRYOGENICS	K R AY AH JH EH N IH K S
CRYOGENIES	K R AY AA JH AH N AY Z
CRYOGENS	K R AY AH JH AH N Z
CRYOGENY	K R AY AA JH AH N IY
CRYOSURGEON	K R AY AA S ER JH AO N
CRYOSURGEONS	K R AY AA S ER JH AO N Z
CRYOSURGERIES	K R AY AA S ER JH AH R IY Z
CRYOSURGERY	K R AY AA S ER JH AH R IY
CRYPTOGENIC	K R IH P T AH JH AH N AH K
CUBAGE	K Y UW B IH JH
CUBAGES	K Y UW B IH JH IH Z
CUDGEL	K AH JH AH L
CUDGELED	K AH JH AH L D
CUDGELER	K AH JH AH L ER
CUDGELERS	K AH JH AH L ER Z
CUDGELING	K AH JH AH L IH NG
CUDGELLED	K AH JH AH L D
CUDGELLING	K AH JH AH L IH NG
CUDGELS	K AH JH AH L Z
CULTIGEN	K AH L T AH JH AH N
CULTIGENS	K AH L T AH JH AH N Z
CUNNINGER	K AH N IH NG ER
CUNNINGEST	K AH N IH NG AH S T
CURETTAGE	K Y UH R EH T IH JH
CURETTAGES	K Y UH R EH T IH JH IH Z
CURMUDGEON	K ER M AH JH IH N
CURMUDGEONLINESS	K AH R M AH JH IY AA N L AH N AH S
CURMUDGEONLINESSES	K AH R M AH JH IY AA N L AH N EH S AH Z
CURMUDGEONLY	K AH R M AH JH IY AA N L IY
CURMUDGEONS	K ER M AH JH IH N Z
CURTILAGE	K ER T AY L IH JH
CURTILAGES	K ER T AY L IH JH IH Z
CUTTAGE	K AH T IH JH
CUTTAGES	K AH T IH JH IH Z
CYANOGEN	S AY AE N AH JH AH N
CYANOGENESES	S AY AH N AA JH AH N IY Z AH Z
CYANOGENESIS	S AY AH N AH JH IY N AH S AH S
CYANOGENETIC	S AY AH N AA JH AH N AH T AH K
CYANOGENIC	S AY AE N AH JH AH N AH K
CYANOGENS	S AY AE N AH JH AH N Z
CYCLOGENESES	S IH K L AA JH AH N IY Z AH Z
CYCLOGENESIS	S IH K L AH JH IY N AH S AH S
CYMOGENE	S IH M AH JH IY N
CYMOGENES	S IH M AH JH IY N Z
CYTOGENETIC	S AH T AA JH AH N AH T AH K
CYTOGENETICAL	S IH T AH JH EH N AH T IH S AH L
CYTOGENETICALLY	S IH T AH JH AH N EH T AH K AE L IY
CYTOGENETICIST	S IH T AH JH EH N AH T IH S AH S T
CYTOGENETICISTS	S IH T AH JH AH N EH T AH S AH S T S
CYTOGENETICS	S IH T AH JH EH N AH T AH S Z
CYTOGENIES	S AH T AA JH AH N AY Z
CYTOGENY	S AH T AA JH AH N IY
CYTOPATHOGENIC	S IH T AH P AE TH AH JH AH N AH K
CYTOPATHOGENICITIES	S AH T AH P AE TH AH JH AH N IH S AH T AY Z
CYTOPATHOGENICITY	S IH T AH P AH TH AA JH AH N IH S AH T IY
DAGGER	D AE G ER
DAGGERED	D AE G ER D
DAGGERING	D AE G ER IH NG
DAGGERLIKE	D AE G ER L AY K
DAGGERS	D AE G ER Z
DAMAGE	D AE M AH JH
DAMAGE(2)	D AE M IH JH
DAMAGEABILITIES	D AE M IH JH AH B IH L AH T EH Z
DAMAGEABILITY	D AE M IH JH AH B IH L AH T EH
DAMAGED	D AE M AH JH D
DAMAGED(2)	D AE M IH JH D
DAMAGER	D AE M IH JH ER
DAMAGERS	D AE M IH JH ER Z
DAMAGES	D AE M AH JH AH Z
DAMAGES(2)	D AE M IH JH IH Z
DANEGELD	D AE N AH JH AH L D
DANEGELDS	D AE N AH JH AH L D Z
DANGED	D AE NG D
DANGER	D EY N JH ER
DANGERED	D EY N JH ER D
DANGERING	D EY N JH ER IH NG
DANGEROUS	D EY N JH ER AH S
DANGEROUSLY	D EY N JH ER AH S L IY
DANGEROUSNESS	D EY N JH ER AH S N AH S
DANGEROUSNESSES	D EY N JH ER AH S N AH S IH Z
DANGERS	D EY N JH ER Z
DEBUGGED	D IY B AH G D
DEBUGGER	D IY B UH G ER
DEBUGGERS	D IY B UH G ER Z
DECOLLETAGE	D EY K AA L AH T AA ZH
DECOLLETAGES	D EY K AA L AH T AA ZH IH Z
DECONGEST	D IY K AH N JH EH S T
DECONGESTANT	D IH K AH N JH EH S T AH N T
DECONGESTANT(2)	D IY K AH N JH EH S T AH N T
DECONGESTANTS	D IH K AH N JH EH S T AH N T S
DECONGESTANTS(2)	D IY K AH N JH EH S T AH N T S
DECONGESTED	D IY K AH N JH EH S T IH D
DECONGESTING	D IY K AH N JH EH S T IH NG
DECONGESTION	D IY K AH N JH EH S SH AH N
DECONGESTIONS	D IY K AH N JH EH S SH AH N Z
DECONGESTIVE	D IY K AH N JH EH S T IH V
DECONGESTS	D IY K AH N JH EH S T S
DECOUPAGE	D IY K UW P EY IH JH
DECOUPAGED	D IY K UW P EY IH JH D
DECOUPAGES	D IY K UW P EY IH JH IH Z
DEFANGED	D IY F AE NG D
DEFOGGED	D IY F AA G D
DEFOGGER	D IY F AA G ER
DEFOGGERS	D IY F AA G ER Z
DEGAGE	D IY G EY JH
DEGENERACIES	D IY JH EH N ER AH S IY Z
DEGENERACY	D IH JH EH N ER AH S IY
DEGENERATE	D IH JH EH N ER AH T
DEGENERATE(2)	D IH JH EH N ER EY T
DEGENERATED	D IH JH EH N ER EY T IH D
DEGENERATELY	D IY JH EH N ER AH T L IY
DEGENERATENESS	D IY JH EH N ER AH T N AH S
DEGENERATENESSES	D IY JH EH N ER AH T N AH S IH Z
DEGENERATES	D IH JH EH N ER AH T S
DEGENERATING	D IH JH EH N ER EY T IH NG
DEGENERATION	D IH JH EH N ER EY SH AH N
DEGENERATIONS	D IY JH EH N ER EY SH AH N Z
DEGENERATIVE	D IH JH EH N ER AH T IH V
DEGERM	D IY JH ER M
DEGERMED	D IY JH ER M D
DEGERMING	D IY JH ER M IH NG
DEGERMS	D IY JH ER M Z
DEHYDROGENASE	D AH HH IH D R AA JH AH N EY Z
DEHYDROGENASES	D AH HH IH D R AA JH AH N EY Z AH Z
DEHYDROGENATE	D IY HH AY D R AH JH AH N AH T
DEHYDROGENATED	D IY HH AY D R AH JH AH N EY T IH D
DEHYDROGENATES	D IY HH AY D R AH JH AH N AH T S
DEHYDROGENATING	D IY HH AY D R AH JH AH N EY T IH NG
DEHYDROGENATION	D IY HH AY D R AH JH AH N EY SH AH N
DEHYDROGENATIONS	D IY HH AY D R AH JH AH N EY SH AH N Z
DELUGE	D EH L Y UW JH
DELUGED	D EH L Y UW JH D
DELUGES	D EH L Y UW JH IH Z
DEMAGOGED	D IH M AH G OW JH D
DEMERGE	D IY M ER JH
DEMERGED	D IY M ER JH D
DEMERGER	D IY M ER JH ER
DEMERGERED	D IY M ER JH ER D
DEMERGERING	D IY M ER JH ER IH NG
DEMERGERS	D IY M ER JH ER Z
DEMERGES	D IY M ER JH IH Z
DEMIURGE	D AH M AY AH R JH
DEMIURGES	D AH M AY AH R JH AH Z
DEMURRAGE	D IH M ER IH JH
DEMURRAGES	D IH M ER IH JH IH Z
DEOXYGENATE	D IY AA K S IH JH AH N AH T
DEOXYGENATED	D IY AA K S IH JH AH N EY T IH D
DEOXYGENATES	D IY AA K S IH JH AH N AH T S
DEOXYGENATING	D IY AA K S IH JH AH N EY T IH NG
DEOXYGENATION	D IY AA K S IH JH AH N EY SH AH N
DEOXYGENATIONS	D IY AA K S IH JH AH N EY SH AH N Z
DERANGE	D IH R EY N JH
DERANGED	D IH R EY N JH D
DERANGEMENT	D IY R EY N JH M AH N T
DERANGEMENTS	D IY R EY N JH M AH N T S
DERANGES	D IY R EY N JH IH Z
DERINGER	D EH R IH N JH ER
DERINGERS	D IY R IH NG ER Z
DERMATOGEN	D IH R M AE T AH JH AH N
DERMATOGENS	D IH R M AE T AH JH AH N Z
DERRINGER	D EH R AH N JH ER
DERRINGERS	D IH R IH N JH AH R Z
DETERGE	D IH T ER JH
DETERGED	D IH T ER JH D
DETERGENCIES	D IH T ER JH AH N S IY Z
DETERGENCY	D IH T ER JH AH N S IY
DETERGENT	D IH T ER JH AH N T
DETERGENTS	D IH T ER JH AH N T S
DETERGER	D IH T ER JH ER
DETERGERS	D IH T ER JH ER Z
DETERGES	D IH T ER JH IH Z
DIABETOGENIC	D AY AH B EH T AH JH AH N AH K
DIAGENESES	D AY AE JH AH N IY Z AH Z
DIAGENESIS	D AY AH JH IY N AH S AH S
DIAGENETIC	D AY IH JH N EH T IH K
DIAGENETICALLY	D AY IH JH N EH T IH K AH L IY
DIAGEOTROPIC	D AY AH JH IY AA T R AH P AH K
DIALLAGE	D AY AH L IH JH
DIALLAGES	D AY AH L IH JH IH Z
DIALOGED	D AY AH L OW JH D
DIALOGER	D AY AH L OW JH AH R
DIALOGERS	D AY AE L AH JH AH R Z
DIDGERIDOO	D IH JH EH R AH D UW
DIDGERIDOOS	D IH JH EH R AH D UW Z
DIGENETIC	D IH JH AH N AH T AH K
DIGEST	D AY JH EH S T
DIGESTED	D AY JH EH S T IH D
DIGESTER	D AY JH EH S T ER
DIGESTERS	D AY JH EH S T ER Z
DIGESTIBILITIES	D AY JH EH S T AH B IH L AH T IY Z
DIGESTIBILITY	D AY JH EH S T AH B IH L AH T IY
DIGESTIBLE	D AY JH EH S T AH B AH L
DIGESTING	D AY JH EH S T IH NG
DIGESTION	D AY JH EH S CH AH N
DIGESTIONS	D AY JH EH S SH AH N Z
DIGESTIVE	D AY JH EH S T IH V
DIGESTIVELY	D AY JH EH S T IH V L IY
DIGESTIVES	D AY JH EH S T IH V Z
DIGESTOR	D AY JH EH S T ER
DIGESTORS	D AY JH EH S T ER Z
DIGESTS	D AY JH EH S T S
DIGGED	D IH G D
DIGGER	D IH G ER
DIGGERS	D IH G ER Z
DIGITOXIGENIN	D IH JH AH T AH K S IH JH AH N AH N
DIGITOXIGENINS	D IH JH AH T AH K S IH JH AH N AH N Z
DILIGENCE	D IH L IH JH AH N S
DILIGENCES	D IH L AH JH AH N S IH Z
DILIGENT	D IH L IH JH AH N T
DILIGENTLY	D IH L AH JH AH N T L IY
DINGDONGED	D IH N G D AH NG D
DINGE	D IH N JH
DINGED	D IH NG D
DINGER	D IH NG ER
DINGERS	D IH N JH AH R Z
DINGES	D IH N JH IH Z
DINGEY	D IH N JH IY
DINGEYS	D IH N JH EY Z
DINOFLAGELLATE	D AH N AA F L AE JH AH L EY T
DINOFLAGELLATES	D AH N AA F L AE JH AH L EY T S
DIPHOSGENE	D IH F AH Z IY N
DIPHOSGENES	D IH F AH Z IY N Z
DIRGE	D ER JH
DIRGEFUL	D ER JH F AH L
DIRGELIKE	D ER JH L AY K
DIRGES	D ER JH IH Z
DISADVANTAGE	D IH S AH D V AE N T IH JH
DISADVANTAGE(2)	D IH S AH D V AE N IH JH
DISADVANTAGED	D IH S AH D V AE N T IH JH D
DISADVANTAGED(2)	D IH S AH D V AE N IH JH D
DISADVANTAGEDNESS	D IH S AH D V AE N T IH JH AH D N AH S
DISADVANTAGEDNESSES	D IH S AH D V AE N T IH JH AH D N AH S IH Z
DISADVANTAGEOUS	D IH S AE D V AE N T EY JH AH S
DISADVANTAGEOUSLY	D IH S AE D V AE N T EY JH AH S L IY
DISADVANTAGEOUSNESS	D IH S AE D V AE N T EY JH AH S N AH S
DISADVANTAGEOUSNESSES	D IH S AE D V AE N T EY JH AH S N AH S IH Z
