CR	S IY R
CREAMS	K R IY M Z
CREAMWARE	K R IY M W EH R
CREAMWARES	K R IY M W EH R Z
CREAMY	K R IY M IY
CREASE	K R IY S
CREASED	K R IY S T
CREASELESS	K R IY S L AH S
CREASER	K R IY S ER
CREASERS	K R IY S ER Z
CREASES	K R IY S IH Z
CREASIER	K R IY S IY ER
CREASIEST	K R IY S IY AH S T
CREASING	K R IY S IH NG
CREASY	K R IY S IY
CREATE	K R IY EY T
CREATED	K R IY EY T AH D
CREATED(2)	K R IY EY T IH D
CREATES	K R IY EY T S
CREATIN	K R IY T AH N
CREATINE	K R IY T AY N
CREATINES	K R IY T AY N Z
CREATING	K R IY EY T IH NG
CREATININE	K R IY T AH N AY N
CREATININES	K R IY T AH N AY N Z
CREATINS	K R IY T AH N Z
CREATION	K R IY EY SH AH N
CREATIONISM	K R IY EY SH AH N IH Z AH M
CREATIONISMS	K R IY EY SH AH N IH Z AH M Z
CREATIONIST	K R IY EY SH AH N IH S T
CREATIONISTS	K R IY EY SH AH N IH S T S
CREATIONS	K R IY EY SH AH N Z
CREATIVE	K R IY EY T IH V
CREATIVELY	K R IY EY T IH V L IY
CREATIVENESS	K R IY EY T IH V N AH S
CREATIVENESSES	K R IY EY T IH V N AH S IH Z
CREATIVITIES	K R IY EY T IH V AH T IY Z
CREATIVITY	K R IY EY T IH V AH T IY
CREATOR	K R IY EY T ER
CREATORS	K R IY EY T ER Z
CREATURAL	K R IY CH ER AH L
CREATURE	K R IY CH ER
CREATUREHOOD	K R IY CH ER HH UH D
CREATUREHOODS	K R IY CH ER HH UH D Z
CREATURELINESS	K R IY CH ER L IY N AH S
CREATURELINESSES	K R IY CH ER L IY N AH S IH Z
CREATURELY	K R IY CH ER L IY
CREATURES	K R IY CH ER Z
CRECHE	K R EH SH
CRECHES	K R EH SH AH Z
CREDAL	K R EH D AH L
CREDENCE	K R IY D AH N S
CREDENCES	K R EH D AH N S IH Z
CREDENDA	K R AH D EH N D AH
CREDENDUM	K R AH D EH N D AH M
CREDENT	K R EH D AH N T
CREDENTIAL	K R IH D EH N SH AH L
CREDENTIAL(2)	K R AH D EH N SH AH L
CREDENTIALED	K R AH D EH N SH AH L D
CREDENTIALING	K R IH D EH N CH AH L IH NG
CREDENTIALISM	K R IH D EH N CH AH L IH Z AH M
CREDENTIALISMS	K R IH D EH N CH AH L IH Z AH M Z
CREDENTIALLED	K R IH D EH N CH AH L D
CREDENTIALLING	K R IH D EH N CH AH L IH NG
CREDENTIALS	K R AH D EH N SH AH L Z
CREDENZA	K R AH D EH N Z AH
CREDENZAS	K R AH D EH N Z AH Z
CREDIBILITIES	K R EH D AH B IH L AH T IY Z
CREDIBILITY	K R EH D AH B IH L IH T IY
CREDIBLE	K R EH D AH B AH L
CREDIBLY	K R EH D AH B L IY
CREDIT	K R EH D AH T
CREDIT(2)	K R EH D IH T
CREDITABILITIES	K R EH D AH T AH B IH L AH T EH Z
CREDITABILITY	K R EH D AH T AH B IH L AH T EH
CREDITABLE	K R EH D AH T AH B AH L
CREDITABLENESS	K R EH D AH T AH B AH L N AH S
CREDITABLENESSES	K R EH D AH T AH B AH L N AH S IH Z
CREDITABLY	K R EH D AH T AH B L IY
CREDITED	K R EH D AH T AH D
CREDITED(2)	K R EH D IH T IH D
CREDITING	K R EH D AH T IH NG
CREDITOR	K R EH D AH T ER
CREDITOR(2)	K R EH D IH T ER
CREDITORS	K R EH D IH T ER Z
CREDITS	K R EH D IH T S
CREDITWORTHINESS	K R EH D IH T W ER DH IY N AH S
CREDITWORTHINESSES	K R EH D AH T W ER DH IY N AH S IH Z
CREDITWORTHY	K R EH D IH T W ER DH IY
CREDO	K R EY D OW
CREDO(2)	K R IY D OW
CREDOS	K R EY D OW Z
CREDULITIES	K R IH D UW L AH T IY Z
CREDULITY	K R IH D UW L AH T IY
CREDULOUS	K R EH JH AH L AH S
CREDULOUSLY	K R EH JH AH L AH S L IY
CREDULOUSNESS	K R EH JH AH L AH S N AH S
CREDULOUSNESSES	K R EH JH AH L AH S N AH S IH Z
CREED	K R IY D
CREEDAL	K R IY D AH L
CREEDS	K R IY D Z
CREEK	K R IY K
CREEKS	K R IY K S
CREEL	K R IY L
CREELED	K R IY L D
CREELING	K R IY L AH NG
CREELS	K R IY L Z
CREEP	K R IY P
CREEPAGE	K R IY P IH JH
CREEPAGES	K R IY P IH JH IH Z
CREEPER	K R IY P ER
CREEPERS	K R IY P ER Z
CREEPIE	K R IY P IY
CREEPIER	K R IY P IY ER
CREEPIES	K R IY P IY Z
CREEPIEST	K R IY P IY AH S T
CREEPILY	K R IY P IY L IY
CREEPINESS	K R IY P IY N IH S
CREEPINESSES	K R IY P IY N AH S IH Z
CREEPING	K R IY P IH NG
CREEPS	K R IY P S
CREEPY	K R IY P IY
CREESE	K R IY Z
CREESES	K R IY Z AH Z
CREESH	K R IY SH
CREESHED	K R IY SH T
CREESHES	K R IY SH AH Z
CREESHING	K R IY SH AH NG
CREMAINS	K R AH M EY N Z
CREMATE	K R IY M EY T
CREMATED	K R IY M EY T IH D
CREMATES	K R IY M EY T S
CREMATING	K R IY M EY T IH NG
CREMATION	K R IY M EY SH AH N
CREMATIONS	K R IY M EY SH AH N Z
CREMATOR	K R IY M EY T ER
CREMATORIA	K R IY M AH T AO R IY AH
CREMATORIES	K R IY M EY T ER IY Z
CREMATORIUM	K R IY M AH T AO R IY AH M
CREMATORIUMS	K R EH M AH T AO R IY AH M Z
CREMATORS	K R IY M EY T ER Z
CREMATORY	K R IY M EY T ER IY
CREME	K R IY M
CREMES	K R IY M Z
CRENATE	K R IY N EY T
CRENATED	K R IY N EY T AH D
CRENATION	K R IY N EY SH AH N
CRENATIONS	K R AH N EY T IY AH N Z
CRENEL	K R EH N AH L
CRENELATED	K R EH N AH L EY T AH D
CRENELATION	K R EH N AH L EY SH AH N
CRENELATIONS	K R EH N AH L EY T IY AH N Z
CRENELED	K R AH N IY L D
CRENELING	K R AH N IY L AH NG
CRENELLATED	K R EH N AH L EY T AH D
CRENELLATION	K R EH N AH L EY SH AH N
CRENELLATIONS	K R EH N AH L EY T IY AH N Z
CRENELLE	K R EH N AH L
CRENELLED	K R EH N AH L D
CRENELLES	K R EH N AH L Z
CRENELLING	K R AH N EH L AH NG
CRENELS	K R EH N AH L Z
CRENULATE	K R IY N Y AH L EY T
CRENULATED	K R IY N Y AH L EY T AH D
CRENULATION	K R IY N Y AH L EY SH AH N
CRENULATIONS	K R EH N Y AH L EY T IY AH N Z
CREODONT	K R IY AH D AH N T
CREODONTA	K R IY AH D AA N T AH
CREODONTS	K R IY AH D AH N T S
CREOLE	K R IY OW L
CREOLES	K R IY OW L Z
CREOLISE	K R IY AH L AY Z
CREOLISED	K R IY OW L IY Z D
CREOLISES	K R IY OW L IY Z IH Z
CREOLISING	K R IY OW L IY Z IH NG
CREOLIZATION	K R IY OW L AH Z EY SH AH N
CREOLIZATIONS	K R IY OW L AH Z EY SH AH N Z
CREOLIZE	K R IY OW L AY Z
CREOLIZED	K R IY OW L AY Z D
CREOLIZES	K R IY OW L AY Z IH Z
CREOLIZING	K R IY OW L AY Z IH NG
CREOSOL	K R IY AH S AH L
CREOSOLS	K R IY AH S AH L Z
CREOSOTE	K R IY AH S OW T
CREOSOTED	K R IY AH S OW T AH D
CREOSOTES	K R IY AH S OW T S
CREOSOTING	K R IY AH S OW T AH NG
CREPE	K R EY P
CREPED	K R EY P T
CREPES	K R EY P S
CREPEY	K R EY P IY
CREPIER	K R EY P IY ER
CREPIEST	K R EY P IY AH S T
CREPING	K R EY P IH NG
CREPITANT	K R EH P AH T AH N T
CREPITATE	K R EH P AH T EY T
CREPITATED	K R EH P AH T EY T AH D
CREPITATES	K R EH P AH T EY T S
CREPITATING	K R EH P AH T EY T AH NG
CREPITATION	K R EH P AH T EY SH AH N
CREPITATIONS	K R EH P AH T EY T IY AH N Z
CREPON	K R EH P AH N
CREPONS	K R EH P AH N Z
CREPT	K R EH P T
CREPUSCLE	K R EH P AH S AH L
CREPUSCLES	K R EH P AH S AH L Z
CREPUSCULAR	K R AH P AH S Y AH L AH R
CREPUSCULE	K R EH P AH S Y UW L
CREPUSCULES	K R EH P AH S Y UW L Z
CREPY	K R EY P IY
CRESCENDI	K R EH S EH N D IY
CRESCENDO	K R IH SH EH N D OW
CRESCENDOED	K R IH SH EH N D OW D
CRESCENDOES	K R IH SH EH N D OW Z
CRESCENDOING	K R IH SH EH N D OW IH NG
CRESCENDOS	K R IH SH EH N D OW Z
CRESCENT	K R EH S AH N T
CRESCENTIC	K R EH S AH N T IH K
CRESCENTS	K R EH S AH N T S
CRESCIVE	K R EH S IH V
CRESCIVELY	K R EH S IH V L IY
CRESOL	K R EH S AH L
CRESOLS	K R EH S AH L Z
CRESS	K R EH S
CRESSES	K R EH S AH Z
CRESSES(2)	K R EH S IH Z
CRESSET	K R EH S AH T
CRESSETS	K R EH S AH T S
CREST	K R EH S T
CRESTAL	K R EH S T AH L
CRESTED	K R EH S T IH D
CRESTFALLEN	K R EH S T F AO L AH N
CRESTFALLENLY	K R EH S T F AE L AH N L IY
CRESTFALLENNESS	K R EH S T F AE L AH N AH S
CRESTFALLENNESSES	K R EH S T F AE L AH N AH S IH Z
CRESTING	K R EH S T IH NG
CRESTINGS	K R EH S T IH NG Z
CRESTLESS	K R EH S T L AH S
CRESTS	K R EH S T S
CRESYL	K R EH S AH L
CRESYLIC	K R EH S AH L AH K
CRESYLS	K R EH S AH L Z
CRETIC	K R IY T AH K
CRETICS	K R IY T AH S Z
CRETIN	K R IY T AH N
CRETINISM	K R EH T AH N IH Z AH M
CRETINISMS	K R EH T AH N AH Z AH M Z
CRETINOUS	K R EH T AH N AH S
CRETINS	K R EH T AH N Z
CRETONNE	K R EH T AH N
CRETONNES	K R EH T AH N Z
CREVALLE	K R EH V AH L
CREVALLES	K R EH V AH L Z
CREVASSE	K R AH V AE S
CREVASSED	K R EH V AH S T
CREVASSES	K R AH V AE S AH Z
CREVASSING	K R AH V AE S AH NG
CREVICE	K R EH V AH S
CREVICED	K R EH V AH S T
CREVICES	K R EH V AH S IH Z
CREW	K R UW
CREWCUT	K R UW K AH T
CREWCUTS	K R UW K AH T S
CREWED	K R UW D
CREWEL	K R UW AH L
CREWELS	K R UW AH L Z
CREWELWORK	K R UW AH L W ER K
CREWELWORKS	K R UW AH L W ER K S
CREWING	K R UW IH NG
CREWLESS	K R UW L AH S
CREWMAN	K R UW M AH N
CREWMATE	K R UW M EY T
CREWMATES	K R UW M EY T S
CREWMEN	K R UW M IH N
CREWNECK	K R UW N EH K
CREWNECKS	K R UW N EH K S
CREWS	K R UW Z
CRIB	K R IH B
CRIBBAGE	K R IH B AH JH
CRIBBAGES	K R IH B IH JH IH Z
CRIBBED	K R IH B D
CRIBBER	K R IH B ER
CRIBBERS	K R IH B ER Z
CRIBBING	K R IH B IH NG
CRIBBINGS	K R IH B IH NG Z
CRIBBLED	K R IH B L EH D
CRIBRIFORM	K R IH B R AH F AH R M
CRIBROUS	K R IH B R AH S
CRIBS	K R IH B Z
CRIBWORK	K R IH B W ER K
CRIBWORKS	K R IH B W ER K S
CRICETID	K R IH S AH T AH D
CRICETIDS	K R IH S AH T AH D Z
CRICK	K R IH K
CRICKED	K R IH K T
CRICKET	K R IH K IH T
CRICKETED	K R IH K AH T IH D
CRICKETER	K R IH K AH T ER
CRICKETERS	K R IH K AH T ER Z
CRICKETING	K R IH K AH T IH NG
CRICKETS	K R IH K IH T S
CRICKEY	K R IH K IY
CRICKING	K R IH K AH NG
CRICKS	K R IH K S
CRICOID	K R AY K OY D
CRICOIDS	K R AH K OY D Z
CRIED	K R AY D
CRIER	K R AY ER
CRIERS	K R AY ER Z
CRIES	K R AY Z
CRIKEY	K R IH K IY
CRIME	K R AY M
CRIMELESS	K R AY M L AH S
CRIMES	K R AY M Z
CRIMINAL	K R IH M AH N AH L
CRIMINALISTICS	K R IH M AH N AH L IH S T IH K S
CRIMINALITIES	K R IH M AH N AE L AH T IY Z
CRIMINALITY	K R IH M AH N AE L IH T IY
CRIMINALIZATION	K R IH M AH N AH L AH Z EY SH AH N
CRIMINALIZATIONS	K R IH M AH N AH L AH Z EY SH AH N Z
CRIMINALIZE	K R IH M AH N AH L AY Z
CRIMINALIZED	K R IH M AH N AH L AY Z D
CRIMINALIZES	K R IH M AH N AH L AY Z IH Z
CRIMINALIZING	K R IH M AH N AH L AY Z IH NG
CRIMINALLY	K R IH M AH N AH L IY
CRIMINALS	K R IH M AH N AH L Z
CRIMINATE	K R IH M AH N AH T
CRIMINATED	K R IH M AH N EY T IH D
CRIMINATES	K R IH M AH N AH T S
CRIMINATING	K R IH M AH N EY T IH NG
CRIMINATION	K R IH M AH N EY SH AH N
CRIMINATIONS	K R IH M AH N EY SH AH N Z
CRIMINOLOGICAL	K R IH M AH N AA L AH JH IH S AH L
CRIMINOLOGICALLY	K R IH M AH N AH L AA JH AH K AE L IY
CRIMINOLOGIES	K R IH M AH N AA L AH JH IY Z
CRIMINOLOGIST	K R IH M IH N AA L AH JH IH S T
CRIMINOLOGISTS	K R IH M IH N AA L AH JH IH S T S
CRIMINOLOGY	K R IH M IH N AA L AH JH IY
CRIMINOUS	K R IH M AH N AH S
CRIMMER	K R IH M AH R
CRIMMERS	K R IH M AH R Z
CRIMP	K R IH M P
CRIMPED	K R IH M P T
CRIMPER	K R IH M P AH R
CRIMPERS	K R IH M P AH R Z
CRIMPIER	K R IH M P AY AH R
CRIMPIEST	K R IH M P AY AH S T
CRIMPING	K R IH M P IH NG
CRIMPLE	K R IH M P AH L
CRIMPLED	K R IH M P AH L D
CRIMPLES	K R IH M P AH L Z
CRIMPLING	K R IH M P L AH NG
CRIMPS	K R IH M P S
CRIMPY	K R IH M P IY
CRIMSON	K R IH M Z AH N
CRIMSONED	K R IH M Z AH N D
CRIMSONING	K R IH M Z AH N IH NG
CRIMSONS	K R IH M Z AH N Z
CRINGE	K R IH N JH
CRINGED	K R IH N JH D
CRINGER	K R IH N JH ER
CRINGERS	K R IH N JH ER Z
CRINGES	K R IH N JH IH Z
CRINGING	K R IH N JH IH NG
CRINGLE	K R IH N G AH L
CRINGLES	K R IH N G AH L Z
CRINITE	K R AH N AY T
CRINITES	K R AH N AY T S
CRINKLE	K R IH NG K AH L
CRINKLED	K R IH NG K AH L D
CRINKLES	K R IH NG K AH L Z
CRINKLIER	K R IH NG K AH L IY ER
CRINKLIEST	K R IH NG K AH L IY AH S T
CRINKLING	K R IH NG K AH L IH NG
CRINKLY	K R IH NG K AH L IY
CRINOID	K R AY N OY D
CRINOIDS	K R AH N OY D Z
CRINOLINE	K R IH N AH L AY N
CRINOLINED	K R IH N AH L AY N D
CRINOLINES	K R IH N AH L AY N Z
CRINUM	K R IH N AH M
CRINUMS	K R IH N AH M Z
CRIOLLO	K R AY AA L OW
CRIOLLOS	K R AY AA L AH Z
CRIPE	K R AY P
CRIPES	K R AY P S
CRIPPLE	K R IH P AH L
CRIPPLED	K R IH P AH L D
CRIPPLER	K R IH P AH L ER
CRIPPLERS	K R IH P AH L ER Z
CRIPPLES	K R IH P AH L Z
CRIPPLING	K R IH P AH L IH NG
CRIPPLING(2)	K R IH P L IH NG
CRIPPLINGLY	K R IH P AH L IH NG L IY
CRIS	K R IH S
CRISES	K R AY S IY Z
CRISIC	K R AY Z IH K
CRISIS	K R AY S AH S
CRISP	K R IH S P
CRISPATE	K R IH S P AH T
CRISPBREAD	K R IH S P B R EH D
CRISPBREADS	K R IH S P B R EH D Z
CRISPED	K R IH S P T
CRISPEN	K R IH S P AH N
CRISPENED	K R IH S P AH N D
CRISPENING	K R IH S P AH N IH NG
CRISPENS	K R IH S P AH N Z
CRISPER	K R IH S P ER
CRISPERS	K R IH S P ER Z
CRISPEST	K R IH S P AH S T
CRISPIER	K R IH S P IY ER
CRISPIEST	K R IH S P IY AH S T
CRISPILY	K R IH S P IY L IY
CRISPINESS	K R IH S P IY N AH S
CRISPINESSES	K R IH S P IY N AH S IH Z
CRISPING	K R IH S P IH NG
CRISPLY	K R IH S P L IY
CRISPNESS	K R IH S P N AH S
CRISPNESSES	K R IH S P N AH S IH Z
CRISPS	K R IH S P S
CRISPY	K R IH S P IY
CRISSA	K R IH S AH
CRISSAL	K R AY Z AH L
CRISSCROSS	K R IH S K R AO S
CRISSCROSSED	K R IH S K R AO S T
CRISSCROSSES	K R IH S K R AO S IH Z
CRISSCROSSING	K R IH S K R AO S IH NG
CRISSUM	K R AY Z S AH M
CRISTA	K R IH S T AH
CRISTAE	K R IH S T IY
CRISTATE	K R IH S T EY T
CRITERIA	K R AY T IH R IY AH
CRITERION	K R AY T IH R IY AH N
CRITERIONS	K R AY T IH R IY AH N Z
CRITERIUM	K R AH T IY R IY AH M
CRITERIUMS	K R AH T IY R IY AH M Z
CRITIC	K R IH T IH K
CRITICAL	K R IH T IH K AH L
CRITICALITIES	K R IH T AH K AE L AH T IY Z
CRITICALITY	K R IH T AH K AE L AH T IY
CRITICALLY	K R IH T IH K AH L IY
CRITICALLY(2)	K R IH T IH K L IY
CRITICALNESS	K R IH T IH K AH L N AH S
CRITICALNESSES	K R IH T IH K AH L N AH S IH Z
CRITICASTER	K R IH T IH K AE S T ER
CRITICASTERS	K R IH T IH K AE S T ER Z
CRITICISE	K R IH T AH S AY Z
CRITICISED	K R IH T IH K IY Z D
CRITICISES	K R IH T IH K IY Z IH Z
CRITICISING	K R IH T IH K IY Z IH NG
CRITICISM	K R IH T IH S IH Z AH M
CRITICISMS	K R IH T IH S IH Z AH M Z
CRITICIZABLE	K R IH T AH S AY Z AH B AH L
CRITICIZE	K R IH T IH S AY Z
CRITICIZED	K R IH T AH S AY Z D
CRITICIZER	K R IH T AH S AY Z ER
CRITICIZERS	K R IH T AH S AY Z ER Z
CRITICIZES	K R IH T IH S AY Z IH Z
CRITICIZING	K R IH T IH S AY Z IH NG
CRITICS	K R IH T IH K S
CRITIQUE	K R AH T IY K
CRITIQUE(2)	K R IH T IY K
CRITIQUED	K R IH T IY K T
CRITIQUES	K R IH T IY K S
CRITIQUING	K R IH T IY K IH NG
CRITTER	K R IH T ER
CRITTERS	K R IH T ER Z
CRITTUR	K R IH T AH R
CRITTURS	K R IH T Y AH R Z
CROAK	K R OW K
CROAKED	K R OW K T
CROAKER	K R OW K ER
CROAKERS	K R OW K ER Z
CROAKIER	K R OW K IY ER
CROAKIEST	K R OW K IY AH S T
CROAKILY	K R OW K IY L IY
CROAKING	K R OW K IH NG
CROAKS	K R OW K S
CROAKY	K R OW K IY
CROC	K R AA K
CROCEIN	K R OW S IY N
CROCEINE	K R OW S IY N
CROCEINES	K R OW S IY N Z
CROCEINS	K R OW S IY N Z
CROCHET	K R OW SH EY
CROCHETED	K R OW SH EY D
CROCHETER	K R OW SH EY ER
CROCHETERS	K R OW SH EY ER Z
CROCHETING	K R OW SH EY IH NG
CROCHETS	K R OW SH EY Z
CROCI	K R AA S IY
CROCIDOLITE	K R AH S IH D AH L AY T
CROCIDOLITES	K R AH S IH D AH L AY T S
CROCINE	K R AH S AY N
CROCK	K R AA K
CROCKED	K R AA K T
CROCKERIES	K R AA K AH R IY Z
CROCKERY	K R AA K ER IY
CROCKET	K R AA K AH T
CROCKETED	K R AA K AH T IH D
CROCKETS	K R AA K AH T S
CROCKING	K R AA K IH NG
CROCKS	K R AA K S
CROCODILE	K R AA K AH D AY L
CROCODILES	K R AA K AH D AY L Z
CROCODILIAN	K R AA K AH D IH L Y AH N
CROCODILIANS	K R AA K AH D IH L IY AH N Z
CROCOITE	K R AH K OY T
CROCOITES	K R AH K OY T S
CROCS	K R AA K S
CROCUS	K R OW K AH S
CROCUSES	K R OW K Y UW S IH Z
CROFT	K R AO F T
CROFTER	K R AO F T ER
CROFTERS	K R AO F T ER Z
CROFTS	K R AO F T S
CROISSANT	K W AA S AA N T
CROISSANT(2)	K R AH S AA N T
CROISSANTS	K W AA S AA N T S
CROISSANTS(2)	K R AH S AA N T S
CROJIK	K R AA JH AH K
CROJIKS	K R AA JH AH K S
CROMLECH	K R AA M L AH CH
CROMLECHS	K R AA M L AH CH S
CRONE	K R OW N
CRONES	K R OW N Z
CRONIES	K R OW N IY Z
CRONY	K R OW N IY
CRONYISM	K R OW N IY IH Z AH M
CRONYISMS	K R OW N IY IH Z AH M Z
CROOK	K R UH K
CROOKBACK	K R UH K B AE K
CROOKBACKED	K R UH K B AE K T
CROOKBACKS	K R UH K B AE K S
CROOKED	K R UH K AH D
CROOKEDER	K R UH K AH D ER
CROOKEDEST	K R UH K AH D AH S T
CROOKEDLY	K R UH K AH D L IY
CROOKEDNESS	K R UH K AH D N AH S
CROOKEDNESSES	K R UH K AH D N AH S IH Z
CROOKERIES	K R UH K AH R IY Z
CROOKERY	K R UH K AH R IY
CROOKING	K R UH K IH NG
CROOKNECK	K R UH K N EH K
CROOKNECKS	K R UH K N EH K S
CROOKS	K R UH K S
CROON	K R UW N
CROONED	K R UW N D
CROONER	K R UW N ER
CROONERS	K R UW N ER Z
CROONING	K R UW N IH NG
CROONS	K R UW N Z
CROP	K R AA P
CROPLAND	K R AA P L AE N D
CROPLANDS	K R AA P L AE N D Z
CROPLESS	K R AA P L AH S
CROPPED	K R AA P T
CROPPER	K R AA P ER
CROPPERS	K R AA P ER Z
CROPPIE	K R AA P IY
CROPPIES	K R AA P IY Z
CROPPING	K R AA P IH NG
CROPS	K R AA P S
CROQUET	K R OW K EY
CROQUETED	K R AH K IY T AH D
CROQUETING	K R AH K IY T AH NG
CROQUETS	K R AA K AH T S
CROQUETTE	K R AA K W EH T
CROQUETTES	K R AA K W EH T S
CROQUIGNOLE	K R AA K W AH G N OW L
CROQUIGNOLES	K R AA K W AH G N OW L Z
CROQUIS	K R AA K W AH S
CRORE	K R AO R
CRORES	K R AO R Z
CROSIER	K R AA S AY AH R
CROSIERS	K R OW S IY R Z
CROSS	K R AO S
CROSSABILITIES	K R AO S AH B IH L AH T EH Z
CROSSABILITY	K R AO S AH B IH L AH T EH
CROSSABLE	K R AO S AH B AH L
CROSSARM	K R AO S AA R M
CROSSARMS	K R AO S AA R M Z
CROSSBANDED	K R AO S B AE N D IH D
CROSSBANDING	K R AO S B AE N D IH NG
CROSSBANDINGS	K R AO S B AE N D IH NG Z
CROSSBAR	K R AO S B AA R
CROSSBARRED	K R AO S B AA R D
CROSSBARRING	K R AO S B AA R IH NG
CROSSBARS	K R AO S B AA R Z
CROSSBEAM	K R AO S B IY M
CROSSBEAMS	K R AO S B IY M Z
CROSSBEARER	K R AO S B AE ER ER
CROSSBEARERS	K R AO S B AE ER ER Z
CROSSBILL	K R AO S B IH L
CROSSBILLS	K R AO S B IH L Z
CROSSBONES	K R AO S B OW N Z
CROSSBOW	K R AO S B OW
CROSSBOWMAN	K R AO S B OW M AH N
CROSSBOWMEN	K R AO S B AW M EH N
CROSSBOWS	K R AO S B OW Z
CROSSBRED	K R AO S B R EH D
CROSSBREDS	K R AO S B R EH D Z
CROSSBREED	K R AO S B R IY D
CROSSBREEDING	K R AO S B R IY D IH NG
CROSSBREEDS	K R AO S B R IY D Z
CROSSCHECK	K R AO S CH EH K
CROSSCHECKED	K R AO S CH EH K T
CROSSCHECKING	K R AO S CH EH K IH NG
CROSSCHECKS	K R AO S CH EH K S
CROSSCOURT	K R AO S K OW R T
CROSSCURRENT	K R AO S K ER AH N T
CROSSCURRENTS	K R AO S K ER AH N T S
CROSSCUT	K R AO S K AH T
CROSSCUTS	K R AO S K AH T S
CROSSCUTTING	K R AO S K AH T IH NG
CROSSCUTTINGS	K R AO S K AH T IH NG Z
CROSSE	K R AA S
CROSSED	K R AO S T
CROSSER	K R AO S ER
CROSSERS	K R AO S ER Z
CROSSES	K R AO S IH Z
CROSSEST	K R AO S AH S T
CROSSFIRE	K R AO S F AY R
CROSSFIRES	K R AO S F AY ER Z
CROSSHAIR	K R AO S HH EH R
CROSSHAIRS	K R AO S HH EH R Z
CROSSHATCH	K R AO S HH AE CH
CROSSHATCHED	K R AO S HH AE CH T
CROSSHATCHES	K R AO S HH AE CH IH Z
CROSSHATCHING	K R AO S HH AE CH IH NG
CROSSHEAD	K R AO S HH EH D
CROSSHEADS	K R AO S HH EH D Z
CROSSING	K R AO S IH NG
CROSSINGS	K R AO S IH NG Z
CROSSLET	K R AO S L AH T
CROSSLETS	K R AO S L AH T S
CROSSLINGUISTIC	K R AO S L IH NG G W IH S T IH K
CROSSLINGUISTICALLY	K R AO S L IH NG G W IH S T IH K AH L IY
CROSSLY	K R AO S L IY
CROSSNESS	K R AO S N AH S
CROSSNESSES	K R AO S N AH S IH Z
CROSSOPTERYGIAN	K R AA S AA P T EH R AH JH AH N
CROSSOPTERYGIANS	K R AA S AA P T AH R IH JH IY AH N Z
CROSSOVER	K R AO S OW V ER
CROSSOVERS	K R AO S OW V ER Z
CROSSPATCH	K R AO S P AE CH
CROSSPATCHES	K R AO S P AE CH IH Z
CROSSPIECE	K R AO S P IY S
CROSSPIECES	K R AO S P IY S AH Z
CROSSPIECES(2)	K R AO S P IY S IH Z
CROSSROAD	K R AO S R OW D
CROSSROADS	K R AO S R OW D Z
CROSSRUFF	K R AA S R AH F
CROSSRUFFED	K R AA S R AH F T
CROSSRUFFING	K R AA S R AH F AH NG
CROSSRUFFS	K R AA S R AH F S
CROSSTALK	K R AO S T AO K
CROSSTALKS	K R AO S T AO K S
CROSSTIE	K R AO S T AY
CROSSTIES	K R AO S T AY Z
CROSSTOWN	K R AO S T AW N
CROSSTREES	K R AO S T R IY Z
CROSSWALK	K R AA S W AA K
CROSSWALKS	K R AA S W AA K S
CROSSWAY	K R AO S W EY
CROSSWAYS	K R AO S W EY Z
CROSSWIND	K R AO S W IH N D
CROSSWINDS	K R AO S W IH N D Z
CROSSWISE	K R AO S W AY Z
CROSSWORD	K R AO S W ER D
CROSSWORDS	K R AO S W ER D Z
CROTCH	K R AA CH
CROTCHED	K R AA CH T
CROTCHES	K R AA CH AH Z
CROTCHET	K R AA CH AH T
CROTCHETINESS	K R AA CH AH T IY N AH S
CROTCHETINESSES	K R AA CH AH T IY N AH S IH Z
CROTCHETS	K R AA CH AH T S
CROTCHETY	K R AA CH AH T IY
CROTON	K R AA T AH N
CROTONS	K R AA T AH N Z
CROUCH	K R AW CH
CROUCHED	K R AW CH T
CROUCHES	K R AW CH IH Z
CROUCHING	K R AW CH IH NG
CROUP	K R UW P
CROUPE	K R UW P
CROUPES	K R UW P S
CROUPIER	K R UW P IY EY
CROUPIERS	K R UW P IY EY Z
CROUPIEST	K R UW P AY AH S T
CROUPILY	K R UW P AH L IY
CROUPOUS	K R UW P AH S
CROUPS	K R UW P S
CROUPY	K R UW P IY
CROUSE	K R AW S
CROUSELY	K R AW Z L IY
CROUSTADE	K R AW S T EY D
CROUSTADES	K R AW S T EY D Z
CROUTON	K R AW T AH N
CROUTONS	K R AW T AH N Z
CROW	K R OW
CROWBAR	K R OW B AA R
CROWBARRED	K R OW B AA R D
CROWBARRING	K R OW B AA R IH NG
CROWBARS	K R OW B AA R Z
CROWBERRIES	K R OW B EH R IY Z
CROWBERRY	K R OW B EH R IY
CROWD	K R AW D
CROWDED	K R AW D AH D
CROWDED(2)	K R AW D IH D
CROWDEDNESS	K R AW D AH D N AH S
CROWDEDNESSES	K R AW D AH D N AH S IH Z
CROWDER	K R AW D ER
CROWDERS	K R AW D ER Z
CROWDIE	K R AW D IY
CROWDIES	K R AW D IY Z
CROWDING	K R AW D IH NG
CROWDS	K R AW D Z
CROWDY	K R AW D IY
CROWED	K R OW D
CROWER	K R OW ER
CROWERS	K R OW ER Z
CROWFEET	K R OW F IY T
CROWFOOT	K R OW F UH T
CROWFOOTS	K R OW F UH T S
CROWING	K R OW IH NG
