CA	K AH
BARCAROLES	B AA R K AH R OW L Z
BARCAROLLE	B AA R K AH R AH L
BARCAROLLES	B AA R K AH R AH L Z
BAROMETRICALLY	B AE R AH M EH T R IH K AH L IY
BARRANCA	B AE R AE NG K AH
BARRANCAS	B AE R AE NG K AH Z
BARRICADE	B AE R AH K EY D
BARRICADE(2)	B EH R AH K EY D
BARRICADED	B AE R AH K EY D IH D
BARRICADED(2)	B EH R AH K EY D IH D
BARRICADES	B AE R AH K EY D Z
BARRICADES(2)	B EH R AH K EY D Z
BARRICADING	B AE R AH K EY D IH NG
BARRICADO	B AA R IH K AH D UW
BARRICADOED	B AA R IH K AH D OW D
BARRICADOES	B AA R IH K AH D OW Z
BARRICADOING	B AA R IH K AH D OW IH NG
BASICALLY	B EY S IH K L IY
BASIFICATION	B EY S AH F AH K EY SH AH N
BASIFICATIONS	B EY S AH F AH K EY SH AH N Z
BASILICA	B AH S IH L IH K AH
BASILICA(2)	B AH Z IH L AH K AH
BASILICAE	B AH S IH L AH K IY
BASILICAN	B EY Z AH L IH S AH N
BASILICAS	B AH S IH L AH K AH Z
BATHETICALLY	B AH TH EH T AH K AE L IY
BATHYMETRICAL	B EY DH IY M EH T R IH K AH L
BATHYMETRICALLY	B EY DH IY M EH T R IH K AH L IY
BATHYSCAPH	B AH TH IH S AH F
BATHYSCAPHE	B AH TH IH S AH F
BATHYSCAPHES	B AH TH IH S AH F S
BATHYSCAPHS	B AH TH IH S AH F S
BEARCAT	B AE ER K AE T
BEARCATS	B AE ER K AE T S
BEATIFICALLY	B IY AH T IH F IH K AH L IY
BEATIFICATION	B IY AE T AH F AH K EY SH AH N
BEATIFICATIONS	B IY AE T AH F AH K EY SH AH N Z
BEAUTIFICATION	B IH AH Y UW T AH F AH K EY SH AH N
BEAUTIFICATIONS	B AH AO T AH F AH K EY T IY AH N Z
BECALM	B IH K AA M
BECALMED	B IH K AA M D
BECALMING	B IH K AA M IH NG
BECALMS	B IH K AA M Z
BECAME	B IH K EY M
BECAME(2)	B IY K EY M
BECAP	B IH K AE P
BECAPPED	B IH K AE P T
BECAPPING	B IH K AE P IH NG
BECAPS	B IH K AE P S
BECARPET	B IH K AA R P AH T
BECARPETED	B IH K AA R P AH T IH D
BECARPETING	B IH K AA R P AH T IH NG
BECARPETS	B IH K AA R P AH T S
BECAUSE	B IH K AO Z
BECAUSE(2)	B IH K AH Z
BECAUSE(3)	B IH K AA Z
BEEFCAKE	B IY F K EY K
BEEFCAKES	B IY F K EY K S
BENZOCAINE	B IH N Z AH K EY N
BENZOCAINES	B IH N Z AH K EY N Z
BERASCAL	B IH R AE S K AH L
BERASCALED	B IH R AE S K AH L D
BERASCALING	B IH R AE S K AH L IH NG
BERASCALS	B IH R AE S K AH L Z
BIBLICAL	B IH B L AH K AH L
BIBLICAL(2)	B IH B L IH K AH L
BIBLICALLY	B IH B L IH K AH L IY
BIBLIOGRAPHICAL	B IH B L IY AH G R AE F IH K AH L
BIBLIOGRAPHICALLY	B IH B L IY AH G R AE F IH K AH L IY
BIBLIOMANIACAL	B AY B L AY AH M AH N IY AH S AH L
BIBLIOTHECA	B AY B L AY AA TH AH K AH
BIBLIOTHECAE	B AY B L AY AA TH AH K IY
BIBLIOTHECAL	B AY B L AY AA TH AH K AH L
BIBLIOTHECAS	B AY B L AY AA TH AH K AH Z
BICAMERAL	B AY K AE M AH R AH L
BICAMERALISM	B AY K AE M AH R AH L IH Z AH M
BICAMERALISMS	B AY K AE M AH R AH L IH Z AH M Z
BICARB	B AY K AA R B
BICARBONATE	B AY K AA R B AH N AH T
BICARBONATES	B AY K AA R B AH N AH T S
BICARBS	B AY K AA R B Z
BICAUDAL	B IY IH K AO D AH L
BICONCAVE	B AY K AA N K EY V
BICONCAVITIES	B AY K AH N K AE V AH T IY Z
BICONCAVITY	B AY K AH N K AE V AH T IY
BIFOCAL	B AY F OW K AH L
BIFOCALS	B AY F OW K AH L Z
BIFURCATE	B IH F ER K EY T
BIFURCATE(2)	B AY F ER K EY T
BIFURCATED	B IH F ER K EY T IH D
BIFURCATED(2)	B AY F ER K EY T IH D
BIFURCATES	B AY F ER K EY T S
BIFURCATING	B AY F ER K EY T IH NG
BIFURCATION	B IH F ER K EY SH AH N
BIFURCATION(2)	B AY F ER K EY SH AH N
BIFURCATIONS	B AY F ER K EY SH AH N Z
BILLYCAN	B IH L IY K AE N
BILLYCANS	B IH L IY K AE N Z
BILOCATION	B AY L OW K EY SH AH N
BILOCATIONS	B AY L OW K EY SH AH N Z
BIOCHEMICAL	B AY OW K EH M IH K AH L
BIOCHEMICALLY	B AY OW K EH M IH K AH L IY
BIOCHEMICALS	B AY OW K EH M IH K AH L Z
BIOELECTRICAL	B AY OW AH L EH K T R IH S AH L
BIOETHICAL	B AY OW AH TH IH S AH L
BIOGENETICALLY	B AY AH JH AH N EH T AH K AE L IY
BIOGEOCHEMICAL	B AY AH JH IY AA K AH M IH S AH L
BIOGEOCHEMICALS	B AY OW JH IY AH K EH M AH K AH L Z
BIOGEOGRAPHICAL	B AY OW JH IY AA G R AH F IH S AH L
BIOGRAPHICAL	B AY AH G R AE F IH K AH L
BIOGRAPHICALLY	B AY AH G R AE F IH K AH L IY
BIOLOGICAL	B AY AH L AA JH IH K AH L
BIOLOGICALLY	B AY AH L AA JH IH K L IY
BIOLOGICALS	B AY AH L AA JH IH K AH L Z
BIOMATHEMATICAL	B AY AH M AH TH EH M AH T IH S AH L
BIOMECHANICAL	B AY AH M EH CH AH N IH S AH L
BIOMECHANICALLY	B AY AH M AH CH AE N AH K AE L IY
BIOMEDICAL	B AY OW M EH D IH K AH L
BIOMETEOROLOGICAL	B AY AH M IY T IY AH R AA L AH JH IH S AH L
BIOMETRICAL	B AY AH M EH T R IH S AH L
BIOPHYSICAL	B AY AA F AH Z IH S AH L
BIOSTATISTICAL	B AY AA S T AE T IH S T IH K AH L
BIOSYNTHETICALLY	B AY AH S IH N TH EH T AH K AE L IY
BIOTECHNICAL	B AY AH T EH K N IH S AH L
BIOTECHNOLOGICAL	B AY OW T EH K N AH L AA JH IH K AH L
BIOTICAL	B AY AA T IH K AH L
BIRDCAGE	B ER D K EY JH
BIRDCAGES	B ER D K EY JH IH Z
BIRDCALL	B ER D K AO L
BIRDCALLS	B ER D K AO L Z
BLACKCAP	B L AE K AE P
BLACKCAPS	B L AE K AE P S
BLUECAP	B L UW K AE P
BLUECAPS	B L UW K AE P S
BOBCAT	B AA B K AE T
BOBCATS	B AA B K AE T Z
BOCACCIO	B AH K AE K S IY OW
BOCACCIOS	B AH K AE K S IY AH Z
BOLOMETRICALLY	B OW L OW M EH T R IH K AH L IY
BOMBASTICALLY	B AA M B AE S T IH K AH L IY
BOOKCASE	B UH K K EY S
BOOKCASES	B UH K K EY S IH Z
BOROSILICATE	B IY ER AA S IH L AY S AH T
BOROSILICATES	B IY ER AA S IH L AY S AH T S
BOSCAGE	B AA S AH JH
BOSCAGES	B AA S AH JH AH Z
BOTANICA	B AH T AE N AH K AH
BOTANICAL	B AH T AE N IH K AH L
BOTANICALLY	B AH T AE N AH K AH L IY
BOTANICALLY(2)	B AH T AE N AH K L IY
BOTANICALS	B AH T AE N IH K AH L Z
BOTANICAS	B AH T AE N AH K AH Z
BOURGEOISIFICATION	B UW R ZH W AA AH F AH K EY SH AH N
BOURGEOISIFICATIONS	B UW R ZH W AA AH F AH K EY SH AH N Z
BOXCAR	B AA K S K AA R
BOXCARS	B AA K S K AA R Z
BRADYCARDIA	B R AE D AH K AA R D IY AH
BRADYCARDIA(2)	B R AE D IH K AA R D IY AH
BRADYCARDIAS	B R AE D AH K AA R D IY AH Z
BRAINCASE	B R EY N K EY S
BRAINCASES	B R EY N K EY S IH Z
BRASSICA	B R AE S IH K AH
BRASSICAS	B R AE S IH K AH Z
BRIEFCASE	B R IY F K EY S
BRIEFCASES	B R IY F K EY S IH Z
BROADCAST	B R AO D K AE S T
BROADCASTED	B R AO D K AE S T IH D
BROADCASTER	B R AO D K AE S T ER
BROADCASTERS	B R AO D K AE S T ER Z
BROADCASTING	B R AO D K AE S T IH NG
BROADCASTS	B R AO D K AE S T S
BROADSCALE	B R AO D S K EY L
BROCADE	B R OW K EY D
BROCADED	B R OW K EY D IH D
BROCADES	B R OW K EY D Z
BROCADING	B R OW K EY D IH NG
BROCATEL	B R AA K AH T AH L
BROCATELLE	B R AA K AH T AH L
BROCATELLES	B R AA K AH T AH L Z
BROCATELS	B R AA K AH T AH L Z
BRYOLOGICAL	B R AY AA L AH JH IH S AH L
BUCCAL	B Y UW K AH L
BUCCALLY	B AH K AE L IY
BUCCANEER	B AH K AH N IY R
BUCCANEERED	B AH K EY N AH R D
BUCCANEERING	B AH K EY N AH R AH NG
BUCCANEERISH	B AH K EY N AH R AH SH
BUCCANEERS	B AH K AH N IY R Z
BUCOLICALLY	B Y UW K AA L IH K AH L IY
BUREAUCRATICALLY	B Y UH R AH K R AE T IH K AH L IY
CAB	K AE B
CABAL	K AH B AA L
CABALA	K AE B AH L AH
CABALAS	K AE B AH L AH Z
CABALETTA	K AE B AH L EH T AH
CABALETTAS	K AE B AH L EH T AH Z
CABALISM	K AE B AH L IH Z AH M
CABALISMS	K AE B AH L IH Z AH M Z
CABALIST	K AE B AH L IH S T
CABALISTIC	K AE B AH L IH S T IH K
CABALISTS	K AE B AH L IH S T S
CABALLED	K AE B AH L D
CABALLERO	K AE B AH Y EH R OW
CABALLEROS	K AE B AH L ER AA S
CABALLING	K AE B AH L IH NG
CABALS	K AE B AH L Z
CABANA	K AH B AE N AH
CABANAS	K AH B AE N AH Z
CABARET	K AE B ER EY
CABARETS	K AE B ER EY Z
CABBAGE	K AE B AH JH
CABBAGE(2)	K AE B IH JH
CABBAGED	K AE B IH JH D
CABBAGES	K AE B IH JH IH Z
CABBAGEWORM	K AE B IH JH W ER M
CABBAGEWORMS	K AE B IH JH W ER M Z
CABBAGING	K AE B IH JH IH NG
CABBALA	K AE B AH L AH
CABBALAH	K AE B AH L AH
CABBALAHS	K AE B AH L AH Z
CABBALAS	K AE B AH L AH Z
CABBED	K AE B D
CABBIE	K AE B IY
CABBIES	K AE B IY Z
CABBING	K AE B IH NG
CABBY	K AE B IY
CABDRIVER	K AE B D R AY V ER
CABDRIVERS	K AE B D R AY V ER Z
CABER	K AE B ER
CABERNET	K AE B ER N EY
CABERNETS	K AE B ER N EH T S
CABERNETS(2)	K AE B ER N EY Z
CABERS	K AE B ER Z
CABESTRO	K AH B EH S T R OW
CABESTROS	K AH B EH S T R AH Z
CABEZON	K AE B AH Z AH N
CABEZONE	K AE B AH Z OW N
CABEZONES	K AE B AH Z OW N Z
CABEZONS	K AE B AH Z AH N Z
CABILDO	K AE B IH L D UW
CABILDOS	K AE B IH L D UW Z
CABIN	K AE B AH N
CABINED	K AE B AH N D
CABINET	K AE B AH N AH T
CABINET(2)	K AE B N AH T
CABINETMAKER	K AE B N AH T M EY K ER
CABINETMAKERS	K AE B N AH T M EY K ER Z
CABINETMAKING	K AE B N AH T M EY K IH NG
CABINETMAKINGS	K AE B N AH T M EY K IH NG Z
CABINETRIES	K AE B N AH T R IY Z
CABINETRY	K AE B N AH T R IY
CABINETS	K AE B AH N AH T S
CABINETS(2)	K AE B N AH T S
CABINETWORK	K AE B N AH T W ER K
CABINETWORKS	K AE B N AH T W ER K S
CABINING	K AE B AH N IH NG
CABINS	K AE B AH N Z
CABLE	K EY B AH L
CABLED	K EY B AH L D
CABLEGRAM	K EY B AH L G R AE M
CABLEGRAMS	K EY B AH L G R AE M Z
CABLES	K EY B AH L Z
CABLET	K AE B L AH T
CABLETS	K AE B L AH T S
CABLEWAY	K EY B AH L W EY
CABLEWAYS	K EY B AH L W EY Z
CABLING	K AE B L IH NG
CABMAN	K AE B M AE N
CABMEN	K AE B M EH N
CABOB	K AE B AH B
CABOBS	K AE B AH B Z
CABOCHED	K AE B AH CH T
CABOCHON	K AE B AH CH AH N
CABOCHONS	K AE B AH CH AH N Z
CABOMBA	K AH B AA M B AH
CABOMBAS	K AH B AA M B AH Z
CABOODLE	K AH B UW D AH L
CABOODLES	K AH B UW D AH L Z
CABOOSE	K AH B UW S
CABOOSES	K AH B UW S IH Z
CABOSHED	K AE B AH SH T
CABOTAGE	K AE B AH T IH JH
CABOTAGES	K AH B AA T AH JH AH Z
CABRESTA	K AE B R EH S T AH
CABRESTAS	K AE B R EH S T AH Z
CABRESTO	K AE B R EH S T OW
CABRESTOS	K AE B R EH S T AA S
CABRETTA	K AE B R EH T AH
CABRETTAS	K AE B R EH T AH Z
CABRILLA	K AE B R IH L AH
CABRILLAS	K AE B R IH L AH Z
CABRIOLE	K AE B R IY OW L
CABRIOLES	K AE B R IY OW L Z
CABRIOLET	K AE B R IY OW L EY
CABRIOLET(2)	K AE B R IY OW L EH T
CABRIOLETS	K AE B R IY AH L AH T S
CABS	K AE B Z
CABSTAND	K AE B S T AE N D
CABSTANDS	K AE B S T AE N D Z
CACA	K AE K AH
CACAO	K AH K EY OW
CACAOS	K AH K AW Z
CACAS	K AE K AH Z
CACCIATORE	K AA CH AH T AO R IY
CACHALOT	K AE CH AH L AH T
CACHALOTS	K AE CH AH L AH T S
CACHE	K AE SH
CACHE(2)	K AE SH EY
CACHECTIC	K AE CH AH K T AH K
CACHED	K AE SH T
CACHEPOT	K AE SH P AA T
CACHEPOTS	K AE SH P AA T S
CACHES	K AE SH IH Z
CACHES(2)	K AE SH EY Z
CACHET	K AE SH EY
CACHETED	K AE SH T EH D
CACHETING	K AH CH IY T AH NG
CACHETS	K AE CH AH T S
CACHEXIA	K AH CH EH K S IY AH
CACHEXIAS	K AH CH EH K S IY AH Z
CACHEXIC	K AE CH AH K S AH K
CACHEXIES	K AH CH EH K S AY Z
CACHEXY	K AH CH EH K S IY
CACHING	K AE SH IH NG
CACHINNATE	K AE CH AH N EY T
CACHINNATED	K AE CH AH N EY T AH D
CACHINNATES	K AE CH AH N EY T S
CACHINNATING	K AE CH AH N EY T AH NG
CACHINNATION	K AE CH AH N EY SH AH N
CACHINNATIONS	K AE CH AH N EY T IY AH N Z
CACHOU	K AE CH UW
CACHOUS	K AE SH AH S
CACHUCHA	K AE CH AH CH AH
CACHUCHAS	K AE CH AH CH AH Z
CACIQUE	K AH S IY K
CACIQUES	K AE S AH K S
CACIQUISM	K AE S AH K W IH Z AH M
CACIQUISMS	K AH S IH K W AH Z AH M Z
CACKLE	K AE K AH L
CACKLED	K AE K AH L D
CACKLER	K AE K AH L ER
CACKLERS	K AE K AH L ER Z
CACKLES	K AE K AH L Z
CACKLING	K AE K AH L IH NG
CACKLING(2)	K AE K L IH NG
CACODEMON	K AH K AA D AH M AH N
CACODEMONIC	K AH K AA D AH M AH N AH K
CACODEMONS	K AH K AA D AH M AH N Z
CACODYL	K AE K AH D AH L
CACODYLS	K AE K AH D AH L Z
CACOETHES	K AE K OW AH DH Z
CACOGRAPHICAL	K AH K AA G R AH F IH S AH L
CACOGRAPHIES	K AH K AA G R AH F AY Z
CACOGRAPHY	K AH K AA G R AH F IY
CACOMISTLE	K AE K AH M AH S AH L
CACOMISTLES	K AE K AH M AH S T AH L Z
CACOMIXL	K AE K AH M AH K S L
CACOMIXLS	K AE K AH M AH K S L Z
CACOPHONIES	K AE K AA F AH N IY Z
CACOPHONOUS	K AE K AA F AH N AH S
CACOPHONOUSLY	K AE K AA F AH N AH S L IY
CACOPHONY	K AE K AA F AH N IY
CACTI	K AE K T AY
CACTI(2)	K AE K T IY
CACTOID	K AE K T OY D
CACTUS	K AE K T AH S
CACTUSES	K AE K T Y UW Z AH Z
CACUMINAL	K AE K Y UW M AH N AH L
CAD	K AE D
CADASTER	K AH D AE S T AH R
CADASTERS	K AH D AE S T AH R Z
CADASTRAL	K AH D AE S T R AH L
CADASTRALLY	K AH D AE S T R AE L IY
CADASTRE	K AH D AE S T AH R
CADASTRES	K AH D AE S T AH R Z
CADAVER	K AH D AE V ER
CADAVERIC	K AH D AE V ER IH K
CADAVERINE	K AH D AE V AH R AY N
CADAVERINES	K AH D AE V AH R AY N Z
CADAVEROUS	K AH D AE V ER AH S
CADAVEROUSLY	K AH D AE V ER AH S L IY
CADAVERS	K AH D AE V ER Z
CADDICE	K AE D AH S
CADDICES	K EY D IH K S IH Z
CADDIE	K EY D IY
CADDIED	K AE D IY D
CADDIES	K AE D IY Z
CADDIS	K AE D IY Z
CADDISES	K AE D IY Z IH Z
CADDISH	K EY D IH SH
CADDISHLY	K EY D IH SH L IY
CADDISHNESS	K EY D IH SH N AH S
CADDISHNESSES	K EY D IH SH N AH S IH Z
CADDISWORM	K AE D IY Z W ER M
CADDISWORMS	K AE D IY Z W ER M Z
CADDY	K AE D IY
CADDYING	K AE D IY IH NG
CADE	K EY D
CADELLE	K AE D AH L
CADELLES	K AE D AH L Z
CADENCE	K EY D AH N S
CADENCED	K EY D AH N S T
CADENCES	K EY D AH N S IH Z
CADENCIES	K EY D AH N S IY Z
CADENCING	K EY D AH N S IH NG
CADENCY	K EY D AH N S IY
CADENT	K EY D AH N T
CADENTIAL	K EY D AH N T IY AH L
CADENZA	K AH D EH N Z AH
CADENZAS	K AH D EH N Z AH Z
CADES	K EY D Z
CADET	K AH D EH T
CADETS	K AH D EH T S
CADETSHIP	K AH D EH T SH IH P
CADETSHIPS	K AH D EH T SH IH P S
CADGE	K AE JH
CADGED	K AE JH D
CADGER	K AE JH AH R
CADGERS	K AE JH AH R Z
CADGES	K AE JH AH Z
CADGING	K AE JH AH NG
CADGY	K AE JH IY
CADI	K AE D IY
CADIS	K EY D IY Z
CADMIC	K AE D M AH K
CADMIUM	K AE D M IY AH M
CADMIUMS	K AE D M IY AH M Z
CADRE	K AE D R IY
CADRES	K AE D R IY Z
CADS	K AE D S
CADUCEAN	K AE D Y UW S IY AH N
CADUCEI	K AE D Y AH S IY
CADUCEUS	K AE D Y UW S IY AH S
CADUCITIES	K AE D Y UW S AH T AY Z
CADUCITY	K AE D Y UW S AH T IY
CADUCOUS	K AE D Y UW K AH S
CAECA	K IY K AH
CAECAL	K IY K AH L
CAECALLY	K IY K AE L IY
CAECILIAN	K IY S IH L IY AH N
CAECILIANS	K IY S IH L IY AH N Z
CAECUM	K IY K AH M
CAEOMA	K IY AH M AH
CAEOMAS	K IY AH M AH Z
CAESAR	S IY Z ER
CAESAREAN	K EY S ER IY N
CAESAREANS	K EY S ER IY N Z
CAESARIAN	K IY Z EH R IY AH N
CAESARIANS	K IY S AE R IY AH N Z
CAESARS	S IY Z ER Z
CAESIUM	K IY S IY AH M
CAESIUMS	K IY S IY AH M Z
CAESPITOSE	K IY S AH T OW Z
CAESTUS	K EY EH S T AH S
CAESTUSES	K IY S T Y UW Z AH Z
CAESURA	K IY S AH R AH
CAESURAE	K IY S AH R IY
CAESURAL	K IY ZH Y AH R AH L
CAESURAS	K IY S AH R AH Z
CAESURIC	K IY ZH Y AH R AH K
CAFE	K AH F EY
CAFE(2)	K AE F EY
CAFES	K AE F EY Z
CAFETERIA	K AE F AH T IH R IY AH
CAFETERIAS	K AE F AH T IH R IY AH Z
CAFETORIA	K AE F AH T AO R IY AH
CAFETORIUM	K AE F AH T AO R IY AH M
CAFETORIUMS	K AE F AH T AO R IY AH M Z
CAFF	K AE F
CAFFEIN	K AE F IY N
CAFFEINATED	K AE F IH N EY T AH D
CAFFEINE	K AE F IY N
CAFFEINES	K AE F IY N Z
CAFFEINS	K AE F IY N Z
CAFFS	K AE F S
CAFTAN	K AE F T AE N
CAFTANS	K AE F T AE N Z
CAGE	K EY JH
CAGED	K EY JH D
CAGEFUL	K EY JH F AH L
CAGEFULS	K EY JH F AH L Z
CAGELING	K EY JH L IH NG
CAGELINGS	K EY JH L IH NG Z
CAGER	K EY JH ER
CAGERS	K EY JH ER Z
CAGES	K EY JH IH Z
CAGEY	K EY JH IY
CAGEYNESS	K EY JH IY N AH S
CAGEYNESSES	K EY JH IY N AH S IH Z
CAGIER	K EY JH IY ER
CAGIEST	K EY JH IY AH S T
CAGILY	K EY JH IY L IY
CAGINESS	K EY JH IY N AH S
CAGINESSES	K EY JH IY N AH S IH Z
CAGING	K EY JH IH NG
CAGY	K EY JH IY
CAHIER	K AE HH AY AH R
CAHIERS	K AH HH IY R Z
CAHOOT	K AH HH UW T
CAHOOTS	K AH HH UW T S
CAHOW	K AE HH OW
CAHOWS	K AH HH OW Z
CAID	K EY D
CAIDS	K EY D Z
CAIMAN	K EY M AH N
CAIMANS	K EY M AH N Z
CAIN	K EY N
CAINS	K EY N Z
CAIQUE	K EY K
CAIQUES	K EY K S
CAIRD	K AE AH R D
CAIRDS	K AE AH R D Z
CAIRN	K EH R N
CAIRNED	K AE ER N D
CAIRNGORM	K AE AH R N G AH R M
CAIRNGORMS	K AE AH R N G AH R M Z
CAIRNS	K EH R N Z
CAIRNY	K AE ER N IY
CAISSON	K EY S AH N
CAISSON(2)	K EH S AH N
CAISSONS	K EY S AH N Z
CAISSONS(2)	K EH S AH N Z
CAITIFF	K EY T AH F
CAITIFFS	K EY T AH F S
CAJAPUT	K AE JH AH P AH T
CAJAPUTS	K AE JH AH P Y UW T S
CAJEPUT	K AE JH AH P AH T
CAJEPUTS	K AE JH AH P Y UW T S
CAJOLE	K AH JH OW L
CAJOLED	K AH JH OW L D
CAJOLEMENT	K AH JH OW L M AH N T
CAJOLEMENTS	K AH JH AA L AH M AH N T S
CAJOLER	K AH JH OW L AH R
CAJOLERIES	K AH JH AA L AH R AY Z
CAJOLERS	K AE JH AH L AH R Z
CAJOLERY	K AE JH AH L EH R IY
CAJOLES	K AH JH OW L Z
CAJOLING	K AH JH OW L IH NG
CAJON	K AE JH AH N
CAJONES	K AH JH OW N Z
CAJUPUT	K AH JH UW P AH T
CAJUPUTS	K AH JH UW P Y UW T S
CAKE	K EY K
CAKED	K EY K T
CAKES	K EY K S
CAKEWALK	K EY K W AO K
CAKEWALKED	K EY K W AO K T
CAKEWALKER	K EY K W AO K ER
CAKEWALKERS	K EY K W AO K ER Z
CAKEWALKING	K EY K W AO K IH NG
CAKEWALKS	K EY K W AO K S
CAKEY	K EY K IY
CAKIER	K EY K IY ER
CAKIEST	K EY K IY AH S T
CAKING	K EY K IH NG
CAKY	K EY K IY
CALABASH	K AE L AH B AH SH
CALABASHES	K AH L AE B AH SH AH Z
CALABOOSE	K AE L AH B UW Z
CALABOOSES	K AE L AH B UW Z AH Z
CALADIUM	K AH L EY D IY AH M
CALADIUMS	K AH L EY D IY AH M Z
CALAMANDER	K AE L AH M AE N D ER
CALAMANDERS	K AE L AH M AE N D AH R Z
CALAMAR	K AE L AH M AH R
CALAMARI	K AA L AA M AA R IY
CALAMARIES	K AH L AE M AH R AY Z
CALAMARIS	K AH L AE M AH R AH S
CALAMARS	K AE L AH M AH R Z
CALAMARY	K AE L AH M EH R IY
CALAMI	K AE L AH M IY
CALAMINE	K AE L AH M AY N
CALAMINED	K AE L AH M AY N D
CALAMINES	K AE L AH M AY N Z
CALAMINING	K AE L AH M AY N AH NG
CALAMINT	K AE L AH M AH N T
CALAMINTS	K AE L AH M AH N T S
CALAMITE	K AE L AH M AY T
CALAMITES	K AE L AH M AY T S
CALAMITIES	K AH L AE M AH T IY Z
CALAMITOUS	K AH L AE M AH T AH S
CALAMITOUSLY	K AH L AE M AH T AH S L IY
CALAMITY	K AH L AE M AH T IY
CALAMITY(2)	K AH L AE M IH T IY
CALAMONDIN	K AE L AH M AA N D AH N
CALAMONDINS	K AE L AH M AA N D AH N Z
CALAMUS	K AE L AH M AH S
CALANDO	K AH L AE N D OW
CALASH	K AE L AH SH
CALASHES	K AE L AH SH AH Z
CALATHI	K AE L AH TH IY
CALATHOS	K AE L AH TH AH Z
CALATHUS	K AE L AH TH AH S
CALCANEA	K AE L K EY N IY AH
CALCANEAL	K AE L K EY N IY AH L
CALCANEI	K AE L K AH N IY
CALCANEUM	K AE L K EY N IY AH M
CALCANEUS	K AE L K EY N IY AH S
CALCAR	K AE L S ER
CALCAREOUS	K AE L K AE R IY AH S
CALCAREOUSLY	K AE L K AH R IY OW AH S L IY
CALCARIA	K AE L K AE R IY AH
CALCARS	K AE L S ER Z
CALCEATE	K AE L S IY EY T
CALCES	K AE L S AH Z
CALCIC	K AE L S IH K
CALCICOLE	K AE L S AH K OW L
CALCICOLES	K AE L S AH K OW L Z
CALCICOLOUS	K AE L S IH K AH L AH S
CALCIFEROL	K AE L S IH F AH R AH L
CALCIFEROLS	K AE L S IH F AH R AH L Z
CALCIFEROUS	K AE L S IH F AH R AH S
CALCIFIC	K AE L S IH F AH K
CALCIFICATION	K AE L S AH F AH K EY SH AH N
CALCIFICATIONS	K AE L S AH F AH K EY SH AH N Z
CALCIFIED	K AE L S AH F AY D
CALCIFIES	K AE L S AH F AY Z
CALCIFUGE	K AE L S AH F Y UW JH
CALCIFUGES	K AE L S AH F Y UW JH AH Z
CALCIFUGOUS	K AE L S AH F Y UW G AH S
CALCIFY	K AE L S AH F AY
CALCIFYING	K AE L S AH F AY IH NG
CALCIMINE	K AE L S AH M AY N
CALCIMINED	K AE L S AH M AY N D
CALCIMINES	K AE L S AH M AY N Z
CALCIMINING	K AE L S AH M AY N AH NG
CALCINATION	K AE L S AH N EY SH AH N
CALCINATIONS	K AE L S AH N EY T IY AH N Z
CALCINE	K AE L S AY N
CALCINED	K AE L S AY N D
CALCINES	K AE L S AY N Z
CALCINING	K AE L S AY N AH NG
CALCINOSES	K AE L S AH N OW Z AH Z
CALCINOSIS	K AE L S AH N OW S AH S
CALCITE	K AE L S AY T
CALCITES	K AE L S AY T S
CALCITIC	K AE L S AH T AH K
CALCITONIN	K AE L S IY T AH N IH N
CALCITONINS	K AE L S IY T AH N IH N Z
CALCIUM	K AE L S IY AH M
CALCIUMS	K AE L S IY AH M Z
CALCSPAR	K AE L K S AH R
CALCSPARS	K AE L K S AH R Z
CALCTUFA	K AE L K T Y UW F AH
CALCTUFAS	K AE L K T Y UW F AH Z
CALCTUFF	K AE L K T AH F
CALCTUFFS	K AE L K T AH F S
CALCULABLE	K AE L K Y AH L AH B AH L
CALCULATE	K AE L K Y AH L EY T
CALCULATED	K AE L K Y AH L EY T AH D
CALCULATED(2)	K AE L K Y AH L EY T IH D
CALCULATEDLY	K AE L K Y AH L AH T AH D L IY
CALCULATEDNESS	K AE L K Y AH L AH T AH D N AH S
CALCULATEDNESSES	K AE L K Y AH L AH T AH D N AH S IH Z
CALCULATES	K AE L K Y AH L EY T S
CALCULATING	K AE L K Y AH L EY T IH NG
CALCULATINGLY	K AE L K Y AH L AH T IH NG L IY
CALCULATION	K AE L K Y AH L EY SH AH N
CALCULATIONAL	K AE L K Y AH L EY SH AH N AH L
CALCULATIONS	K AE L K Y AH L EY SH AH N Z
CALCULATOR	K AE L K Y AH L EY T ER
CALCULATORS	K AE L K Y AH L EY T ER Z
CALCULI	K AE L K Y AH L AY
CALCULOUS	K AE L K Y AH L AH S
CALCULUS	K AE L K Y AH L AH S
CALCULUSES	K AE L K Y AH L UW Z AH Z
CALDARIA	K AE L D AE R IY AH
CALDARIUM	K AE L D AE R IY AH M
CALDERA	K AE L D EH R AH
CALDERA(2)	K AO L D EH R AH
CALDERAS	K AE L D AH R AH Z
CALDRON	K AE L D R AH N
CALDRONS	K AE L D R AH N Z
CALECHE	K AE L AH CH
CALECHES	K AE L AH CH AH Z
CALEFACTORIES	K AE L AH F AE K T AH R AY Z
CALEFACTORY	K AE L AH F AH K T AO R IY
CALENDAL	K AH L EH N D AH L
CALENDAR	K AE L AH N D ER
CALENDARED	K AE L AH N D ER D
CALENDARING	K AE L AH N D ER IH NG
CALENDARS	K AE L AH N D ER Z
CALENDER	K AH L EH N D AH R
CALENDERED	K AE L AH N D IY R D
