SH	EH S
CLIQUISH	K L IY K IH SH
CLIQUISHLY	K L IY K IH SH L IY
CLIQUISHNESS	K L IY K IH SH N AH S
CLIQUISHNESSES	K L IY K IH SH N AH S IH Z
CLODDISH	K L AA D IH SH
CLODDISHNESS	K L AA D IH SH N AH S
CLODDISHNESSES	K L AA D IH SH N AH S IH Z
CLOTHESHORSE	K L OW Z HH AO R S
CLOTHESHORSES	K L OW DH Z HH AO R S IH Z
CLOWNISH	K L AW N IH SH
CLOWNISHLY	K L AW N IH SH L IY
CLOWNISHNESS	K L AW N IH SH N AH S
CLOWNISHNESSES	K L AW N IH SH N AH S IH Z
CLUBBISH	K L AH B IH SH
CLUMPISH	K L AH M P IH SH
COALFISH	K OW L F IH SH
COALFISHES	K OW L F IH SH IH Z
COALSHED	K OW L SH EH D
COALSHEDS	K OW L SH EH D Z
COAUTHORSHIP	K OW AO TH ER SH IH P
COAUTHORSHIPS	K OW AO TH ER SH IH P S
COCKISH	K AA K IH SH
COCKLESHELL	K AA K L EH SH AH L
COCKLESHELLS	K AA K L EH SH AH L Z
COCKNEYISH	K AA K N EY AH SH
COCKSHIES	K AA K SH AY Z
COCKSHUT	K AA K SH AH T
COCKSHUTS	K AA K SH AH T S
COCKSHY	K AA K SH AY
CODFISH	K AA D F IH SH
CODFISHES	K AA D F IH SH IH Z
COHOSH	K OW HH AA SH
COHOSHES	K OW HH AA SH AH Z
COLDISH	K OW L D IH SH
COLLEAGUESHIP	K AA L IY G SH IH P
COLLEAGUESHIPS	K AA L IY G SH IH P S
COLLECTORSHIP	K AA L IH K T ER SH IH P
COLLECTORSHIPS	K AA L IH K T ER SH IH P S
COLLIESHANGIE	K AA L IY Z HH AE NG IY
COLLIESHANGIES	K AA L IY Z HH AE NG IY Z
COLTISH	K OW L T IH SH
COLTISHLY	K OW L T IH SH L IY
COLTISHNESS	K OW L T IH SH N AH S
COLTISHNESSES	K OW L T IH SH N AH S IH Z
COMMANDERSHIP	K AH M AE N D ER SH IH P
COMMANDERSHIPS	K AH M AE N D ER SH IH P S
COMMISSIONERSHIP	K AH M IH SH AH N ER SH IH P
COMMISSIONERSHIPS	K AH M IH SH AH N ER SH IH P S
COMPANIONSHIP	K AH M P AE N Y AH N SH IH P
COMPANIONSHIPS	K AH M P AE N Y AH N SH IH P S
COMPTROLLERSHIP	K AA M P T R OW L ER SH IH P
COMPTROLLERSHIPS	K AA M P T R OW L ER SH IH P S
COMRADESHIP	K AA M R AE D SH IH P
COMRADESHIPS	K AA M R AE D SH IH P S
CONNOISSEURSHIP	K AA N AH S ER SH IH P
CONNOISSEURSHIPS	K AA N AH S ER SH IH P S
CONSERVATORSHIP	K AH N S ER V AH T ER SH IH P
CONSERVATORSHIPS	K AH N S ER V AH T ER SH IH P S
CONSULSHIP	K AA N S AH L SH IH P
CONSULSHIPS	K AA N S AH L SH IH P S
CONSULTANTSHIP	K AH N S AH L T AH N T SH IH P
CONSULTANTSHIPS	K AH N S AH L T AH N T SH IH P S
CONSUMERSHIP	K AH N S UW M ER SH IH P
CONSUMERSHIPS	K AH N S UW M ER SH IH P S
CONTAINERSHIP	K AH N T EY N ER SH IH P
CONTAINERSHIPS	K AH N T EY N ER SH IH P S
CONTRADISTINGUISH	K AA N T R AH D IH S T IH NG G W IH SH
CONTRADISTINGUISHED	K AA N T R AH D IH S T IH NG G W IH SH T
CONTRADISTINGUISHES	K AA N T R AH D IH S T IH NG G W IH SH IH Z
CONTRADISTINGUISHING	K AA N T R AH D IH S T IH NG G W IH SH IH NG
CONTROLLERSHIP	K AH N T R OW L ER SH IH P
CONTROLLERSHIPS	K AH N T R OW L ER SH IH P S
COOKSHACK	K UH K SH AE K
COOKSHACKS	K UH K SH AE K S
COOKSHOP	K UH K SH AA P
COOKSHOPS	K UH K SH AA P S
COOLISH	K UW L IH SH
COPARTNERSHIP	K OW P AA R T N ER SH IH P
COPARTNERSHIPS	K OW P AA R T N ER SH IH P S
COPROPRIETORSHIP	K OW P R AH P R AY AH T ER SH IH P
COPROPRIETORSHIPS	K OW P R AH P R AY AH T ER SH IH P S
COPUBLISH	K OW P AH B L IH SH
COPUBLISHED	K OW P AH B L IH SH T
COPUBLISHER	K OW P AH B L IH SH ER
COPUBLISHERS	K OW P AH B L IH SH ER Z
COPUBLISHES	K OW P AH B L IH SH IH Z
COPUBLISHING	K OW P AH B L IH SH IH NG
COQUETTISH	K OW K EH T IH SH
COQUETTISHLY	K OW K EH T IH SH L IY
COQUETTISHNESS	K OW K EH T IH SH N AH S
COQUETTISHNESSES	K OW K EH T IH SH N AH S IH Z
COSH	K AA SH
COSHED	K OW SH EH D
COSHER	K AA SH AH R
COSHERED	K OW SH IY R D
COSHERING	K OW SH IY R AH NG
COSHERS	K OW SH EH R Z
COSHES	K AA SH AH Z
COSHING	K AA SH AH NG
COSPONSORSHIP	K OW S P AA N S ER SH IH P
COSPONSORSHIPS	K OW S P AA N S ER SH IH P S
COUNCILLORSHIP	K AW N S AH L ER SH IH P
COUNCILLORSHIPS	K AW N S AH L ER SH IH P S
COUNSELORSHIP	K AW N S AH L ER SH IH P
COUNSELORSHIPS	K AW N S AH L ER SH IH P S
COUNTERSHADING	K AW N T ER SH EY D IH NG
COUNTERSHADINGS	K AW N T ER SH EY D IH NG Z
COUNTERSHOT	K AW N T ER SH AA T
COUNTERSHOTS	K AW N T ER SH AA T S
COUNTRYISH	K AH N T R IY IH SH
COURTSHIP	K AO R CH IH P
COURTSHIPS	K OW R T SH IH P S
COUSINSHIP	K AH Z AH N SH IH P
COUSINSHIPS	K AH Z AH N SH IH P S
COWFISH	K AW F IH SH
COWFISHES	K AW F IH SH IH Z
COWSHED	K AW SH EH D
COWSHEDS	K AW SH EH D Z
COYISH	K OY IH SH
CRAFTSMANSHIP	K R AE F T S M AH N SH IH P
CRAFTSMANSHIP(2)	K R AE F S M AH N SH IH P
CRAFTSMANSHIPS	K R AE F T S M AE N SH IH P S
CRANKISH	K R AE NG K IH SH
CRANKSHAFT	K R AE NG K SH AE F T
CRANKSHAFTS	K R AE NG K SH AE F T S
CRAPSHOOT	K R AE P SH UW T
CRAPSHOOTER	K R AE P SH UW T ER
CRAPSHOOTERS	K R AE P SH UW T ER Z
CRAPSHOOTS	K R AE P SH UW T S
CRASH	K R AE SH
CRASHED	K R AE SH T
CRASHER	K R AE SH ER
CRASHERS	K R AE SH ER Z
CRASHES	K R AE SH IH Z
CRASHING	K R AE SH IH NG
CRASHINGLY	K R AE SH IH NG L IY
CRASHWORTHINESS	K R AE SH W ER DH IY N AH S
CRASHWORTHINESSES	K R AE SH W ER DH IY N AH S IH Z
CRASHWORTHY	K R AE SH W ER DH IY
CRAWFISH	K R AO F IH SH
CRAWFISHED	K R AO F AH SH T
CRAWFISHES	K R AO F AH SH AH Z
CRAWFISHING	K R AO F AH SH AH NG
CRAYFISH	K R EY F IH SH
CRAYFISHES	K R EY F AH SH AH Z
CREESH	K R IY SH
CREESHED	K R IY SH T
CREESHES	K R IY SH AH Z
CREESHING	K R IY SH AH NG
CROSSHAIR	K R AO S HH EH R
CROSSHAIRS	K R AO S HH EH R Z
CROSSHATCH	K R AO S HH AE CH
CROSSHATCHED	K R AO S HH AE CH T
CROSSHATCHES	K R AO S HH AE CH IH Z
CROSSHATCHING	K R AO S HH AE CH IH NG
CROSSHEAD	K R AO S HH EH D
CROSSHEADS	K R AO S HH EH D Z
CRUSH	K R AH SH
CRUSHABLE	K R AH SH AH B AH L
CRUSHED	K R AH SH T
CRUSHER	K R AH SH ER
CRUSHERS	K R AH SH ER Z
CRUSHES	K R AH SH IH Z
CRUSHING	K R AH SH IH NG
CRUSHINGLY	K R AH SH IH NG L IY
CRUSHPROOF	K R AH SH P R UW F
CUBBISH	K AH B IH SH
CUISH	K Y UW IH SH
CUISHES	K Y UW IH SH IH Z
CULTISH	K AH L T IH SH
CULTISHLY	K AH L T IH SH L IY
CULTISHNESS	K AH L T IH SH N AH S
CULTISHNESSES	K AH L T IH SH N AH S IH Z
CUMSHAW	K AH M SH AH
CUMSHAWS	K AH M SH AH Z
CURATORSHIP	K Y UH R AH T ER SH IH P
CURATORSHIPS	K Y UH R AH T ER SH IH P S
CURRISH	K ER IH SH
CURRISHLY	K ER IH SH L IY
CUSHAT	K AH SH AH T
CUSHATS	K AH SH EY T S
CUSHAW	K AH SH AH
CUSHAWS	K AH SH AH Z
CUSHIER	K AH SH AY AH R
CUSHIEST	K AH SH AY AH S T
CUSHILY	K AH SH AH L IY
CUSHION	K UH SH AH N
CUSHIONED	K UH SH AH N D
CUSHIONING	K UH SH AH N IH NG
CUSHIONING(2)	K UH SH N IH NG
CUSHIONLESS	K UH SH AH N L AH S
CUSHIONS	K UH SH AH N Z
CUSHIONY	K UH SH AH N IY
CUSHY	K UH SH IY
CUSTODIANSHIP	K AH S T OW D IY AH N SH IH P
CUSTODIANSHIPS	K AH S T OW D IY AH N SH IH P S
CUSTOMSHOUSE	K AH S T AH M Z HH AW S
CUSTOMSHOUSES	K AH S T AH M Z HH AW S IH Z
CUTTLEFISH	K AH T AH L F IH SH
CUTTLEFISHES	K AH T L EH F AH SH AH Z
DACHSHUND	D AA K S HH UH N D
DACHSHUNDS	D AA K S HH UH N T S
DAISHIKI	D EY SH AH K IY
DAISHIKIS	D EY AH S HH AY K IY Z
DAMPISH	D AE M P IH SH
DAMSELFISH	D AE M Z AH L F IH SH
DAMSELFISHES	D AE M Z AH L F IH SH IH Z
DANDYISH	D AE N D IY IH SH
DANDYISHLY	D AE N D IY IH SH L IY
DANISH	D EY N IH SH
DARKISH	D AA R K IH SH
DARSHAN	D AA R SH AH N
DARSHANS	D AA R SH AH N Z
DASH	D AE SH
DASHBOARD	D AE SH B AO R D
DASHBOARDS	D AE SH B AO R D Z
DASHED	D AE SH T
DASHEEN	D AE SH IY AH N
DASHEENS	D AH SH IY N Z
DASHER	D AE SH ER
DASHERS	D AE SH ER Z
DASHES	D AE SH IH Z
DASHI	D AE SH IY
DASHIER	D AE SH IY ER
DASHIEST	D AE SH IY AH S T
DASHIKI	D AH SH IY K IY
DASHIKIS	D AE SH AH K AH S
DASHING	D AE SH IH NG
DASHINGLY	D AE SH IH NG L IY
DASHIS	D AE SH IY Z
DASHPOT	D AE SH P AA T
DASHPOTS	D AE SH P AA T S
DASHY	D AE SH IY
DAYSHIFT	D EY SH IH F T
DAYSHIFTS	D EY SH IH F T S
DEAFISH	D EH F IH SH
DEALERSHIP	D IY L ER SH IH P
DEALERSHIPS	D IY L ER SH IH P S
DEALFISH	D IY L F IH SH
DEALFISHES	D IY L F IH SH IH Z
DEANSHIP	D IY N SH IH P
DEANSHIPS	D IY N SH IH P S
DEASH	D IY AE SH
DEASHED	D IY AH SH EH D
DEASHES	D IY AE SH IH Z
DEASHING	D IY AE SH IH NG
DEMOLISH	D IH M AA L IH SH
DEMOLISHED	D IH M AA L IH SH T
DEMOLISHER	D IH M AA L IH SH ER
DEMOLISHERS	D IH M AA L IH SH ER Z
DEMOLISHES	D IH M AA L IH SH AH Z
DEMOLISHING	D IH M AA L IH SH IH NG
DEMOLISHMENT	D IH M AA L IH SH M AH N T
DEMOLISHMENTS	D IH M AA L IH SH M AH N T S
DEPOLISH	D IY P AA L IH SH
DEPOLISHED	D IY P AA L IH SH T
DEPOLISHES	D IY P AA L IH SH IH Z
DEPOLISHING	D IY P AA L IH SH IH NG
DERVISH	D ER V IH SH
DERVISHES	D ER V IH SH IH Z
DESHABILLE	D AH SH AE B AH L
DESHABILLES	D AH SH AE B AH L Z
DEVILFISH	D EH V AH L F IH SH
DEVILFISHES	D EH V AH L F IH SH IH Z
DEVILISH	D EH V L IH SH
DEVILISHLY	D EH V AH L IH SH L IY
DEVILISHLY(2)	D EH V L IH SH L IY
DEVILISHNESS	D IY V IH L IH SH N AH S
DEVILISHNESSES	D IY V IH L IH SH N AH S IH Z
DICTATORSHIP	D IH K T EY T ER SH IH P
DICTATORSHIPS	D IH K T EY T ER SH IH P S
DILETTANTISH	D IH L AH T AA N T IH SH
DIMINISH	D IH M IH N IH SH
DIMINISHABLE	D AH M IH N IH SH AH B AH L
DIMINISHED	D IH M IH N IH SH T
DIMINISHES	D IH M IH N IH SH IH Z
DIMINISHING	D IH M IH N IH SH IH NG
DIMINISHMENT	D IH M IH N IH SH M AH N T
DIMINISHMENTS	D AH M IH N IH SH M AH N T S
DIRECTORSHIP	D ER EH K T ER SH IH P
DIRECTORSHIP(2)	D AY R EH K T ER SH IH P
DIRECTORSHIP(3)	D IY R EH K T ER SH IH P
DIRECTORSHIP(4)	D IH R EH K T ER SH IH P
DIRECTORSHIPS	D ER EH K T ER SH IH P S
DIRECTORSHIPS(2)	D AY R EH K T ER SH IH P S
DIRECTORSHIPS(3)	D IY R EH K T ER SH IH P S
DIRECTORSHIPS(4)	D IH R EH K T ER SH IH P S
DISCIPLESHIP	D IH S AY P AH L SH IH P
DISCIPLESHIPS	D IH S AY P AH L SH IH P S
DISESTABLISH	D IH S IH S T AE B L IH SH
DISESTABLISHED	D IH S IH S T AE B L IH SH T
DISESTABLISHES	D IH S IH S T AE B L IH SH IH Z
DISESTABLISHING	D IH S IH S T AE B L IH SH IH NG
DISESTABLISHMENT	D IH S IH S T AE B L IH SH M AH N T
DISESTABLISHMENTARIAN	D AH S EH S T AH B L IH SH M AH N T EH R IY AH N
DISESTABLISHMENTARIANS	D AH S AH S T AH B L IH SH M AH N T AE R IY AH N Z
DISESTABLISHMENTS	D IH S IH S T AE B L IH SH M AH N T S
DISFURNISH	D IH S F ER N IH SH
DISFURNISHED	D IH S F ER N IH SH T
DISFURNISHES	D IH S F ER N IH SH IH Z
DISFURNISHING	D IH S F ER N IH SH IH NG
DISFURNISHMENT	D IH S F ER N IH SH M AH N T
DISFURNISHMENTS	D IH S F ER N IH SH M AH N T S
DISH	D IH SH
DISHABILLE	D IH S AE B AH L
DISHABILLES	D IH S AE B AH L Z
DISHARMONIES	D IH S HH AA R M AH N IY Z
DISHARMONIOUS	D IH S HH AA R M OW N IY AH S
DISHARMONIZE	D IH S HH AA R M AO N AY Z
DISHARMONIZED	D IH S HH AA R M AO N AY Z D
DISHARMONIZES	D IH S HH AA R M AO N AY Z IH Z
DISHARMONIZING	D IH S HH AA R M AO N AY Z IH NG
DISHARMONY	D IH S HH AA R M AH N IY
DISHCLOTH	D IH SH K L AO TH
DISHCLOTHS	D IH SH K L AO TH S
DISHCLOUT	D IH SH K L AW T
DISHCLOUTS	D IH SH K L AW T S
DISHEARTEN	D IH S HH AA R T AH N
DISHEARTENED	D IH S HH AA R T AH N D
DISHEARTENING	D IH S HH AA R T AH N IH NG
DISHEARTENING(2)	D IH S HH AA R T N IH NG
DISHEARTENINGLY	D IH S HH AA R T AH N IH NG L IY
DISHEARTENMENT	D IH S HH AA R T AH N M AH N T
DISHEARTENMENTS	D IH S HH AA R T AH N M AH N T S
DISHEARTENS	D IH S HH AA R T AH N Z
DISHED	D IH SH T
DISHELM	D IH S HH EH L M
DISHELMED	D IH S HH EH L M D
DISHELMING	D IH S HH EH L M IH NG
DISHELMS	D IH S HH EH L M Z
DISHERIT	D IH S EH R AH T
DISHERITED	D IH S AH R AY T AH D
DISHERITING	D IH S AH R AY T AH NG
DISHERITS	D IH S EH R AH T S
DISHES	D IH SH AH Z
DISHES(2)	D IH SH IH Z
DISHEVEL	D IH SH EH V AH L
DISHEVELED	D IH SH EH V AH L D
DISHEVELING	D IH SH EH V AH L IH NG
DISHEVELLED	D IH SH EH V AH L D
DISHEVELLING	D IH SH EH V AH L IH NG
DISHEVELS	D IH SH EH V AH L Z
DISHFUL	D IH SH F AH L
DISHFULS	D IH SH F AH L Z
DISHIER	D IH SH IY ER
DISHIEST	D IH SH IY AH S T
DISHING	D IH SH IH NG
DISHLIKE	D IH SH L AY K
DISHONEST	D IH S AA N AH S T
DISHONESTIES	D IH S AA N AH S T IY Z
DISHONESTLY	D IH S AO N AH S T L IY
DISHONESTY	D IH S AA N AH S T IY
DISHONOR	D IH S AA N ER
DISHONORABLE	D IH S AA N ER AH B AH L
DISHONORABLENESS	D IH S AA N ER AH B AH L N AH S
DISHONORABLENESSES	D IH S AA N ER AH B AH L N AH S IH Z
DISHONORABLY	D IH S AA N ER AH B L IY
DISHONORED	D IH S AA N ER D
DISHONORER	D IH S AA N ER ER
DISHONORERS	D IH S AA N ER ER Z
DISHONORING	D IH S AA N ER IH NG
DISHONORS	D IH S AA N ER Z
DISHPAN	D IH SH P AE N
DISHPANS	D IH SH P AE N Z
DISHRAG	D IH SH R AE G
DISHRAGS	D IH SH R AE G Z
DISHTOWEL	D IH SH T AW AH L
DISHTOWELS	D IH SH T AW AH L Z
DISHWARE	D IH SH W EH R
DISHWARES	D IH SH W EH R Z
DISHWASHER	D IH SH W AA SH ER
DISHWASHERS	D IH SH W AA SH ER Z
DISHWATER	D IH SH W AO T ER
DISHWATERS	D IH SH W AO T ER Z
DISHY	D IH SH IY
DISRELISH	D IH S R EH L IH SH
DISRELISHED	D IH S R EH L IH SH T
DISRELISHES	D IH S R EH L IH SH IH Z
DISRELISHING	D IH S R EH L IH SH IH NG
DISTINGUISH	D IH S T IH NG G W IH SH
DISTINGUISHABILITIES	D IH S T IH NG G W IH SH AH B IH L AH T EH Z
DISTINGUISHABILITY	D IH S T IH NG G W IH SH AH B IH L AH T EH
DISTINGUISHABLE	D IH S T IH NG G W IH SH AH B AH L
DISTINGUISHABLY	D IH S T IH NG G W IH SH AH B L IY
DISTINGUISHED	D IH S T IH NG G W IH SH T
DISTINGUISHES	D IH S T IH NG G W IH SH IH Z
DISTINGUISHING	D IH S T IH NG G W IH SH IH NG
DISTRIBUTORSHIP	D IH S T R IH B Y UW T ER SH IH P
DISTRIBUTORSHIPS	D IH S T R IH B Y UW T ER SH IH P S
DOCTORSHIP	D AA K T ER SH IH P
DOCTORSHIPS	D AA K T ER SH IH P S
DOGESHIP	D AO G Z HH IH P
DOGESHIPS	D AO G Z HH IH P S
DOGFISH	D AO G F IH SH
DOGFISHES	D AO G F IH SH IH Z
DOGGISH	D AO G IH SH
DOGGISHLY	D AO G IH SH L IY
DOGGISHNESS	D AO G IH SH N AH S
DOGGISHNESSES	D AO G IH SH N AH S IH Z
DOLLISH	D AA L IH SH
DOLLISHLY	D AA L IH SH L IY
DOLLISHNESS	D AA L IH SH N AH S
DOLLISHNESSES	D AA L IH SH N AH S IH Z
DOLPHINFISH	D AA L F AH N F IH SH
DOLPHINFISHES	D AA L F AH N F IH SH IH Z
DOLTISH	D OW L T IH SH
DOLTISHLY	D OW L T IH SH L IY
DOLTISHNESS	D OW L T IH SH N AH S
DOLTISHNESSES	D OW L T IH SH N AH S IH Z
DONNISH	D AA N IH SH
DONNISHLY	D AA N IH SH L IY
DONNISHNESS	D AA N IH SH N AH S
DONNISHNESSES	D AA N IH SH N AH S IH Z
DOVISH	D OW V IH SH
DOVISH(2)	D AH V IH SH
DOVISHNESS	D AH V IH SH N AH S
DOVISHNESSES	D AH V IH SH N AH S IH Z
DOWDYISH	D AW D AY IH SH
DOWNSHIFT	D AW N SH IH F T
DOWNSHIFTED	D AW N SH IH F T IH D
DOWNSHIFTING	D AW N SH IH F T IH NG
DOWNSHIFTS	D AW N SH IH F T S
DOWNWASH	D AW N W AA SH
DOWNWASHES	D AW N W AA SH IH Z
DRAFFISH	D R AE F AH SH
DRAFTSMANSHIP	D R AE F T S M AH N SH IH P
DRAFTSMANSHIPS	D R AE F T S M AE N SH IH P S
DRAGONISH	D R AE G AH N IH SH
DRAMSHOP	D R AE M SH AA P
DRAMSHOPS	D R AE M SH AA P S
DRAWSHAVE	D R AO SH EY V
DRAWSHAVES	D R AO SH EY V Z
DREGGISH	D R EH G IH SH
DRIVESHAFT	D R AY V SH AE F T
DRIVESHAFTS	D R AY V SH AE F T S
DRONISH	D R OW N IH SH
DROPSHOT	D R AA P SH AA T
DROPSHOTS	D R AA P SH AA T S
DROSHKIES	D R AA SH AY Z
DROSHKY	D R AA SH IY
DROSHKYS	D R AA SH AH Z
DRUMFISH	D R AH M F IH SH
DRUMFISHES	D R AH M F IH SH IH Z
DRYISH	D R AY IH SH
DUDISH	D AH D IH SH
DUDISHLY	D AH D IH SH L IY
DUENNASHIP	D Y UW EH N AH SH IH P
DUENNASHIPS	D Y UW EH N AH SH AH P S
DULLISH	D AH L IH SH
DULLISHLY	D AH L IH SH L IY
DUMPISH	D AH M P IH SH
DUNCISH	D AH N S AH SH
DUSKISH	D AH S K IH SH
DWARFISH	D W AO R F IH SH
DWARFISHLY	D W AO R F IH SH L IY
DWARFISHNESS	D W AO R F IH SH N AH S
DWARFISHNESSES	D W AO R F IH SH N AH S IH Z
EARLSHIP	ER L SH IH P
EARLSHIPS	ER L SH IH P S
EARSHOT	IH R SH AA T
EARSHOT(2)	IY R SH AA T
EARSHOTS	IH ER SH AA T S
EARTHSHAKER	ER TH SH EY K ER
EARTHSHAKERS	ER TH SH EY K ER Z
EARTHSHAKING	ER TH SH EY K IH NG
EARTHSHAKINGLY	ER TH SH EY K IH NG L IY
EARTHSHINE	ER TH SH AY N
EARTHSHINES	ER TH SH AY N Z
EDITORSHIP	EH D AH T ER SH IH P
EDITORSHIPS	EH D AH T ER SH IH P S
EGGSHELL	EH G SH EH L
EGGSHELLS	EH G SH EH L Z
ELDERSHIP	EH L D ER SH IH P
ELDERSHIPS	EH L D ER SH IH P S
ELECTROFISHING	AH L EH K T R AA F AH SH AH NG
ELECTROFISHINGS	EH L AH K T R AA F AH SH AH NG Z
ELECTROSHOCK	IH L EH K T R OW SH AA K
ELECTROSHOCKS	AH L EH K T R AH SH AH K S
ELFISH	EH L F IH SH
ELFISHLY	EH L F IH SH L IY
ELVISH	EH L V AH SH
ELVISHLY	EH L V IH SH L IY
EMBELLISH	IH M B EH L IH SH
EMBELLISHED	EH M B EH L IH SH T
EMBELLISHER	IH M B EH L IH SH ER
EMBELLISHERS	IH M B EH L IH SH ER Z
EMBELLISHES	EH M B EH L IH SH AH Z
EMBELLISHING	EH M B EH L IH SH IH NG
EMBELLISHMENT	EH M B EH L IH SH M AH N T
EMBELLISHMENTS	IH M B EH L IH SH M AH N T S
EMPERORSHIP	EH M P ER ER SH IH P
EMPERORSHIPS	EH M P ER ER SH IH P S
ENCASH	EH N K AE SH
ENCASHABLE	EH N K AE SH AH B AH L
ENCASHED	EH N K AE SH T
ENCASHES	EH N K AE SH IH Z
ENCASHING	EH N K AE SH IH NG
ENCASHMENT	EH N K AE SH M AH N T
ENCASHMENTS	EH N K AE SH M AH N T S
ENGLISH	IH NG G L IH SH
ENGLISH(2)	IH NG L IH SH
ENGLISHED	IH NG G L IH SH T
ENGLISHES	IH NG G L IH SH IH Z
ENGLISHING	IH NG G L IH SH IH NG
ENMESH	EH N M EH SH
ENMESHED	EH N M EH SH T
ENMESHES	EH N M EH SH AH Z
ENMESHING	EH N M EH SH IH NG
ENMESHMENT	EH N M EH SH M AH N T
ENMESHMENTS	EH N M EH SH M AH N T S
ENRAVISH	EH N R EY V IH SH
ENRAVISHED	EH N R EY V IH SH T
ENRAVISHES	EH N R EY V IH SH IH Z
ENRAVISHING	EH N R EY V IH SH IH NG
ENSHEATH	EH N SH IY TH
ENSHEATHE	EH N SH IY DH
ENSHEATHED	EH N SH IY DH D
ENSHEATHES	EH N SH IY DH Z
ENSHEATHING	EH N SH IY DH IH NG
ENSHEATHS	EH N SH IY TH S
ENSHRINE	EH N SH R AY N
ENSHRINED	EH N SH R AY N D
ENSHRINEE	EH N SH R AY N IY
ENSHRINEES	EH N SH R AY N IY Z
ENSHRINEMENT	EH N SH R AY N M AH N T
ENSHRINEMENTS	EH N SH R AY N M AH N T S
ENSHRINES	EH N SH R AY N Z
ENSHRINING	EH N SH R AY N IH NG
ENSHROUD	IH N SH R AW D
ENSHROUDED	IH N SH R AW D AH D
ENSHROUDING	EH N SH R AW D IH NG
ENSHROUDS	EH N SH R AW D Z
ENTREPRENEURSHIP	AA N T R AH P R AH N ER SH IH P
ENTREPRENEURSHIPS	AA N T R AH P R AH N ER SH IH P S
ESTABLISH	IH S T AE B L IH SH
ESTABLISHABLE	IH S T AE B L IH SH AH B AH L
ESTABLISHED	IH S T AE B L IH SH T
ESTABLISHER	IH S T AE B L IH SH ER
ESTABLISHERS	IH S T AE B L IH SH ER Z
ESTABLISHES	IH S T AE B L IH SH IH Z
ESTABLISHING	IH S T AE B L IH SH IH NG
ESTABLISHMENT	IH S T AE B L IH SH M AH N T
ESTABLISHMENTARIAN	EH S T AH B L IH SH M AH N T EH R IY AH N
ESTABLISHMENTARIANISM	EH S T AH B L IH SH M AH N T AE R IY AH N IH Z AH M
ESTABLISHMENTARIANISMS	EH S T AH B L AH SH M EH N T AH R IY AH N AH Z AH M Z
ESTABLISHMENTARIANS	EH S T AH B L IH SH M AH N T AE R IY AH N Z
ESTABLISHMENTS	EH S T AE B L IH SH M AH N T S
ETHERISH	IY TH ER IH SH
EVANISH	EH V AH N AH SH
EVANISHED	EH V AH N AH SH T
EVANISHES	AH V AE N AH SH AH Z
EVANISHING	AH V AE N AH SH AH NG
EXECUTORSHIP	IH G Z EH K Y AH T ER SH IH P
EXECUTORSHIPS	IH G Z EH K Y AH T ER SH IH P S
EXTERNSHIP	EH K S T ER N SH IH P
EXTERNSHIPS	EH K S T ER N SH IH P S
EXTINGUISH	IH K S T IH NG G W IH SH
EXTINGUISHABLE	IH K S T IH NG G W IH SH AH B AH L
EXTINGUISHED	IH K S T IH NG G W IH SH T
EXTINGUISHER	IH K S T IH NG G W IH SH ER
EXTINGUISHERS	IH K S T IH NG G W IH SH ER Z
EXTINGUISHES	IH K S T IH NG G W IH SH IH Z
EXTINGUISHING	IH K S T IH NG G W IH SH IH NG
EXTINGUISHMENT	IH K S T IH NG G W IH SH M AH N T
EXTINGUISHMENTS	IH K S T IH NG G W IH SH M AH N T S
EYELASH	AY L AE SH
EYELASHES	AY L AE SH IH Z
EYESHADE	AY SH EY D
EYESHADES	AY SH EY D Z
EYESHOT	AY SH AA T
EYESHOTS	AY SH AA T S
EYEWASH	AY W AA SH
EYEWASHES	AY W AA SH IH Z
FACTORSHIP	F AE K T ER SH IH P
FACTORSHIPS	F AE K T ER SH IH P S
FADDISH	F AE D IH SH
FADDISHNESS	F AE D IH SH N AH S
FADDISHNESSES	F AE D IH SH N AH S IH Z
FAINTISH	F EY N T IH SH
FAINTISHNESS	F EY N T IH SH N AH S
FAINTISHNESSES	F EY N T IH SH N AH S IH Z
FAIRISH	F EH R IH SH
FAIRISHLY	F EH R IH SH L IY
FALLFISH	F AO L F IH SH
FALLFISHES	F AO L F IH SH IH Z
FAMISH	F EY M IH SH
FAMISHED	F AE M IH SH T
FAMISHES	F EY M IH SH IH Z
FAMISHING	F EY M IH SH IH NG
FAMISHMENT	F EY M IH SH M AH N T
FAMISHMENTS	F EY M IH SH M AH N T S
FASH	F AE SH
FASHED	F AE SH T
FASHES	F AE SH AH Z
FASHING	F AE SH AH NG
FASHION	F AE SH AH N
FASHIONABILITIES	F AE SH AH N AH B IH L AH T EH Z
FASHIONABILITY	F AE SH AH N AH B IH L AH T EH
FASHIONABLE	F AE SH AH N AH B AH L
FASHIONABLE(2)	F AE SH N AH B AH L
FASHIONABLENESS	F AE SH AH N AH B AH L N AH S
FASHIONABLENESSES	F AE SH AH N AH B AH L N AH S IH Z
FASHIONABLES	F AE SH AH N AH B AH L Z
FASHIONABLY	F AE SH AH N AH B L IY
FASHIONED	F AE SH AH N D
FASHIONER	F AE SH AH N ER
FASHIONERS	F AE SH AH N ER Z
FASHIONING	F AE SH AH N IH NG
FASHIONMONGER	F AE SH AH N M AH NG G ER
FASHIONMONGERS	F AE SH AH N M AH NG G ER Z
