KE	K EH
DONKEYWORKS	D AA NG K IY W ER K S
DONNICKER	D AA N IH K S ER
DONNICKERS	D AA N IH K S ER Z
DONNIKER	D AA N AY K AH R
DONNIKERS	D AA N AH K AH R Z
DOOHICKEY	D UW HH IH K IY
DOOHICKEYS	D UW HH IH K EY Z
DOORKEEPER	D AO R K IY P ER
DOORKEEPERS	D OW R K IY P ER Z
DOUBLESPEAKER	D AH B AH L S P IY K ER
DOUBLESPEAKERS	D AH B AH L S P IY K ER Z
DOUGHLIKE	D OW L AY K
DOUGHNUTLIKE	D OW N AH T L AY K
DOVEKEY	D AH V K IY
DOVEKEYS	D AH V K IY Z
DOVELIKE	D AH V L AY K
DOWNSTROKE	D AW N S T R OW K
DOWNSTROKES	D AW N S T R OW K S
DRAKE	D R EY K
DRAKES	D R EY K S
DREAMLIKE	D R IY M L AY K
DRESSMAKER	D R EH S M EY K ER
DRESSMAKERS	D R EH S M EY K ER Z
DRINKER	D R IH NG K ER
DRINKERS	D R IH NG K ER Z
DROPKICKER	D R AA P K IH K ER
DROPKICKERS	D R AA P K IH K ER Z
DROUKED	D R AW K T
DRUGMAKER	D R AH G M EY K ER
DRUGMAKERS	D R AH G M EY K ER Z
DRUMLIKE	D R AH M L AY K
DRUNKEN	D R AH NG K AH N
DRUNKENLY	D R AH NG K AH N L IY
DRUNKENNESS	D R AH NG K AH N N AH S
DRUNKENNESSES	D R AH NG K AH N AH S IH Z
DRUNKER	D R AH NG K ER
DRUNKEST	D R AH NG K AH S T
DUCKED	D AH K T
DUCKER	D AH K ER
DUCKERS	D AH K ER Z
DUCKWALKED	D AH K W AO K T
DUIKER	D UW K AH R
DUIKERS	D UW K AH R Z
DUKE	D UW K
DUKED	D UW K T
DUKEDOM	D UW K D AH M
DUKEDOMS	D UW K D AH M Z
DUKES	D UW K S
DUNELIKE	D UW N L AY K
DUNKED	D AH NG K T
DUNKER	D AH NG K ER
DUNKERS	D AH NG K ER Z
DUSKED	D AH S K T
DUSTLIKE	D AH S T L AY K
DWARFLIKE	D W AO R F L AY K
DYKE	D AY K
DYKED	D AY K T
DYKES	D AY K S
DYKEY	D AY K IY
EARMARKED	IH R M AA R K T
EARMARKED(2)	IY R M AA R K T
EARTHLIKE	ER TH L AY K
EARTHQUAKE	ER TH K W EY K
EARTHQUAKES	ER TH K W EY K S
EARTHSHAKER	ER TH SH EY K ER
EARTHSHAKERS	ER TH SH EY K ER Z
EELLIKE	IY L L AY K
EKE	IY K
EKED	IY K T
EKES	IY K S
ELFLIKE	EH L F L AY K
EMBANKED	IH M B AE NG K T
EMBARKED	EH M B AA R K T
EMBOSKED	IH M B AA S T
ENDOSKELETAL	EH N D UW S K EH L AH T AH L
ENDOSKELETON	EH N D UW S K EH L AH T AH N
ENDOSKELETONS	EH N D UW S K EH L AH T AH N Z
ENKEPHALIN	IH N K EH F AH L AH N
ENKEPHALINS	IH N K EH F AH L AH N Z
ENOKIDAKE	AH N AA K AH D EY K
ENOKIDAKES	AH N AA K AH D EY K S
EPICLIKE	EH P IH K L AY K
EQUIVOKE	EH K W AH V OW K
EQUIVOKES	EH K W AH V OW K S
ESKER	EH S K ER
ESKERS	EH S AH R Z
EVOKE	IH V OW K
EVOKE(2)	IY V OW K
EVOKED	IH V OW K T
EVOKED(2)	IY V OW K T
EVOKER	IH V OW K ER
EVOKERS	IH V OW K ER Z
EVOKES	IH V OW K S
EVOKES(2)	IY V OW K S
EXOSKELETAL	IH G Z AA S EH L AH T AH L
EXOSKELETON	EH K S OW S K EH L AH T AH N
EXOSKELETONS	IH G Z AA S EH L AH T AH N Z
EYELIKE	AY L AY K
FACTORYLIKE	F AE K T AH R IY L AY K
FAIRYLIKE	F AE ER IY L AY K
FAKE	F EY K
FAKED	F EY K T
FAKEER	F EY K IH R
FAKEERS	F EY K IH R Z
FAKER	F EY K ER
FAKERIES	F EY K AH R IY Z
FAKERS	F EY K ER Z
FAKERY	F EY K AH R IY
FAKES	F EY K S
FAKEY	F EY K IY
FANGLIKE	F AE NG L AY K
FANLIKE	F AE N L AY K
FARMWORKER	F AA R M W ER K ER
FARMWORKERS	F AA R M W ER K ER Z
FATHERLIKE	F AA DH ER L AY K
FATLIKE	F AE T L AY K
FAUNLIKE	F AO N L AY K
FAWNLIKE	F AO N L AY K
FELTLIKE	F EH L T L AY K
FERNLIKE	F ER N L AY K
FILMMAKER	F IH L M EY K ER
FILMMAKERS	F IH L M EY K ER Z
FINGERLIKE	F IH NG G ER L AY K
FINGERPICKED	F IH NG G ER P IH K T
FINKED	F IH NG K T
FINLIKE	F IH N L AY K
FIRECRACKER	F AY ER K R AE K ER
FIRECRACKERS	F AY ER K R AE K ER Z
FIREDRAKE	F AY ER D R EY K
FIREDRAKES	F AY ER D R EY K S
FISHLIKE	F IH SH L AY K
FLACKED	F L AE K T
FLACKERIES	F L AE K AH R AY Z
FLACKERY	F L AE K AH R IY
FLAKE	F L EY K
FLAKED	F L EY K T
FLAKER	F L EY K ER
FLAKERS	F L EY K ER Z
FLAKES	F L EY K S
FLAKEY	F L EY K IY
FLANKED	F L AE NG K T
FLANKEN	F L AE NG K AH N
FLANKENS	F L AE NG K AH N Z
FLANKER	F L AE NG K ER
FLANKERS	F L AE NG K ER Z
FLASKET	F L AE S AH T
FLASKETS	F L AE S AH T S
FLECKED	F L EH K T
FLICKED	F L IH K T
FLICKER	F L IH K ER
FLICKERED	F L IH K ER D
FLICKERING	F L IH K ER IH NG
FLICKERINGLY	F L IH K ER IH NG L IY
FLICKERS	F L IH K ER Z
FLICKERY	F L IH K AH R IY
FLINTLIKE	F L IH N T L AY K
FLOCKED	F L AA K T
FLOORWALKER	F L OW R W AO K ER
FLOORWALKERS	F L OW R W AO K ER Z
FLOWERLIKE	F L AW ER L AY K
FLUKE	F L UW K
FLUKED	F L UW K T
FLUKES	F L UW K S
FLUKEY	F L UW K IY
FLUNKED	F L AH NG K T
FLUNKER	F L AH NG K AH R
FLUNKERS	F L AH NG K AH R Z
FLUNKEY	F L AH NG K IY
FLUNKEYS	F L AH NG K EY Z
FLUTELIKE	F L UW T L AY K
FLYSPECKED	F L AY S P EH K T
FOAMLIKE	F OW M L AY K
FOLKLIKE	F OW K L AY K
FOOTLIKE	F UH T L AY K
FOOTLOCKER	F UH T L OW K ER
FOOTLOCKERS	F UH T L OW K ER Z
FORCEPSLIKE	F AO R S AH P S L AY K
FORECHECKED	F OW R CH EH K T
FORECHECKER	F OW R CH EH K ER
FORECHECKERS	F OW R CH EH K ER Z
FORELOCKED	F OW R L AA K T
FORESPOKE	F OW R S P OW K
FORESPOKEN	F OW R S P OW K AH N
FORETOKEN	F OW R T OW K AH N
FORETOKENED	F OW R T OW K AH N D
FORETOKENING	F OW R T OW K AH N IH NG
FORETOKENS	F OW R T OW K AH N Z
FORKED	F AO R K T
FORKEDLY	F AO R K AH D L IY
FORKER	F AO R K ER
FORKERS	F AO R K ER Z
FORKLIKE	F AO R K L AY K
FORSAKE	F AO R S EY K
FORSAKEN	F AO R S EY K AH N
FORSAKER	F AO R S EY K ER
FORSAKERS	F AO R S EY K ER Z
FORSAKES	F AO R S EY K S
FORTRESSLIKE	F AO R T R AH S L AY K
FOSSICKED	F AA S AH K T
FOSSICKER	F AA S IH K AH R
FOSSICKERS	F AA S IH K AH R Z
FOXLIKE	F AA K S L AY K
FRANKED	F R AE NG K T
FRANKER	F R AE NG K ER
FRANKERS	F R AE NG K ER Z
FRANKEST	F R AE NG K AH S T
FREAKED	F R IY K T
FREETHINKER	F R IY TH IH NG K ER
FREETHINKERS	F R IY TH IH NG K ER Z
FRIEDCAKE	F R AY D K EY K
FRIEDCAKES	F R AY D K EY K S
FRIEZELIKE	F R IY Z L AY K
FRISKED	F R IH S K T
FRISKER	F R IH S AH R
FRISKERS	F R IH S AH R Z
FRISKET	F R IH S AH T
FRISKETS	F R IH S AH T S
FROCKED	F R AA K T
FROGLIKE	F R AA G L AY K
FROLICKED	F R AA L IH K T
FRUITCAKE	F R UW T K EY K
FRUITCAKES	F R UW T K EY K S
FUCKED	F AH K T
FUCKER	F AH K ER
FUCKERS	F AH K ER Z
FUMELIKE	F Y UW M L AY K
FUNKED	F AH NG K T
FUNKER	F AH NG K ER
FUNKERS	F AH NG K ER Z
FYKE	F AY K
FYKES	F AY K S
GADZOOKERIES	G AE D Z UH K AH R AY Z
GADZOOKERY	G AE D Z AH K EH R IY
GAMEKEEPER	G EY M K IY P ER
GAMEKEEPERS	G EY M K IY P ER S
GAMELIKE	G EY M L AY K
GARLICKED	G AA R L IH K T
GARPIKE	G AA R P AY K
GARPIKES	G AA R P AY K S
GASKET	G AE S K AH T
GASKETS	G AE S K AH T S
GATEKEEPER	G EY T K IY P ER
GATEKEEPERS	G EY T K IY P ER Z
GATEKEEPING	G EY T K IY P IH NG
GATELIKE	G EY T L AY K
GAUZELIKE	G AO Z L AY K
GAWKED	G AO K T
GAWKER	G AA K ER
GAWKERS	G AA K ER Z
GECKED	JH EH K T
GEDANKENEXPERIMENT	JH AH D AE NG K AH N EH K S EH R AH M AH N T
GEDANKENEXPERIMENTS	JH AH D AE NG K AH N AH K S EH R AH M AH N T S
GEMLIKE	JH EH M L AY K
GEMUTLICHKEIT	JH AH M AH T L AH CH IY T
GEMUTLICHKEITS	JH AH M AH T L AH CH IY T S
GENTLEMANLIKE	JH EH N T AH L M AE N L AY K
GENTLEMANLIKENESS	JH EH N T AH L M AE N L AY K N AH S
GENTLEMANLIKENESSES	JH EH N T AH L M AE N L AY K N AH S IH Z
GHOSTLIKE	G OW S T L AY K
GIANTLIKE	JH AY AH N T L AY K
GIMCRACKERIES	JH IH M K R AE K AH R AY Z
GIMCRACKERY	JH IH M K R AH K EH R IY
GIMMICKED	JH IH M AH K T
GLAIKET	G L EY K AH T
GLASSMAKER	G L AE S M EY K ER
GLASSMAKERS	G L AE S M EY K ER Z
GLASSWORKER	G L AE S W ER K ER
GLASSWORKERS	G L AE S W ER K ER Z
GLEEKED	G L IY K T
GLENLIKE	G L EH N L AY K
GLOCKENSPIEL	G L AA K AH N S P IY L
GLOCKENSPIELS	G L AA K AH N S IY L Z
GLUELIKE	G L UW L AY K
GNATLIKE	N AE T L AY K
GNOMELIKE	N OW M L AY K
GOADLIKE	G OW D L AY K
GOALKEEPER	G OW L K IY P ER
GOALKEEPERS	G OW L K IY P ER Z
GOATLIKE	G OW T L AY K
GOATSUCKER	G OW T S AH K ER
GOATSUCKERS	G OW T S AH K ER Z
GODFORSAKEN	G AA D F AO R S EY K AH N
GODLIKE	G AA D L AY K
GODLIKENESS	G AA D L AY K N AH S
GODLIKENESSES	G AA D L AY K N AH S IH Z
GOLDBRICKED	G OW L D B R IH K T
GONGLIKE	G AO NG L AY K
GOOSENECKED	G UW S N EH K T
GRANITELIKE	G R AE N AH T L AY K
GRAPELIKE	G R EY P L AY K
GRASSLIKE	G R AE S L AY K
GRAYWACKE	G R EY W AH K
GRAYWACKES	G R EY W AH K S
GREENBACKER	G R IY N B AE K ER
GREENBACKERS	G R IY N B AE K ER Z
GREENKEEPER	G R IY N K IY P ER
GREENKEEPERS	G R IY N K IY P ER Z
GREENSKEEPER	G R IY N Z K IY P ER
GREENSKEEPERS	G R IY N Z K IY P ER Z
GRIDDLECAKE	G R IH D L AH K EY K
GRIDDLECAKES	G R IH D L AH K EY K S
GRIDLOCKED	G R IH D L AA K T
GROUNDBREAKER	G R AW N D B R EY K ER
GROUNDBREAKERS	G R AW N D B R EY K ER Z
GROUNDSKEEPER	G R AW N D S K IY P ER
GROUNDSKEEPERS	G R AW N D S K IY P ER Z
GRUBSTAKE	G R AH B S T EY K
GRUBSTAKED	G R AH B S T EY K T
GRUBSTAKER	G R AH B S T EY K ER
GRUBSTAKERS	G R AH B S T EY K ER Z
GRUBSTAKES	G R AH B S T EY K S
GULFLIKE	G AH L F L AY K
GUMLIKE	G AH M L AY K
GUTBUCKET	G AH T B AH K AH T
GUTBUCKETS	G AH T B AH K AH T S
GUTLIKE	G AH T L AY K
HACKED	HH AE K T
HACKEE	HH AE K IY
HACKEES	HH AE K IY Z
HACKER	HH AE K ER
HACKERS	HH AE K ER Z
HAIRLIKE	HH EH R L AY K
HAKE	HH EY K
HAKEEM	HH AA K IY M
HAKEEMS	HH EY K IY M Z
HAKES	HH EY K S
HALLMARKED	HH AO L M AA R K T
HALOLIKE	HH EY L OW L AY K
HALTERBROKE	HH AO L T ER B R OW K
HALTERBROKEN	HH AO L T ER B R OW K AH N
HANDBASKET	HH AE N D B AE S K AH T
HANDBASKETS	HH AE N D B AE S K AH T S
HANDKERCHIEF	HH AE NG K ER CH IH F
HANDKERCHIEF(2)	HH AE NG K ER CH IY F
HANDKERCHIEFS	HH AE NG K ER CH AH F S
HANDKERCHIEFS(2)	HH AE NG K ER CH IY F S
HANDKERCHIEVES	HH AE N D K AH R CH IY V Z
HANDLIKE	HH AE N D L AY K
HANDPICKED	HH AE N D P IH K T
HANDSHAKE	HH AE N D SH EY K
HANDSHAKES	HH AE N D SH EY K S
HANDSPIKE	HH AE N D S P AY K
HANDSPIKES	HH AE N D S P AY K S
HANDWORKER	HH AE N D W ER K ER
HANDWORKERS	HH AE N D W ER K ER Z
HANKED	HH AE NG K T
HANKER	HH AE NG K ER
HANKERED	HH AE NG K ER D
HANKERER	HH AE NG K ER ER
HANKERERS	HH AE NG K ER ER Z
HANKERING	HH AE NG K ER IH NG
HANKERS	HH AE NG K ER Z
HARELIKE	HH EH R L AY K
HARKED	HH AA R K T
HARKEN	HH AA R K AH N
HARKENED	HH AA R K AH N D
HARKENER	HH AA R K AH N ER
HARKENERS	HH AA R K AH N ER Z
HARKENING	HH AA R K AH N IH NG
HARKENS	HH AA R K AH N Z
HATLIKE	HH AE T L AY K
HATMAKER	HH AE T M EY K ER
HATMAKERS	HH AE T M EY K ER Z
HAVOCKED	HH AE V AH K T
HAVOCKER	HH AE V AH K ER
HAVOCKERS	HH AE V AH K ER Z
HAWKED	HH AO K T
HAWKER	HH AO K ER
HAWKERS	HH AO K ER Z
HAWKEY	HH AO K IY
HAWKEYED	HH AO K AY D
HAWKEYS	HH AO K IY Z
HAWKLIKE	HH AO K L AY K
HAYMAKER	HH EY M EY K ER
HAYMAKERS	HH EY M EY K ER Z
HEADSHRINKER	HH EH D SH R IH NG K ER
HEADSHRINKERS	HH EH D SH R IH NG K ER Z
HEARKEN	HH IH ER K EH N
HEARKENED	HH IH ER K EH N D
HEARKENING	HH IH ER K EH N IH NG
HEARKENS	HH AA R K AH N Z
HEARTBREAKER	HH AA R T B R EY K ER
HEARTBREAKERS	HH AA R T B R EY K ER Z
HEARTBROKEN	HH AA R T B R OW K AH N
HEATHLIKE	HH IY TH L AY K
HEATSTROKE	HH IY T S T R OW K
HEATSTROKES	HH IY T S T R OW K S
HELMETLIKE	HH EH L M AH T L AY K
HEMPLIKE	HH EH M P L AY K
HENLIKE	HH EH N L AY K
HENPECKED	HH EH N P EH K T
HERBLIKE	ER B L AY K
HERDLIKE	HH ER D L AY K
HICKEY	HH IH K IY
HICKEYS	HH IH K EY Z
HIGHJACKED	HH AY JH AE K T
HIJACKED	HH AY JH AE K T
HIJACKER	HH AY JH AE K ER
HIJACKERS	HH AY JH AE K ER Z
HIKE	HH AY K
HIKED	HH AY K T
HIKER	HH AY K ER
HIKERS	HH AY K ER Z
HIKES	HH AY K S
HIPLIKE	HH IH P L AY K
HITCHHIKE	HH IH CH HH AY K
HITCHHIKED	HH IH CH HH AY K T
HITCHHIKER	HH IH CH HH AY K ER
HITCHHIKERS	HH IH CH HH AY K ER Z
HITCHHIKES	HH IH CH HH AY K S
HOBLIKE	HH AA B L AY K
HOCKED	HH AA K T
HOCKER	HH AA K ER
HOCKERS	HH AA K ER Z
HOCKEY	HH AA K IY
HOCKEYS	HH AA K IY Z
HOECAKE	HH OW K EY K
HOECAKES	HH OW K EY K S
HOELIKE	HH OW L AY K
HOGLIKE	HH AA G L AY K
HOICKED	HH OW IH K S T
HOKE	HH OW K
HOKED	HH OW K T
HOKES	HH OW K S
HOKEY	HH OW K IY
HOKEYNESS	HH OW K EY N AH S
HOKEYNESSES	HH OW K AH N EH S AH Z
HOKEYPOKEY	HH OW K AH P OW K IY
HOKEYPOKEYS	HH OW K AH P AH K EY Z
HOLIDAYMAKER	HH AA L AH D EY M EY K ER
HOLIDAYMAKERS	HH AA L AH D EY M EY K ER Z
HOLKED	HH AA K T
HOMELIKE	HH OW M L AY K
HOMEMAKER	HH OW M M EY K ER
HOMEMAKERS	HH OW M M EY K ER Z
HONKED	HH AO NG K T
HONKER	HH AO NG K AH R
HONKERS	HH AO NG K AH R Z
HONKEY	HH AO NG K IY
HONKEYS	HH AO NG K EY Z
HOODLIKE	HH UH D L AY K
HOODWINKED	HH UH D W IH NG K T
HOODWINKER	HH UH D W IH NG K ER
HOODWINKERS	HH UH D W IH NG K ER Z
HOOFLIKE	HH UW F L AY K
HOOKED	HH UH K T
HOOKER	HH UH K ER
HOOKERS	HH UH K ER Z
HOOKEY	HH UH K IY
HOOKEYS	HH AH K EY Z
HOOKLIKE	HH UH K L AY K
HOOPLIKE	HH UW P L AY K
HORMONELIKE	HH AO R M OW N L AY K
HORNLIKE	HH AO R N L AY K
HORSELIKE	HH AO R S L AY K
HOTCAKE	HH AA T K EY K
HOTCAKES	HH AA T K EY K S
HOUSEBREAKER	HH AW S B R EY K ER
HOUSEBREAKERS	HH AW S B R EY K ER Z
HOUSEBROKE	HH AW S B R OW K
HOUSEBROKEN	HH AW S B R OW K AH N
HOUSEKEEP	HH AW S K IY P
HOUSEKEEPER	HH AW S K IY P ER
HOUSEKEEPERS	HH AW S K IY P ER Z
HOUSEKEEPING	HH AW S K IY P IH NG
HOUSEKEEPINGS	HH AW S K IY P IH NG Z
HOUSEKEEPS	HH AW S K IY P S
HOUSEKEPT	HH AW S K EH P T
HOWKED	HH OW K T
HULKED	HH AH L K T
HUMANLIKE	HH Y UW M AH N L AY K
HUMMOCKED	HH AH M AH K T
HUMPBACKED	HH AH M P B AE K T
HUNCHBACKED	HH AH N CH B AE K T
HUNKER	HH AH NG K ER
HUNKERED	HH AH NG K ER D
HUNKERING	HH AH NG K ER IH NG
HUNKERS	HH AH NG K ER Z
HUSKED	HH AH S K T
HUSKER	HH AH S K ER
HUSKERS	HH AH S K ER Z
HUSKLIKE	HH AH S K L AY K
HUTLIKE	HH AH T L AY K
HYDROCRACKED	HH IH D R AA K R AH K T
HYDROCRACKER	HH IH D R AA K R AE K AH R
HYDROCRACKERS	HH IH D R AH K R AE K AH R Z
HYMNLIKE	HH IH M L AY K
HYPERKERATOSES	HH AY P AH R K EH R AH T OW Z AH Z
HYPERKERATOSIS	HH AY P AH R K AH R AH T OW S AH S
HYPERKERATOTIC	HH AY P AH R K EH R AH T AH T AH K
HYPERLINKED	HH AY P ER L IH NG K T
HYPERMARKET	HH AY P ER M AA R K IH T
HYPERMARKETS	HH AY P ER M AA R K IH T S
ICEBREAKER	AY S B R EY K ER
ICEBREAKERS	AY S B R EY K ER Z
ICELIKE	AY S L AY K
ICEMAKER	AY S M EY K ER
ICEMAKERS	AY S M EY K ER Z
ICKER	IH K AH R
ICKERS	IH K AH R Z
IKEBANA	AH K EH B AH N AH
IKEBANAS	AH K EH B AH N AH Z
IMBARKED	IH M B AA R K T
IMPARKED	IH M P AA R K T
INKED	IH NG K T
INKER	IH NG K ER
INKERS	IH NG K ER Z
INKLIKE	IH NG K L AY K
INNKEEPER	IH N K IY P ER
INNKEEPERS	IH N K IY P ER Z
INSTROKE	IH N S T R OW K
INSTROKES	IH N S T R OW K S
INTAKE	IH N T EY K
INTAKES	IH N T EY K S
INTERLINKED	IH N T ER L IH NG K T
INTERLOCKED	IH N T ER L AA K D
INTERWORKED	IH N T ER W ER K T
INVOKE	IH N V OW K
INVOKED	IH N V OW K T
INVOKER	IH N V OW K ER
INVOKERS	IH N V OW K ER Z
INVOKES	IH N V OW K S
IRKED	ER K T
IRONLIKE	AY ER N L AY K
IRONWORKER	AY ER N W ER K ER
IRONWORKERS	AY ER N W ER K ER Z
IVYLIKE	AY V IY L AY K
JACKED	JH AE K T
JACKER	JH AE K ER
JACKEROO	JH AE K AH R UW
JACKEROOS	JH AE K AH R UW Z
JACKERS	JH AE K ER Z
JACKET	JH AE K AH T
JACKET(2)	JH AE K IH T
JACKETED	JH AE K AH T IH D
JACKETING	JH AE K AH T IH NG
JACKETLESS	JH AE K AH T L AH S
JACKETS	JH AE K IH T S
JAKE	JH EY K
JAKES	JH EY K S
JAUKED	JH AO K T
JAWBREAKER	JH AO B R EY K ER
JAWBREAKERS	JH AO B R EY K ER Z
JAWLIKE	JH AO L AY K
JAYHAWKER	JH EY HH AO K ER
JAYHAWKERS	JH EY HH AO K ER Z
JAYWALKED	JH EY W AO K T
JAYWALKER	JH EY W AO K ER
JAYWALKERS	JH EY W AO K ER Z
JAZZLIKE	JH AE Z L AY K
JELLYLIKE	JH EH L IY L AY K
JERKED	JH ER K T
JERKER	JH ER K ER
JERKERS	JH ER K ER Z
JETLIKE	JH EH T L AY K
JEWELLIKE	JH UW AH L AY K
JINKED	JH IH NG K T
JINKER	JH IH NG K AH R
JINKERS	JH IH NG K AH R Z
JOCKETTE	JH AA K EH T
JOCKETTES	JH AA K EH T S
JOCKEY	JH AA K IY
JOCKEYED	JH AA K IY D
JOCKEYING	JH AA K IY IH NG
JOCKEYS	JH AA K IY Z
JOHNNYCAKE	JH AA N IY K EY K
JOHNNYCAKES	JH AA N IY K EY K S
JOKE	JH OW K
JOKED	JH OW K T
JOKER	JH OW K ER
JOKERS	JH OW K ER Z
JOKES	JH OW K S
JOKESTER	JH OW K S T ER
JOKESTERS	JH OW K S T ER Z
JOKEY	JH OW K IY
JOUKED	JH AW K T
JUKE	JH UW K
JUKEBOX	JH UW K B AA K S
JUKEBOXES	JH UW K B AA K S IH Z
JUKED	JH UW K T
JUKES	JH UW K S
JUNGLELIKE	JH AH NG G AH L AY K
JUNKED	JH AH NG K T
JUNKER	JH AH NG K ER
JUNKERS	JH AH NG K ER Z
JUNKET	JH AH NG K IH T
JUNKETED	JH AH NG K IY T AH D
JUNKETEER	JH AH NG K AH T IH R
JUNKETEERS	JH AH NG K IY T AH R Z
JUNKETER	JH AH NG K IY T AH R
JUNKETERS	JH AH NG K AH T AH R Z
JUNKETING	JH AH NG K IY T AH NG
JUNKETS	JH AH NG K IH T S
KAKEMONO	K AH K EH M AH N OW
KAKEMONOS	K AH K EH M AH N AH Z
KARAOKE	K EH R IY OW K IY
KARAOKES	K AE R EY OW K S
KAYAKED	K EY EY K T
KAYAKER	K AY AE K ER
KAYAKERS	K AY AE K ER Z
KEA	K IY
KEAS	K IY Z
KEBAB	K AH B AA B
KEBABS	K EH B AH B Z
KEBAR	K IY B AH R
KEBARS	K EH B AH R Z
KEBBIE	K EH B AY
KEBBIES	K EH B AY Z
KEBBOCK	K EH B AH K
KEBBOCKS	K EH B AH K S
KEBBUCK	K EH B AH K
KEBBUCKS	K EH B AH K S
KEBLAH	K EH B L AH
KEBLAHS	K EH B L AH Z
KEBOB	K AH B AA B
KEBOBS	K AH B AA B Z
KECK	K EH K
KECKED	K EH K T
KECKING	K EH K AH NG
KECKLE	K EH K AH L
KECKLED	K EH K AH L D
KECKLES	K EH K AH L Z
KECKLING	K EH K L AH NG
KECKS	K EH K S
KEDDAH	K EH D AH
KEDDAHS	K EH D AH Z
KEDGE	K EH JH
KEDGED	K EH JH D
KEDGEREE	K EH JH AH R IY IY
KEDGEREES	K EH JH AH R IY Z
KEDGES	K EH JH AH Z
KEDGING	K EH JH AH NG
KEEF	K IY F
KEEFS	K IY F S
KEEK	K IY K
KEEKED	K IY K T
KEEKING	K IY K AH NG
KEEKS	K IY K S
KEEL	K IY L
KEELAGE	K IY L IH JH
KEELAGES	K IY L IH JH IH Z
KEELBOAT	K IY L B OW T
KEELBOATS	K IY L B OW T S
KEELED	K IY L D
KEELHALE	K IY L HH EY L
KEELHALED	K IY L HH EY L D
KEELHALES	K IY L HH EY L Z
KEELHALING	K IY L HH EY L IH NG
KEELHAUL	K IY L HH AO L
KEELHAULED	K IY L HH AO L D
KEELHAULING	K IY L HH AO L IH NG
KEELHAULS	K IY L HH AO L Z
KEELING	K IY L IH NG
KEELLESS	K IY L AH S
KEELS	K IY L Z
KEELSON	K EH L S AH N
KEELSONS	K EH L S AH N Z
KEEN	K IY N
KEENED	K IY N D
KEENER	K IY N ER
KEENERS	K IY N ER Z
KEENEST	K IY N AH S T
KEENING	K IY N IH NG
KEENLY	K IY N L IY
KEENNESS	K IY N AH S
KEENNESSES	K IY N AH S IH Z
KEENS	K IY N Z
KEEP	K IY P
KEEPABLE	K IY P AH B AH L
KEEPER	K IY P ER
KEEPERS	K IY P ER Z
KEEPING	K IY P IH NG
KEEPINGS	K IY P IH NG Z
KEEPS	K IY P S
KEEPSAKE	K IY P S EY K
KEEPSAKES	K IY P S EY K S
KEESHOND	K IY SH AH N D
KEESHONDEN	K IY SH AA N D AH N
KEESHONDS	K IY SH AH N D Z
KEESTER	K IY EH S T AH R
KEESTERS	K IY S T AH R Z
KEET	K IY T
KEETS	K IY T S
KEEVE	K IY V
KEEVES	K IY V Z
KEF	K EH F
KEFFIYEH	K EH F IY AY
KEFFIYEHS	K EH F IY AY AH Z
KEFIR	K EH F AH R
KEFIRS	K EH F AH R Z
KEFS	K EH F S
KEG	K EH G
KEGELER	K AH JH IY L AH R
KEGELERS	K EH JH AH L AH R Z
KEGLER	K EH G L ER
KEGLERS	K EH G L AH R Z
KEGLING	K EH G L IH NG
KEGLINGS	K EH G L IH NG Z
KEGS	K EH G Z
KEIR	K IY R
KEIRS	K IY R Z
KEISTER	K IY IH S T ER
KEISTERS	K IY S T ER Z
KEITLOA	K IY T L OW AH
KEITLOAS	K IY T L OW Z
KELEP	K EH L AH P
KELEPS	K EH L AH P S
KELIM	K EH L AH M
KELIMS	K EH L AH M Z
KELLIES	K EH L AY Z
KELLY	K EH L IY
KELOID	K IY L OY D
KELOIDAL	K AH L OY D AH L
KELOIDS	K AH L OY D Z
KELP	K EH L P
KELPED	K EH L P T
KELPIE	K EH L P IY
KELPIES	K EH L P IY Z
KELPING	K EH L P IH NG
KELPS	K EH L P S
KELPY	K EH L P IY
KELSON	K EH L S AH N
KELSONS	K EH L S AH N Z
KELTER	K EH L T ER
KELTERS	K EH L T AH R Z
KELVIN	K EH L V AH N
KELVIN(2)	K EH L V IH N
KELVINS	K EH L V AH N Z
KEMP	K EH M P
KEMPS	K EH M P S
KEMPT	K EH M P T
KEN	K EH N
KENAF	K EH N AE F
KENAFS	K EH N AH F S
KENCH	K EH N CH
KENCHES	K EH N CH AH Z
KENDO	K EH N D UW
KENDOS	K EH N D UW Z
KENNED	K EH N D
KENNEL	K EH N AH L
KENNELED	K EH N AH L D
KENNELING	K EH N AH L IH NG
KENNELLED	K EH N AH L D
KENNELLING	K EH N AH L IH NG
KENNELS	K EH N AH L Z
KENNING	K EH N IH NG
KENNINGS	K EH N IH NG Z
KENO	K IY N OW
KENOS	K IY N OW Z
KENOSIS	K EH N AA S IY Z
KENOSISES	K EH N AA S IY Z IH Z
KENOTIC	K EH N AH T AH K
KENOTRON	K AH N AA T R AH N
KENOTRONS	K AH N AA T R AH N Z
KENS	K EH N Z
KENSPECKLE	K EH N S P EH K AH L
KENT	K EH N T
KENTLEDGE	K EH N T L AH JH
KENTLEDGES	K EH N T L EH JH AH Z
KEP	K EH P
KEPHALIN	K EH F AH L AH N
KEPHALINS	K EH F AH L AH N Z
KEPI	K EH P IY
KEPIS	K IY P AH S
KEPPED	K EH P T
KEPPEN	K EH P AH N
KEPPING	K EH P AH NG
KEPS	K EH P S
