KI	K IY
JERKINESSES	JH ER K IY N AH S IH Z
JERKING	JH ER K IH NG
JERKINS	JH ER K IH N Z
JINKING	JH IH NG K AH NG
JINRIKISHA	JH IH N R IH K AH SH AH
JINRIKISHAS	JH IH N R IH K AH SH AH Z
JOKIER	JH OW K IY ER
JOKIEST	JH OW K IY AH S T
JOKILY	JH OW K IY L IY
JOKINESS	JH OW K IY N AH S
JOKINESSES	JH OW K IY N AH S IH Z
JOKING	JH OW K IH NG
JOKINGLY	JH OW K IH NG L IY
JOUKING	JH AW K AH NG
JUKING	JH UW K IH NG
JUNKIE	JH AH NG K IY
JUNKIER	JH AH NG K IY ER
JUNKIES	JH AH NG K IY Z
JUNKIEST	JH AH NG K IY AH S T
JUNKING	JH AH NG K IH NG
KABIKI	K AE B AH K IY
KABIKIS	K AE B AH K AH S
KABUKI	K AH B UW K IY
KABUKIS	K AE B Y UW K AH S
KAKI	K AE K IY
KAKIEMON	K EY K IY M AH N
KAKIEMONS	K EY K IY M AH N Z
KAKIS	K EY K AH S
KARYOKINESES	K AH R AY AA K AH N IY Z AH Z
KARYOKINESIS	K AE R AY AH K AY N AH S AH S
KARYOKINETIC	K AE R AY AA K AH N AH T AH K
KAYAKING	K AY AE K IH NG
KAYAKINGS	K EY AH K AH NG Z
KAZACHKI	K AH Z AE CH IY
KAZATSKI	K AH Z AE T S IY
KAZATSKIES	K AH Z AE T S AY Z
KECKING	K EH K AH NG
KEEKING	K IY K AH NG
KERPLUNKING	K AH R P L AH NG K AH NG
KEYSTROKING	K IY S T R OW K IH NG
KHAKI	K AA K IY
KHAKI(2)	K AE K IY
KHAKIS	K AE K IY Z
KIANG	K AY AH NG
KIANGS	K AY AH NG Z
KIAUGH	K AY AH UW
KIAUGHS	K AY AH AH Z
KIBBE	K IH B
KIBBEH	K IH B
KIBBEHS	K IH B AH Z
KIBBES	K IH B Z
KIBBI	K IH B IY
KIBBIS	K IH B AH S
KIBBITZ	K IH B AH T S
KIBBITZED	K IH B AH T S T
KIBBITZER	K IH B IH T S AH R
KIBBITZERS	K IH B IH T S AH R Z
KIBBITZES	K IH B IH T S AH Z
KIBBITZING	K IH B IH T S AH NG
KIBBLE	K IH B AH L
KIBBLED	K IH B AH L D
KIBBLES	K IH B AH L Z
KIBBLING	K IH B L AH NG
KIBBUTZ	K IH B UH T S
KIBBUTZIM	K IH B UH T S IH M
KIBBUTZNIK	K IH B AH T S N AH K
KIBBUTZNIKS	K IH B UH T S N IH K S
KIBE	K AY B
KIBEI	K IH B IY
KIBEIS	K AY B IY AH S
KIBES	K AY B Z
KIBITZ	K IH B AH T S
KIBITZED	K IH B AH T S T
KIBITZER	K AH B IH T S AH R
KIBITZERS	K AH B IH T S AH R Z
KIBITZES	K AH B IH T S AH Z
KIBITZING	K AH B IH T S AH NG
KIBLA	K IH B L AH
KIBLAH	K IH B L AH
KIBLAHS	K IH B L AH Z
KIBLAS	K IH B L AH Z
KIBOSH	K IH B AH SH
KIBOSHED	K IH B AH SH T
KIBOSHES	K IH B AH SH AH Z
KIBOSHING	K IH B AH SH AH NG
KICK	K IH K
KICKABLE	K IH K AH B AH L
KICKBACK	K IH K B AE K
KICKBACKS	K IH K B AE K S
KICKBALL	K IH K B AO L
KICKBALLS	K IH K B AO L Z
KICKBOARD	K IH K B OW R D
KICKBOARDS	K IH K B OW R D Z
KICKBOXER	K IH K B AA K S ER
KICKBOXERS	K IH K B AA K S ER Z
KICKBOXING	K IH K B AA K S IH NG
KICKBOXINGS	K IH K B AA K S IH NG Z
KICKED	K IH K T
KICKER	K IH K ER
KICKERS	K IH K ER Z
KICKIER	K IH K IY ER
KICKIEST	K IH K IY AH S T
KICKING	K IH K IH NG
KICKOFF	K IH K AO F
KICKOFFS	K IH K AO F S
KICKS	K IH K S
KICKSHAW	K IH K SH AO
KICKSHAWS	K IH K SH AO Z
KICKSTAND	K IH K S T AE N D
KICKSTANDS	K IH K S T AE N D Z
KICKSTART	K IH K S T AA R T
KICKSTARTED	K IH K S T AA R T IH D
KICKSTARTING	K IH K S T AA R T IH NG
KICKSTARTS	K IH K S T AA R T S
KICKUP	K IH K AH P
KICKUPS	K IH K AH P S
KICKY	K IH K IY
KID	K IH D
KIDDED	K IH D IH D
KIDDER	K IH D ER
KIDDERS	K IH D ER Z
KIDDIE	K IH D IY
KIDDIES	K IH D IY Z
KIDDING	K IH D IH NG
KIDDINGLY	K IH D IH NG L IY
KIDDISH	K IH D IH SH
KIDDO	K IH D UW
KIDDOES	K IH D OW Z
KIDDOS	K IH D UW Z
KIDDUSH	K IH D AH SH
KIDDUSHES	K IH D AH SH AH Z
KIDDUSHIM	K IH D AH SH AH M
KIDDY	K IH D IY
KIDLIKE	K IH D L AY K
KIDNAP	K IH D N AE P
KIDNAPED	K IH D N AE P T
KIDNAPEE	K IH D N AE P IY
KIDNAPEES	K IH D N AE P IY Z
KIDNAPER	K IH D N AE P ER
KIDNAPERS	K IH D N AE P ER Z
KIDNAPING	K IH D N AE P IH NG
KIDNAPPED	K IH D N AE P T
KIDNAPPEE	K IH D N AE P IY
KIDNAPPEES	K IH D N AE P IY Z
KIDNAPPER	K IH D N AE P ER
KIDNAPPERS	K IH D N AE P ER Z
KIDNAPPING	K IH D N AE P IH NG
KIDNAPS	K IH D N AE P S
KIDNEY	K IH D N IY
KIDNEYS	K IH D N IY Z
KIDS	K IH D Z
KIDSKIN	K IH D S K IH N
KIDSKINS	K IH D S K IH N Z
KIDVID	K IH D AH D
KIDVIDS	K IH D AH D Z
KIEF	K IY F
KIEFS	K IY F S
KIELBASA	K IY L B AA S AH
KIELBASAS	K IY L B AH S AH Z
KIELBASI	K IY L B AH S IY
KIELBASY	K IY L B AH Z IY
KIER	K IH R
KIERS	K IY R Z
KIESELGUHR	K IY S EH L G AH R
KIESELGUHRS	K IY S EH L G AH R Z
KIESERITE	K IY S AH R AY T
KIESERITES	K IY S AH R AY T S
KIESTER	K AY IH S T ER
KIESTERS	K IY S T AH R Z
KIF	K IH F
KIFS	K IH F S
KIKE	K AY K
KIKES	K AY K S
KILDERKIN	K IH L D AH R K AH N
KILDERKINS	K IH L D AH R K AH N Z
KILIM	K IH L AH M
KILIMS	K IH L AH M Z
KILL	K IH L
KILLDEE	K IH L D IY IY
KILLDEER	K IH L D IH ER
KILLDEERS	K IH L D IH ER Z
KILLDEES	K IH L D IY Z
KILLED	K IH L D
KILLER	K IH L ER
KILLERS	K IH L ER Z
KILLICK	K IH L AH K
KILLICKS	K IH L AH K S
KILLIE	K IH L IY
KILLIES	K IH L IY Z
KILLIFISH	K IH L IH F IH SH
KILLIFISHES	K IH L IH F AH SH AH Z
KILLING	K IH L IH NG
KILLINGLY	K IH L IH NG L IY
KILLINGS	K IH L IH NG Z
KILLJOY	K IH L JH OY
KILLJOYS	K IH L JH OY Z
KILLOCK	K IH L AH K
KILLOCKS	K IH L AH K S
KILLS	K IH L Z
KILN	K IH L N
KILNED	K IH L N D
KILNING	K IH L N AH NG
KILNS	K IH L N Z
KILO	K IH L OW
KILOBAR	K IH L AH B AA R
KILOBARS	K IH L AH B AA R Z
KILOBASE	K IH L AH B EY S
KILOBASES	K IH L AH B EY S IH Z
KILOBAUD	K IH L AH B AH D
KILOBAUDS	K IH L AH B AH D Z
KILOBIT	K IH L AH B IH T
KILOBITS	K IH L AH B IH T S
KILOBYTE	K IH L OW B AY T
KILOBYTES	K IH L OW B AY T S
KILOCALORIE	K IH L AH K AE L AH R IY
KILOCALORIES	K IH L AH K AE L AH R IY Z
KILOCYCLE	K IH L AH S AY K AH L
KILOCYCLES	K IH L AH S AY K AH L Z
KILOGAUSS	K IH L AH G AW S
KILOGAUSSES	K IH L AH G AW S IH Z
KILOGRAM	K IH L AH G R AE M
KILOGRAMS	K IH L AH G R AE M Z
KILOHERTZ	K IH L AH HH AH R T S
KILOJOULE	K AH L AA JH OW UW L
KILOJOULES	K AH L AA JH OW AH L Z
KILOLITER	K IH L AH L IY T ER
KILOLITERS	K IH L AH L IY T ER Z
KILOMETER	K AH L AA M AH T ER
KILOMETER(2)	K IH L AH M IY T ER
KILOMETERS	K AH L AA M AH T ER Z
KILOMETERS(2)	K IH L AH M IY T ER Z
KILOMOLE	K IH L AH M OW L
KILOMOLES	K IH L AH M OW L Z
KILOPARSEC	K IH L AH P AA R S AH K
KILOPARSECS	K IH L AH P AA R S AH K S
KILOPASCAL	K IH L AH P AE S AH L
KILOPASCALS	K IH L AH P AE S AH L Z
KILORAD	K IH L AH R AH D
KILORADS	K IH L AH R AH D Z
KILOS	K IY L OW Z
KILOTON	K IH L AH T AH N
KILOTONS	K IH L AH T AH N Z
KILOVOLT	K IH L AH V OW L T
KILOVOLTS	K IH L AH V OW L T S
KILOWATT	K IH L AH W AA T
KILOWATTS	K IH L AH W AA T S
KILT	K IH L T
KILTED	K IH L T IH D
KILTER	K IH L T ER
KILTERS	K IH L T ER Z
KILTIE	K IH L T IY
KILTIES	K IH L T IY Z
KILTING	K IH L T IH NG
KILTINGS	K IH L T IH NG Z
KILTS	K IH L T S
KILTY	K IH L T IY
KIMBERLITE	K IH M B AH R L AY T
KIMBERLITES	K IH M B AH R L AY T S
KIMCHEE	K IH M CH IY
KIMCHEES	K IH M CH IY Z
KIMCHI	K IH M CH IY
KIMCHIS	K IH M CH AH S
KIMONO	K AH M OW N AH
KIMONOED	K AH M OW N AH D
KIMONOS	K AH M OW N AH Z
KIN	K IH N
KINA	K IH N AH
KINAS	K IH N AH Z
KINASE	K AH N EY Z
KINASES	K AH N EY Z AH Z
KIND	K AY N D
KINDER	K AY N D ER
KINDERGARTEN	K IH N D ER G AA R T AH N
KINDERGARTENER	K IH N D ER G AA R T AH N ER
KINDERGARTENERS	K IH N D ER G AA R T AH N ER Z
KINDERGARTENS	K IH N D ER G AA R T AH N Z
KINDERGARTNER	K IH N D ER G AA R T N ER
KINDERGARTNERS	K IH N D ER G AA R T N ER Z
KINDEST	K AY N D AH S T
KINDHEARTED	K AY N D HH AA R T IH D
KINDHEARTEDLY	K AY N D HH AA R T AH D L IY
KINDHEARTEDNESS	K AY N D HH AA R T AH D N AH S
KINDHEARTEDNESSES	K AY N D HH AA R T AH D N AH S IH Z
KINDLE	K IH N D AH L
KINDLED	K IH N D AH L D
KINDLER	K IH N D AH L ER
KINDLER(2)	K IH N D L ER
KINDLERS	K IH N D AH L ER Z
KINDLES	K IH N D AH L Z
KINDLESS	K AY N D L AH S
KINDLESSLY	K AY N D L AH S L IY
KINDLIER	K AY N D L IY ER
KINDLIEST	K AY N D L IY AH S T
KINDLINESS	K AY N D L IY N AH S
KINDLINESSES	K AY N D L IY N AH S IH Z
KINDLING	K IH N D L IH NG
KINDLINGS	K AY N D L IH NG Z
KINDLY	K AY N D L IY
KINDNESS	K AY N D N AH S
KINDNESSES	K AY N D N AH S IH Z
KINDRED	K IH N D R IH D
KINDREDS	K IH N D R AH D Z
KINDS	K AY N D Z
KINDS(2)	K AY N Z
KINE	K AY N
KINEMA	K IH N AH M AH
KINEMAS	K IH N AH M AH Z
KINEMATIC	K IH N IH M EY T IH K
KINEMATICAL	K IH N IH M EY T IH K AH L
KINEMATICALLY	K IH N IH M EY T IH K AH L AY
KINEMATICS	K IH N IH M EY T IH K S
KINES	K AY N Z
KINESCOPE	K IH N AH S OW P
KINESCOPED	K IH N AH S OW P T
KINESCOPES	K IH N AH S OW P S
KINESCOPING	K IH N AH S OW P AH NG
KINESES	K AH N IY Z AH Z
KINESIC	K AY N Z AH K
KINESICS	K IH N AH Z AH S Z
KINESIOLOGIES	K AH N AH S IY AA L AH JH AY Z
KINESIOLOGY	K IH N IH S IY AA L AH JH IY
KINESIS	K AY N AH S AH S
KINESTHESES	K IH N AH S TH IY Z AH Z
KINESTHESIA	K IH N AH S TH IY ZH IY AH
KINESTHESIAS	K IH N AH S TH IY S IY AH Z
KINESTHESIS	K AH N EH S DH AH S AH S
KINESTHETIC	K IH N AH S TH EH T IH K
KINESTHETICALLY	K IH N AH S TH EH T IH K AH L IY
KINETIC	K AH N EH T IH K
KINETIC(2)	K IH N EH T IH K
KINETICALLY	K AH N EH T IH K AH L IY
KINETICIST	K AH N EH T IH K IH S T
KINETICISTS	K AH N EH T IH K IH S T S
KINETICS	K AH N EH T IH K S
KINETIN	K IH N AH T AH N
KINETINS	K IH N AH T AH N Z
KINETOCHORE	K AH N EH T AH CH AH R
KINETOCHORES	K AH N EH T AH CH AH R Z
KINETOPLAST	K IH N AH T AA P L AH S T
KINETOPLASTS	K IH N AH T AA P L AH S T S
KINETOSCOPE	K AH N EH T AH S OW P
KINETOSCOPES	K AH N EH T AH S OW P S
KINETOSOME	K AH N EH T AH S AH M
KINETOSOMES	K AH N EH T AH S AH M Z
KINFOLK	K IH N F OW K
KINFOLKS	K IH N F OW K S
KING	K IH NG
KINGBIRD	K IH NG B ER D
KINGBIRDS	K IH NG B ER D Z
KINGBOLT	K IH NG B OW L T
KINGBOLTS	K IH NG B OW L T S
KINGCRAFT	K IH NG K R AE F T
KINGCRAFTS	K IH NG K R AE F T S
KINGCUP	K IH NG K AH P
KINGCUPS	K IH NG K AH P S
KINGDOM	K IH NG D AH M
KINGDOMS	K IH NG D AH M Z
KINGED	K IH NG D
KINGFISH	K IH NG F IH SH
KINGFISHER	K IH NG F IH SH ER
KINGFISHERS	K IH NG F IH SH ER Z
KINGFISHES	K IH NG F IH SH IH Z
KINGHOOD	K IH NG HH UH D
KINGHOODS	K IH NG HH UH D Z
KINGING	K IH NG IH NG
KINGLESS	K IH NG L AH S
KINGLET	K IH NG L AH T
KINGLETS	K IH NG L AH T S
KINGLIER	K IH NG L IY ER
KINGLIEST	K IH NG L IY AH S T
KINGLIKE	K IH NG L AY K
KINGLINESS	K IH NG L IY N AH S
KINGLINESSES	K IH NG L IY N AH S IH Z
KINGLY	K IH NG L IY
KINGMAKER	K IH NG M EY K ER
KINGMAKERS	K IH NG M EY K ER Z
KINGPIN	K IH NG P IH N
KINGPINS	K IH NG P IH N Z
KINGPOST	K IH NG P OW S T
KINGPOSTS	K IH NG P OW S T S
KINGS	K IH NG Z
KINGSHIP	K IH NG SH IH P
KINGSHIPS	K IH NG SH IH P S
KINGSIDE	K IH NG S AY D
KINGSIDES	K IH NG S AY D Z
KINGWOOD	K IH NG W UH D
KINGWOODS	K IH NG W UH D Z
KININ	K IH N IH N
KININS	K IH N IH N Z
KINK	K IH NG K
KINKAJOU	K IH NG K AH JH UW
KINKAJOUS	K IH NG K AH JH AH S
KINKED	K IH NG K T
KINKIER	K IH NG K AY AH R
KINKIEST	K IH NG K AY AH S T
KINKILY	K IH NG K AH L IY
KINKINESS	K IH N K IH N AH S
KINKINESSES	K IH N K IH N AH S IH Z
KINKING	K IH N K IH NG
KINKS	K IH NG K S
KINKY	K IH NG K IY
KINNIKINNICK	K IH N AH K IH N AH K
KINNIKINNICKS	K IH N AH K IH N AH K S
KINO	K IH N OW
KINOS	K IH N AA S
KINS	K IH N Z
KINSFOLK	K IH N Z F OW K
KINSHIP	K IH N SH IH P
KINSHIPS	K IH N SH IH P S
KINSMAN	K IH N Z M AE N
KINSMEN	K IH N Z M EH N
KINSWOMAN	K IH N Z W UH M AH N
KINSWOMEN	K IH N Z W IH M AH N
KIOSK	K IY AO S K
KIOSKS	K IY AO S K S
KIP	K IH P
KIPPED	K IH P T
KIPPEN	K IH P AH N
KIPPER	K IH P ER
KIPPERED	K IH P IY R D
KIPPERER	K IH P IY R AH R
KIPPERERS	K IH P AH R AH R Z
KIPPERING	K IH P IY R AH NG
KIPPERS	K IH P ER Z
KIPPING	K IH P AH NG
KIPS	K IH P S
KIPSKIN	K IH P S AH N
KIPSKINS	K IH P S AH N Z
KIR	K IH R
KIRIGAMI	K AH R IH G AH M IY
KIRIGAMIS	K AH R IH G AH M AH S
KIRK	K ER K
KIRKMAN	K ER K M AH N
KIRKMEN	K AH R K M AH N
KIRKS	K ER K S
KIRMESS	K AH R M AH S
KIRMESSES	K AH R M EH S AH Z
KIRN	K ER N
KIRNED	K AH R N D
KIRNING	K AH R N AH NG
KIRNS	K AH R N Z
KIRS	K IH R Z
KIRSCH	K ER SH
KIRSCHES	K AH R S
KIRTLE	K AH R T AH L
KIRTLED	K AH R T AH L D
KIRTLES	K AH R T AH L Z
KISHKA	K IH SH AH
KISHKAS	K IH SH AH Z
KISHKE	K IH SH
KISHKES	K IH SH S
KISMAT	K IH Z M AH T
KISMATS	K IH Z M EY T S
KISMET	K IH Z M IH T
KISMETIC	K IH Z M AH T AH K
KISMETS	K IH Z M IH T S
KISS	K IH S
KISSABLE	K IH S AH B AH L
KISSABLY	K IH S AH B L IY
KISSED	K IH S T
KISSER	K IH S ER
KISSERS	K IH S ER Z
KISSES	K IH S AH Z
KISSES(2)	K IH S IH Z
KISSING	K IH S IH NG
KISSY	K IH S IY
KIST	K IH S T
KISTFUL	K IH S T AH L
KISTFULS	K IH S T Y AH L Z
KISTS	K IH S T S
KIT	K IH T
KITCHEN	K IH CH AH N
KITCHENETTE	K IH CH AH N EH T
KITCHENETTES	K IH CH AH N EH T S
KITCHENS	K IH CH AH N Z
KITCHENWARE	K IH CH AH N W EH R
KITCHENWARES	K IH CH AH N W EH R Z
KITE	K AY T
KITED	K AY T IH D
KITELIKE	K AY T L AY K
KITER	K AY T ER
KITERS	K AY T ER Z
KITES	K AY T S
KITH	K IH TH
KITHARA	K IH TH AH R AH
KITHARAS	K IH TH AH R AH Z
KITHE	K AY DH
KITHED	K IH DH D
KITHES	K IH DH Z
KITHING	K IH DH AH NG
KITHS	K IH TH S
KITING	K AY T IH NG
KITLING	K IH T L IH NG
KITLINGS	K IH T L IH NG Z
KITS	K IH T S
KITSCH	K IH CH
KITSCHES	K IH T S
KITSCHY	K IH T S IY
KITTED	K IH T IH D
KITTEL	K IH T AH L
KITTEN	K IH T AH N
KITTENED	K IH T AH N D
KITTENING	K IH T AH N IH NG
KITTENISH	K IH T AH N IH SH
KITTENISHLY	K IH T AH N IH SH L IY
KITTENISHNESS	K IH T AH N IH SH N AH S
KITTENISHNESSES	K IH T AH N IH SH N AH S IH Z
KITTENS	K IH T AH N Z
KITTIES	K IH T IY Z
KITTING	K IH T IH NG
KITTIWAKE	K IH T IH W EY K
KITTIWAKES	K IH T AH W EY K S
KITTLE	K IH T AH L
KITTLED	K IH T AH L D
KITTLER	K IH T AH L ER
KITTLES	K IH T AH L Z
KITTLEST	K IH T AH L AH S T
KITTLING	K IH T AH L IH NG
KITTY	K IH T IY
KIVA	K IH V AH
KIVAS	K IH V AH Z
KIWI	K IY W IY
KIWIFRUIT	K IH W AH F R UW T
KIWIFRUITS	K IH W AH F R UW T S
KIWIS	K IY W IY Z
KNACKING	N AE K IH NG
KNOCKING	N AA K IH NG
KOLINSKI	K AH L IH N S K IY
KOLINSKIES	K AH L IH N S AY Z
KOLKHOZNIKI	K OW L K AA Z N AH K IY
KONKING	K AO NG K AH NG
KOOKIE	K UH K AY
KOOKIER	K UH K AY AH R
KOOKIEST	K UH K AY AH S T
KOOKINESS	K UH K AH N AH S
KOOKINESSES	K UH K AH N EH S AH Z
KULAKI	K Y UW L AH K IY
LACKING	L AE K IH NG
LADYKIN	L EY D IY K IH N
LADYKINS	L EY D IY K IH N Z
LAKIER	L EY K IY ER
LAKIEST	L EY K IY AH S T
LAKING	L EY K IH NG
LAKINGS	L EY K IH NG Z
LAMBKILL	L AE M K IH L
LAMBKILLS	L AE M K IH L Z
LAMBKIN	L AE M K IH N
LAMBKINS	L AE M K IH N Z
LAMBSKIN	L AE M S K IH N
LAMBSKINS	L AE M S K IH N Z
LANDSKIP	L AE N D S K IH P
LANDSKIPS	L AE N D S K IH P S
LANKIER	L AE NG K IY ER
LANKIEST	L AE NG K IY AH S T
LANKILY	L AE NG K IY L IY
LANKINESS	L AE NG K IY N AH S
LANKINESSES	L AE NG K IY N AH S IH Z
LARKIER	L AA R K IY ER
LARKIEST	L AA R K IY AH S T
LARKINESS	L AA R K IY N AH S
LARKINESSES	L AA R K IY N AH S IH Z
LARKING	L AA R K IH NG
LARKISH	L AA R K IH SH
LARRIKIN	L AE R AH K AH N
LARRIKINS	L AE R AH K AH N Z
LATAKIA	L AH T EY K IY AH
LATAKIAS	L AH T EY K IY AH Z
LAWBREAKING	L AO B R EY K IH NG
LAWBREAKINGS	L AO B R EY K IH NG Z
LAWMAKING	L AO M EY K IH NG
LAWMAKINGS	L AO M EY K IH NG Z
LEAKIER	L IY K IY ER
LEAKIEST	L IY K IY AH S T
LEAKILY	L IY K IY L IY
LEAKINESS	L IY K IY N AH S
LEAKINESSES	L IY K IY N AH S IH Z
LEAKING	L IY K IH NG
LEUKOPLAKIA	L UW K AH P L EY K IY AH
LEUKOPLAKIAS	L UW K AH P L EY K IY AH Z
LEUKOPLAKIC	L UW K AA P L AH K AH K
LICKING	L IH K IH NG
LICKINGS	L IH K IH NG Z
LIKING	L AY K IH NG
LIKINGS	L AY K IH NG Z
LIMEKILN	L IH M AH K AH L N
LIMEKILNS	L IH M AH K AH L N Z
LIMPKIN	L IH M P K IH N
LIMPKINS	L IH M P K IH N Z
LINEBACKING	L AY N B AE K IH NG
LINEBACKINGS	L AY N B AE K IH NG Z
LINKING	L IH NG K IH NG
LOCKING	L AA K IH NG
LOOKING	L UH K IH NG
LOVEMAKING	L AH V M EY K IH NG
LOVEMAKINGS	L AH V M EY K IH NG Z
LUCKIE	L AH K IY
LUCKIER	L AH K IY ER
LUCKIES	L UW S IY Z
LUCKIEST	L AH K IY AH S T
LUCKILY	L AH K AH L IY
LUCKINESS	L UW S IY N AH S
LUCKINESSES	L UW S IY N AH S IH Z
LUCKING	L AH K IH NG
LURKING	L ER K IH NG
LYMPHOKINE	L IH M F AH K AY N
LYMPHOKINES	L IH M F AH K AY N Z
MACKINAW	M AE K AH N AO
MACKINAWS	M AE K AH N AO Z
MACKINTOSH	M AE K AH N T AA SH
MACKINTOSHES	M AE K AH N T AA SH IH Z
MAFFICKING	M AE F IH K AH NG
MAGICKING	M AE JH IH K IH NG
MAKIMONO	M AH K IH M AH N OW
MAKIMONOS	M AH K IH M AH N AH Z
MAKING	M EY K IH NG
MAKINGS	M EY K IH NG Z
MALARKIES	M AH L AA R K AY Z
MALKIN	M AE L K IH N
MALKINS	M AE L K IH N Z
MAMMOCKING	M AE M AA K AH NG
MANAKIN	M AA N AH K IH N
MANAKINS	M AA N AH K IH N Z
MANIKIN	M AE N IH K AH N
MANIKINS	M AE N IH K AH N Z
MANKIND	M AE N K AY N D
MANNIKIN	M AE N AH K AH N
MANNIKINS	M AE N AH K AH N Z
MAPMAKING	M AE P M EY K IH NG
MAPMAKINGS	M AE P M EY K IH NG Z
MARKING	M AA R K IH NG
MARKINGS	M AA R K IH NG Z
MASKING	M AE S K IH NG
MASKINGS	M AE S K IH NG Z
MATCHMAKING	M AE CH M EY K IH NG
MATCHMAKINGS	M AE CH M EY K IH NG Z
MAWKISH	M AO K IH SH
MAWKISHLY	M AO K IH SH L IY
MAWKISHNESS	M AO K IH SH N AH S
MAWKISHNESSES	M AO K IH SH N AH S IH Z
MEATPACKING	M IY T P AE K IH NG
MEATPACKINGS	M IY T P AE K IH NG Z
MEDEVACKING	M EH D AH V AE K AH NG
MERRYMAKING	M EH R IY M EY K IH NG
MERRYMAKINGS	M EH R IY M EY K IH NG Z
METALWORKING	M EH T AH L W ER K IH NG
METALWORKINGS	M EH T AH L W ER K IH NG Z
MIKING	M AY K IH NG
MILKIER	M IH L K IY ER
MILKIEST	M IH L K IY AH S T
MILKILY	M IH L K IY L IY
MILKINESS	M IH L K IY N AH S
MILKINESSES	M IH L K IY N AH S IH Z
MILKING	M IH L K IH NG
MIMICKING	M IH M IH K IH NG
MINIKIN	M IH N IY K IH N
MINIKINS	M IH N IY K IH N Z
MINISKI	M IH N IY S K IY
MINISKIRT	M IH N IY S K ER T
MINISKIRTED	M IH N IY S K ER T IH D
MINISKIRTS	M IH N IY S K ER T S
MINISKIS	M IH N IY S K AY Z
MIRKIER	M AH R K AY AH R
MIRKIEST	M AH R K AY AH S T
MIRKILY	M AH R K AH L IY
MISCOOKING	M IH S K UH K IH NG
MISKICK	M IH S K IH K
MISKICKED	M IH S K IH K T
MISKICKING	M IH S K IH K IH NG
MISKICKS	M IH S K IH K S
MISLIKING	M IH S L AY K IH NG
MISMAKING	M IH S M EY K IH NG
MISMARKING	M IH S M AA R K IH NG
MISSPEAKING	M IH S P IY K IH NG
MISSTRIKING	M IH S T R AY K IH NG
MISTAKING	M IH S T EY K IH NG
MISTHINKING	M IH S TH IH NG K IH NG
MISYOKING	M IH S Y OW K IH NG
MOCKING	M AA K IH NG
MOCKINGBIRD	M AA K IH NG B ER D
MOCKINGBIRDS	M AA K IH NG B ER D Z
MOCKINGLY	M AA K IH NG L IY
MOLESKIN	M OW L S K IH N
MOLESKINS	M OW L S K IH N Z
MONEYMAKING	M AH N IY M EY K IH NG
MONEYMAKINGS	M AH N IY M EY K IH NG Z
MONKISH	M AH NG K IH SH
MOSAICKING	M OW Z EY IH K IH NG
MOTHERFUCKING	M AH DH ER F AH K IH NG
MOTORBIKING	M OW T ER B AY K IH NG
MOUNTEBANKING	M AW N T AH B AE NG K AH NG
MOVIEMAKING	M UW V IY M EY K IH NG
MOVIEMAKINGS	M UW V IY M EY K IH NG Z
MUCKIER	M AH K IY ER
MUCKIEST	M AH K IY AH S T
MUCKILY	M AH K IY L IY
MUCKING	M AH K IH NG
MUCKRAKING	M AH K R EY K IH NG
MUDSKIPPER	M AH D S K IH P ER
MUDSKIPPERS	M AH D S K IH P ER Z
MULTISKILLED	M AH L T AY S K IH L D
MULTITASKING	M AH L T IY T AE S K IH NG
MULTITASKINGS	M AH L T AY T AE S K IH NG Z
MULTITRACKING	M AH L T AY T R AE K IH NG
MUNCHKIN	M AH N CH K IH N
MUNCHKINS	M AH N CH K IH N Z
MURKIER	M ER K IY ER
MURKIEST	M ER K IY AH S T
MURKILY	M ER K IY L IY
MURKINESS	M ER K IY N AH S
MURKINESSES	M ER K IY N AH S IH Z
MUSKIE	M AH S K IY
MUSKIER	M AH S AY AH R
MUSKIES	M AH S AY Z
MUSKIEST	M AH S AY AH S T
MUSKILY	M AH S AH L IY
MUSKINESS	M AH S AH N AH S
MUSKINESSES	M AH S AH N EH S AH Z
MUSKIT	M AH S AH T
MUSKITS	M AH S AH T S
MUTCHKIN	M AH CH AH N
MUTCHKINS	M AH CH AH N Z
MYTHMAKING	M IH TH M EY K IH NG
MYTHMAKINGS	M IH TH M EY K IH NG Z
NANKIN	N AE NG K AH N
NANKINS	N AE NG K AH N Z
NAPKIN	N AE P K IH N
NAPKINS	N AE P K IH N Z
NARKING	N AA R K AH NG
NECKING	N EH K IH NG
NECKINGS	N EH K IH NG Z
NETWORKING	N EH T W ER K IH NG
NETWORKINGS	N EH T W ER K IH NG Z
NICKING	N IH K IH NG
NITPICKIER	N IH T IH K AY AH R
NITPICKIEST	N IH T IH K AY AH S T
NITPICKING	N IH T P IH K IH NG
NOCKING	N AA K AH NG
NOISEMAKING	N OY Z M EY K IH NG
NOISEMAKINGS	N OY Z M EY K IH NG Z
NONBANKING	N AA N B AE NG K IH NG
NONCAKING	N AA N K EY K IH NG
NONCOKING	N AA N K OW K IH NG
NONDRINKING	N AA N D R IH NG K IH NG
NONSKID	N AA N S K IH D
NONSKIER	N AA N S K AY ER
NONSKIERS	N AA N S K AY ER Z
NONSMOKING	N AA N S M OW K IH NG
NONSPEAKING	N AA N S P IY K IH NG
NONTHINKING	N AA N TH IH NG K IH NG
NONTHINKINGS	N AA N TH IH NG K IH NG Z
NONWORKING	N AA N W ER K IH NG
NOOKIES	N UH K IY Z
NUKING	N Y UW K AH NG
