OU	UW
BOUSTROPHEDON	B AW S T R AA F AH D AH N
BOUSTROPHEDONIC	B AW S T R AA F AH D AH N AH K
BOUSTROPHEDONS	B AW S T R AA F AH D AH N Z
BOUSY	B IY AH S IY
BOUT	B AW T
BOUTIQUE	B UW T IY K
BOUTIQUES	B UW T IY K S
BOUTON	B AW T AH N
BOUTONNIERE	B AW T AH N IY R
BOUTONNIERES	B AW T AH N IY R Z
BOUTONS	B AW T AO N Z
BOUTS	B AW T S
BOUVIER	B UW V IY EY
BOUVIERS	B AW V IY R Z
BOUZOUKI	B AW Z AW K IY
BOUZOUKIA	B AW Z AW K IY AH
BOUZOUKIS	B AW Z AW K AH S
BRACHYPTEROUS	B R AH CH IH P T AH R AH S
BRASSBOUND	B R AE S B AW N D
BREAKOUT	B R EY K AW T
BREAKOUTS	B R EY K AW T S
BREAKTHROUGH	B R EY K TH R UW
BREAKTHROUGHS	B R EY K TH R UW Z
BREECHCLOUT	B R IY CH K L AW T
BREECHCLOUTS	B R IY CH K L AW T S
BROMOURACIL	B R AH M AH R AH S AH L
BROMOURACILS	B R AA M AH Y UH R AH S AH L Z
BROUGHAM	B R UW G AH M
BROUGHAMS	B R AW AH M Z
BROUGHT	B R AO T
BROUHAHA	B R UW HH AA HH AA
BROUHAHAS	B R AW HH AH HH AH Z
BROWNOUT	B R AW N AW T
BROWNOUTS	B R AW N AW T S
BRUMOUS	B R UW M AH S
BUGHOUSE	B AH G HH AW S
BUGHOUSES	B AH G HH AW S IH Z
BULBOUS	B AH L B AH S
BULBOUSLY	B AH L B AH S L IY
BULLOUS	B UH L AH S
BULLPOUT	B UH L P AW T
BULLPOUTS	B UH L P AW T S
BUMPTIOUS	B AH M P SH AH S
BUMPTIOUSLY	B AH M P SH AH S L IY
BUMPTIOUSNESS	B AH M P SH AH S N AH S
BUMPTIOUSNESSES	B AH M P SH AH S N AH S IH Z
BUNKHOUSE	B AH NG K HH AW S
BUNKHOUSES	B AH NG K HH AW S IH Z
BURGLARIOUS	B ER G L AH R IY AH S
BURGLARIOUSLY	B ER G L AH R IY AH S L IY
BURGOUT	B AH R G AW T
BURGOUTS	B AH R G AH Y UW T S
BURNOUS	B ER N AH S
BURNOUSES	B ER N AH S IH Z
BURNOUT	B ER N AW T
BURNOUTS	B ER N AW T S
BUTYROUS	B Y UW T AH R AH S
BUYOUT	B AY AW T
BUYOUTS	B AY AW T S
CACHOU	K AE CH UW
CACHOUS	K AE SH AH S
CACOPHONOUS	K AE K AA F AH N AH S
CACOPHONOUSLY	K AE K AA F AH N AH S L IY
CADAVEROUS	K AH D AE V ER AH S
CADAVEROUSLY	K AH D AE V ER AH S L IY
CADUCOUS	K AE D Y UW K AH S
CALAMITOUS	K AH L AE M AH T AH S
CALAMITOUSLY	K AH L AE M AH T AH S L IY
CALCAREOUS	K AE L K AE R IY AH S
CALCAREOUSLY	K AE L K AH R IY OW AH S L IY
CALCICOLOUS	K AE L S IH K AH L AH S
CALCIFEROUS	K AE L S IH F AH R AH S
CALCIFUGOUS	K AE L S AH F Y UW G AH S
CALCULOUS	K AE L K Y AH L AH S
CALIGINOUS	K AH L IH JH AH N AH S
CALLIPYGOUS	K AE L IH P AH G AH S
CALLOUS	K AE L AH S
CALLOUSED	K AE L AH S T
CALLOUSES	K AE L AH S IH Z
CALLOUSING	K AE L AH S IH NG
CALLOUSLY	K AE L AH S L IY
CALLOUSNESS	K AE L AH S N AH S
CALLOUSNESSES	K AE L AH S N AH S IH Z
CALUMNIOUS	K AE L AH M N IY AH S
CALUMNIOUSLY	K AE L AH M N IY AH S L IY
CAMOUFLAGE	K AE M AH F L AA ZH
CAMOUFLAGEABLE	K AE M AH F L AA ZH AH B AH L
CAMOUFLAGED	K AE M AH F L AA ZH D
CAMOUFLAGES	K AE M AH F L AA ZH IH Z
CAMOUFLAGIC	K AE M AH F L AA ZH IH K
CAMOUFLAGING	K AE M AH F L AA ZH IH NG
CAMPGROUND	K AE M P G R AW N D
CAMPGROUNDS	K AE M P G R AW N D Z
CAMPHORACEOUS	K AE M F AH R AH S IY AH S
CAMPYLOTROPOUS	K AE M P IY L AA T R OW P AH S
CANCELLOUS	K AE N S AH L AH S
CANCEROUS	K AE N S ER AH S
CANCEROUSLY	K AE N S ER AH S L IY
CANDOUR	K AE N D ER
CANDOURS	K AE N D ER Z
CANKEROUS	K AE NG K ER AH S
CANOROUS	K EY N ER AH S
CANOROUSLY	K EY N ER AH S L IY
CANOROUSNESS	K EY N ER AH S N AH S
CANOROUSNESSES	K EY N ER AH S N AH S IH Z
CANTALOUP	K AE N T AH L UW P
CANTALOUPE	K AE N T AH L OW P
CANTALOUPES	K AE N T AH L OW P S
CANTALOUPS	K AE N T AH L UW P S
CANTANKEROUS	K AE N T AE NG K ER AH S
CANTANKEROUSLY	K AE N T AE NG K ER AH S L IY
CANTANKEROUSNESS	K AE N T AE NG K ER AH S N AH S
CANTANKEROUSNESSES	K AE N T AE NG K ER AH S N AH S IH Z
CAOUTCHOUC	K EY AW CH AW K
CAOUTCHOUCS	K EY AW CH AW K S
CAPACIOUS	K AH P EY SH AH S
CAPACIOUSLY	K AH P EY SH AH S L IY
CAPACIOUSNESS	K AH P EY SH AH S N AH S
CAPACIOUSNESSES	K AH P EY SH AH S N AH S IH Z
CAPOUCH	K AH P AW CH
CAPOUCHES	K AH P AW CH AH Z
CAPRICIOUS	K AH P R IH SH AH S
CAPRICIOUSLY	K AH P R IH SH IH S L IY
CAPRICIOUSNESS	K AH P R IH SH AH S N AH S
CAPRICIOUSNESSES	K AH P R IH SH AH S N AH S IH Z
CAPTIOUS	K AE P SH AH S
CAPTIOUSLY	K AE P SH AH S L IY
CAPTIOUSNESS	K AE P SH AH S N AH S
CAPTIOUSNESSES	K AE P SH AH S N AH S IH Z
CARBONACEOUS	K AA R B AH N EY S AH S
CARBONIFEROUS	K AA R B AH N IH F ER AH S
CARCAJOU	K AA R K AH JH UW
CARCAJOUS	K AA R K AH JH AH S
CARCINOMATOUS	K AA R S AH N AA M AH T AH S
CARIBOU	K EH R IH B UW
CARIBOUS	K AE R AH B AH S
CARIOUS	K EH R IY AH S
CARNIVOROUS	K AA R N IH V ER AH S
CARNIVOROUSLY	K AA R N IH V ER AH S L IY
CARNIVOROUSNESS	K AA R N IH V ER AH S N AH S
CARNIVOROUSNESSES	K AA R N IH V ER AH S N AH S IH Z
CAROUSAL	K AH R AW Z AH L
CAROUSALS	K AH R AW Z AH L Z
CAROUSE	K ER AW Z
CAROUSED	K AH R AW Z D
CAROUSEL	K EH R AH S EH L
CAROUSELS	K AH R AW S AH L Z
CAROUSER	K AH R AW Z ER
CAROUSERS	K AH R AW Z ER Z
CAROUSES	K AH R AW Z IH Z
CAROUSING	K ER AW Z IH NG
CARREFOUR	K AA R IY F OW R
CARREFOURS	K AA R IY F OW R Z
CARROUSEL	K EH R AH S EH L
CARROUSELS	K AE R AW S AH L Z
CARRYOUT	K AE R IY AW T
CARRYOUTS	K AE R IY AW T S
CARTILAGINOUS	K AA R T IH L AH JH IH N AH S
CARTOUCH	K AA R T AH CH
CARTOUCHE	K AA R T AW CH
CARTOUCHES	K AA R T AH CH IH Z
CASEOUS	K EY S AH S
CASSOULET	K AE S AW L AH T
CASSOULETS	K AE S AW L AH T S
CATADROMOUS	K AH T AE D R AH M AH S
CATAMOUNT	K AE T AH M AW N T
CATAMOUNTS	K AE T AH M AW N T S
CATARACTOUS	K EY T ER AE K T AH S
CATHOUSE	K AE T HH AW S
CATHOUSES	K AE T HH AW S IH Z
CAUTIOUS	K AO SH AH S
CAUTIOUSLY	K AO SH AH S L IY
CAUTIOUSNESS	K AO SH AH S N AH S
CAUTIOUSNESSES	K AO SH AH S N AH S IH Z
CAVERNICOLOUS	K AH V AH R N IH K AH L AH S
CAVERNOUS	K AE V ER N AH S
CAVERNOUSLY	K AE V ER N AH S L IY
CEMENTITIOUS	S IH M EH N T AH T IY AH S
CENSORIOUS	S EH N S ER IY AH S
CENSORIOUSLY	S EH N S ER IY AH S L IY
CENSORIOUSNESS	S EH N S ER IY AH S N AH S
CENSORIOUSNESSES	S EH N S ER IY AH S N AH S IH Z
CEREMONIOUS	S EH R AH M OW N IY AH S
CEREMONIOUSLY	S EH R AH M OW N IY AH S L IY
CEREMONIOUSNESS	S EH R AH M OW N IY AH S N AH S
CEREMONIOUSNESSES	S EH R AH M OW N IY AH S N AH S IH Z
CERNUOUS	S AH R N Y AH W AH S
CEROUS	S IY R AH S
CERUMINOUS	S AH R UW M AH N AH S
CETACEOUS	S IY T AH S IY AH S
CHABOUK	CH AH B AW K
CHABOUKS	CH AH B AW K S
CHAMPERTOUS	CH AE M P AH R T AH S
CHANCROUS	CH AE NG K R AH S
CHECKOUT	CH EH K AW T
CHECKOUTS	CH EH K AW T S
CHIBOUK	CH AH B AW K
CHIBOUKS	CH AH B AW K S
CHIBOUQUE	CH AH B AW K
CHIBOUQUES	CH AH B AW K S
CHITINOUS	K AY T AH N AH S
CHIVALROUS	SH IH V AH L R AH S
CHIVALROUSLY	SH IH V AH L R AH S L IY
CHIVALROUSNESS	SH IH V AH L R AH S N AH S
CHIVALROUSNESSES	SH IH V AH L R AH S N AH S IH Z
CHLOROPHYLLOUS	K L AO R AH F IH L AH S
CHLOROUS	K L AO R AH S
CHOPHOUSE	CH AA P HH AW S
CHOPHOUSES	CH AA P HH AW S IH Z
CHOUGH	CH UW
CHOUGHS	CH AW Z
CHOUSE	CH AW Z
CHOUSED	CH OW AH S T
CHOUSER	CH OW AH S AH R
CHOUSERS	CH AW S AH R Z
CHOUSES	CH AW Z AH Z
CHOUSH	CH AW SH
CHOUSHES	CH AW SH AH Z
CHOUSING	CH AW Z AH NG
CHOWHOUND	CH AW HH AW N D
CHOWHOUNDS	CH AW HH AW N D Z
CHROMOUS	K R OW M AH S
CHYLOUS	CH AY L AH S
CHYMOUS	CH AY M AH S
CIBOULE	S IH B OW UW L
CIBOULES	S IH B OW AH L Z
CINEREOUS	S AH N IY R IY AH S
CIRCUITOUS	S ER K Y UW IH T AH S
CIRCUITOUSLY	S ER K Y UW AH T AH S L IY
CIRCUITOUSNESS	S ER K Y UW AH T AH S N AH S
CIRCUITOUSNESSES	S ER K Y UW AH T AH S N AH S IH Z
CIRCUMFLUOUS	S ER K AH M F L UW AH S
CIRROUS	S AH R AH S
CITREOUS	S IH T R IY AH S
CITROUS	S IH T R AH S
CLAMOROUS	K L AE M ER AH S
CLAMOROUSLY	K L AE M ER AH S L IY
CLAMOROUSNESS	K L AE M ER AH S N AH S
CLAMOROUSNESSES	K L AE M ER AH S N AH S IH Z
CLAMOUR	K L AE M ER
CLAMOURED	K L AH M OW Y AH R D
CLAMOURING	K L AH M OW Y AH R AH NG
CLAMOURS	K L AH M OW Y AH R Z
CLANGOROUS	K L AE NG ER AH S
CLANGOROUSLY	K L AE NG ER AH S L IY
CLANGOUR	K L AE N G AH R
CLANGOURED	K L AE N G OW Y ER D
CLANGOURING	K L AE N G OW Y ER IH NG
CLANGOURS	K L AE N G OW Y AH R Z
CLEARINGHOUSE	K L IH R IH NG HH AW S
CLEARINGHOUSES	K L IY R IH NG HH AW S IH Z
CLEISTOGAMOUS	K L IY S T AA G AH M AH S
CLEISTOGAMOUSLY	K L IY S T AH G AE M OW AH S L IY
CLOSEMOUTHED	K L OW Z M AW TH T
CLOSEOUT	K L OW Z AW T
CLOSEOUTS	K L OW Z AW T S
CLOTHBOUND	K L AO TH B AW N D
CLOUD	K L AW D
CLOUDBERRIES	K L AW D B EH R IY Z
CLOUDBERRY	K L AW D B EH R IY
CLOUDBURST	K L AW D B ER S T
CLOUDBURSTS	K L AW D B ER S T S
CLOUDED	K L AW D IH D
CLOUDIER	K L AW D IY ER
CLOUDIEST	K L AW D IY AH S T
CLOUDILY	K L AW D IY L IY
CLOUDINESS	K L AW D IY N IH S
CLOUDINESSES	K L AW D IY N AH S IH Z
CLOUDING	K L AW D IH NG
CLOUDLAND	K L AW D L AE N D
CLOUDLANDS	K L AW D L AE N D Z
CLOUDLESS	K L AW D L AH S
CLOUDLESSLY	K L AW D L AH S L IY
CLOUDLESSNESS	K L AW D L AH S N AH S
CLOUDLESSNESSES	K L AW D L AH S N AH S IH Z
CLOUDLET	K L AW D L AH T
CLOUDLETS	K L AW D L AH T S
CLOUDS	K L AW D Z
CLOUDSCAPE	K L AW D S K EY P
CLOUDSCAPES	K L AW D S K EY P S
CLOUDY	K L AW D IY
CLOUGH	K L AW
CLOUGHS	K L AW Z
CLOUR	K L AW R
CLOURED	K L OW Y AH R D
CLOURING	K L OW Y AH R AH NG
CLOURS	K L OW Y AH R Z
CLOUT	K L AW T
CLOUTED	K L AW T IH D
CLOUTER	K L AW T ER
CLOUTERS	K L AW T ER Z
CLOUTING	K L AW T IH NG
CLOUTS	K L AW T S
CLUBHOUSE	K L AH B HH AW S
CLUBHOUSES	K L AH B HH AW S IH Z
COBALTOUS	K OW B AO L T AH S
COCCOUS	K AA K AH S
COCOUNSEL	K OW K AW N S AH L
COCOUNSELED	K OW K AW N S AH L D
COCOUNSELING	K OW K AW N S AH L IH NG
COCOUNSELLED	K OW K AW N S AH L D
COCOUNSELLING	K OW K AW N S AH L IH NG
COCOUNSELS	K OW K AW N S AH L Z
COETANEOUS	K OW AH T EY N IY AH S
COFFEEHOUSE	K AO F IY HH AW S
COFFEEHOUSES	K AO F IY HH AW S IH Z
COFOUND	K OW F AW N D
COFOUNDED	K OW F AW N D IH D
COFOUNDER	K OW F AW N D ER
COFOUNDERS	K OW F AW N D ER Z
COFOUNDING	K OW F AW N D IH NG
COFOUNDS	K OW F AW N D Z
COLEOPTEROUS	K OW L AA P T ER AH S
COLLAGENOUS	K AA L AH JH EH N AH S
COLLEMBOLOUS	K AA L EH M B AH L AH S
COLLENCHYMATOUS	K AA L EH NG K IH M AH T AH S
COLOUR	K AH L ER
COLOURED	K AH L ER D
COLOURER	K AH L ER ER
COLOURERS	K AH L ER ER Z
COLOURING	K AH L ER R IH NG
COLOURS	K AH L ER Z
COMMODIOUS	K AH M OW D IY AH S
COMMODIOUSLY	K AH M OW D IY AH S L IY
COMMODIOUSNESS	K AH M OW D IY AH S N AH S
COMMODIOUSNESSES	K AH M OW D IY AH S N AH S IH Z
COMOUS	K AH M AH S
COMPENDIOUS	K AH M P EH N D AY AH S
COMPENDIOUSLY	K AH M P EH N D AY AH S L IY
COMPENDIOUSNESS	K AH M P EH N D AY AH S N AH S
COMPENDIOUSNESSES	K AH M P EH N D AY AH S N AH S IH Z
COMPLICITOUS	K AA M P L IH S AH T AH S
COMPOUND	K AA M P AW N D
COMPOUND(2)	K AH M P AW N D
COMPOUNDABLE	K AH M P AW N D AH B AH L
COMPOUNDED	K AH M P AW N D AH D
COMPOUNDED(2)	K AH M P AW N D IH D
COMPOUNDER	K AH M P AW N D ER
COMPOUNDERS	K AH M P AW N D ER Z
COMPOUNDING	K AH M P AW N D IH NG
COMPOUNDS	K AA M P AW N D Z
COMPOUNDS(2)	K AH M P AW N D Z
COMPUNCTIOUS	K AA M P AH NG K AH S
CONCOURSE	K AA N K AO R S
CONCOURSES	K AA N K AO R S IH Z
CONDYLOMATOUS	K AA N D AH L AA M AH T AH S
CONFOUND	K AA N F AW N D
CONFOUND(2)	K AH N F AW N D
CONFOUNDED	K AH N F AW N D IH D
CONFOUNDEDLY	K AH N F AW N D AH D L IY
CONFOUNDER	K AH N F AW N D ER
CONFOUNDERS	K AH N F AW N D ER Z
CONFOUNDING	K AH N F AW N D IH NG
CONFOUNDINGLY	K AH N F AW N D IH NG L IY
CONFOUNDS	K AH N F AW N D Z
CONGENEROUS	K AH N JH EH N ER AH S
CONGOU	K AA N G UW
CONGOUS	K AA N G AH S
CONGRUOUS	K AA NG G R AH W AH S
CONGRUOUSLY	K AA NG G R AH W AH S L IY
CONGRUOUSNESS	K AA NG G R AH W AH S N AH S
CONGRUOUSNESSES	K AA NG G R AH W AH S N AH S IH Z
CONIFEROUS	K AH N IH F ER AH S
CONSANGUINEOUS	K AA N S AE N G W IH N IY AH S
CONSANGUINEOUSLY	K AA N S AE N G W IH N IY AH S L IY
CONSCIENTIOUS	K AA N SH IY EH N SH AH S
CONSCIENTIOUSLY	K AA N CH IY EH N CH AH S L IY
CONSCIENTIOUSNESS	K AA N CH IY EH N CH AH S N AH S
CONSCIENTIOUSNESSES	K AA N CH IY EH N CH AH S N AH S IH Z
CONSCIOUS	K AA N SH AH S
CONSCIOUSES	K AA N SH AH S IH Z
CONSCIOUSLY	K AA N SH AH S L IY
CONSCIOUSNESS	K AA N SH AH S N AH S
CONSCIOUSNESSES	K AA N SH AH S N AH S IH Z
CONSENTANEOUS	K AA N S EH N T EY N IY AH S
CONSENTANEOUSLY	K AA N S EH N T AH N IY OW AH S L IY
CONSPICUOUS	K AH N S P IH K Y UW AH S
CONSPICUOUSLY	K AH N S P IH K Y UW AH S L IY
CONSPICUOUSNESS	K AH N S P IH K Y AH W AH S N AH S
CONSPICUOUSNESSES	K AH N S P IH K Y AH W AH S N AH S IH Z
CONTAGIOUS	K AH N T EY JH AH S
CONTAGIOUSLY	K AH N T EY JH AH S L IY
CONTAGIOUSNESS	K AH N T EY JH AH S N AH S
CONTAGIOUSNESSES	K AH N T EY JH AH S N AH S IH Z
CONTEMPORANEOUS	K AH N T EH M P ER EY N IY AH S
CONTEMPORANEOUSLY	K AH N T EH M P ER EY N IY AH S L IY
CONTEMPORANEOUSNESS	K AA N T AH M P AH R EY N IY AW Z N AH S
CONTEMPORANEOUSNESSES	K AA N T AH M P AH R EY N IY AW Z N EH S AH Z
CONTEMPTUOUS	K AH N T EH M P CH UW AH S
CONTEMPTUOUSLY	K AH N T EH M P CH UW AH S L IY
CONTEMPTUOUSNESS	K AH N T EH M P CH AH W AH S N AH S
CONTEMPTUOUSNESSES	K AH N T EH M P CH AH W AH S N AH S IH Z
CONTENTIOUS	K AH N T EH N SH AH S
CONTENTIOUSLY	K AH N T EH N T IY AH S L IY
CONTENTIOUSNESS	K AH N T EH N SH AH S N AH S
CONTENTIOUSNESSES	K AH N T EH N T IY AH S N AH S IH Z
CONTERMINOUS	K AH N T ER M AH N AH S
CONTERMINOUSLY	K AH N T ER M AH N AH S L IY
CONTIGUOUS	K AH N T IH G Y UW AH S
CONTIGUOUSLY	K AH N T IH G Y AH W AH S L IY
CONTIGUOUSNESS	K AH N T IH G Y AH W AH S N AH S
CONTIGUOUSNESSES	K AH N T IH G Y AH W AH S N AH S IH Z
CONTINUOUS	K AH N T IH N Y UW AH S
CONTINUOUSLY	K AH N T IH N Y UW AH S L IY
CONTINUOUSNESS	K AH N T IH N Y UW AH S N AH S
CONTINUOUSNESSES	K AH N T IH N Y UW AH S N AH S IH Z
CONTOUR	K AA N T UH R
CONTOURED	K AA N T UH R D
CONTOURING	K AA N T UH R IH NG
CONTOURS	K AA N T UH R Z
CONTRADICTIOUS	K AA N T R AH D IH K T IY AH S
CONTRARIOUS	K AA N T R EH R IY AH S
CONTUMACIOUS	K AH N T UW M AH S IY AH S
CONTUMACIOUSLY	K AH N T UW M AH S IY AH S L IY
CONTUMELIOUS	K AA N T Y AH M IY L IY AH S
CONTUMELIOUSLY	K AA N T Y AH M AH L IY OW AH S L IY
COOKHOUSE	K UH K HH AW S
COOKHOUSES	K UH K HH AW S IH Z
COOKOUT	K UH K AW T
COOKOUTS	K UH K AW T S
COONHOUND	K UW N HH AW N D
COONHOUNDS	K UW N HH AW N D Z
COPIOUS	K OW P IY AH S
COPIOUSLY	K OW P Y AH S L IY
COPIOUSNESS	K OW P IY AH S N AH S
COPIOUSNESSES	K OW P IY AH S N AH S IH Z
COPOUT	K OW P AW T
COPOUTS	K OW P AW T S
COPROPHAGOUS	K AA P R AH F EY JH AH S
COPROPHILOUS	K AA P R AH F AY L AH S
CORIACEOUS	K OW R AY AH S IY AH S
CORMOUS	K AO R M AH S
CORNEOUS	K AO R N IY AH S
COTERMINOUS	K OW T ER M AH N AH S
COTERMINOUSLY	K OW T ER M AH N AH S L IY
COTTONMOUTH	K AA T AH N M AW TH
COTTONMOUTHS	K AA T AH N M AW TH S
COUCH	K AW CH
COUCHANT	K AW CH AH N T
COUCHED	K AW CH T
COUCHER	K AW CH ER
COUCHERS	K AW CH ER Z
COUCHES	K AW CH IH Z
COUCHING	K AW CH IH NG
COUCHINGS	K AW CH IH NG Z
COUDE	K OW Y UW D IY
COUGAR	K UW G ER
COUGARS	K UW G ER Z
COUGH	K AA F
COUGH(2)	K AO F
COUGHED	K AO F T
COUGHER	K AO F ER
COUGHERS	K AO F ER Z
COUGHING	K AA F IH NG
COUGHS	K AO F S
COULD	K UH D
COULDEST	K OW AH L D AH S T
COULDST	K OW AH L D S T
COULEE	K UW L IY
COULEES	K OW Y AH L IY Z
COULIS	K OW AH L AH S
COULISES	K OW Y AH L AY Z AH Z
COULISSE	K OW Y UW L AH S
COULISSES	K OW Y AH L IH S AH Z
COULOIR	K OW Y AH L OY R
COULOIRS	K OW Y AH L OY R Z
COULOMB	K UW L OW M
COULOMBIC	K UW L OW M IH K
COULOMBS	K UW L OW M Z
COULOMETER	K OW AH L AA M AH T AH R
COULOMETERS	K OW Y AH L AA M AH T AH R Z
COULOMETRIC	K OW Y UW L AH M AH T R AH K
COULOMETRICALLY	K OW Y UW L AH M EH T R AH K AE L IY
COULOMETRIES	K OW Y AH L AH M EH T R AY Z
COULOMETRY	K OW AH L AH M EH T R IY
COULTER	K OW L T ER
COULTERS	K OW AH L T AH R Z
COUMARIC	K OW Y UW M AH R AH K
COUMARIN	K OW Y UW M AH R AH N
COUMARINS	K OW Y UW M AH R AH N Z
COUMAROU	K OW Y UW M AH R UW
COUMAROUS	K OW Y UW M AH R AH S
COUNCIL	K AW N S AH L
COUNCILLOR	K AW N S AH L ER
COUNCILLORS	K AW N S AH L ER Z
COUNCILLORSHIP	K AW N S AH L ER SH IH P
COUNCILLORSHIPS	K AW N S AH L ER SH IH P S
COUNCILMAN	K AW N S AH L M AH N
COUNCILMANIC	K AW N S AH L M AE N IH K
COUNCILMEN	K AW N S AH L M EH N
COUNCILOR	K AW N S IH L ER
COUNCILORS	K AW N S IH L ER Z
COUNCILS	K AW N S IH L Z
COUNCILWOMAN	K AW N S IH L W UH M AH N
COUNCILWOMEN	K AW N S IH L W IH M AH N
COUNSEL	K AW N S AH L
COUNSELED	K AW N S AH L D
COUNSELEE	K AW N S AH L IY
COUNSELEES	K AW N S AH L IY Z
COUNSELING	K AW N S AH L IH NG
COUNSELINGS	K AW N S AH L IH NG Z
COUNSELLED	K AW N S AH L D
COUNSELLING	K AW N S AH L IH NG
COUNSELLINGS	K AW N S AH L IH NG Z
COUNSELLOR	K AW N S AH L ER
COUNSELLORS	K AW N S AH L ER Z
COUNSELOR	K AW N S AH L ER
COUNSELORS	K AW N S AH L ER Z
COUNSELORSHIP	K AW N S AH L ER SH IH P
COUNSELORSHIPS	K AW N S AH L ER SH IH P S
COUNSELS	K AW N S AH L Z
COUNT	K AW N T
COUNTABILITIES	K AW N T AH B IH L AH T EH Z
COUNTABILITY	K AW N T AH B IH L AH T EH
COUNTABLE	K AW N T AH B AH L
COUNTABLY	K AW N T AH B L IY
COUNTDOWN	K AW N T D AW N
COUNTDOWNS	K AW N T D AW N Z
COUNTED	K AW N T IH D
COUNTENANCE	K AW N T AH N AH N S
COUNTENANCED	K AW N T AH N AH N S T
COUNTENANCER	K AW N T AH N AH N S ER
COUNTENANCERS	K AW N T AH N AH N S ER Z
COUNTENANCES	K AW N T AH N AH N S IH Z
COUNTENANCING	K AW N T AH N AH N S IH NG
COUNTER	K AW N T ER
COUNTERACCUSATION	K AW N T ER AE K Y AH Z EY SH AH N
COUNTERACCUSATIONS	K AW N T ER AE K Y AH Z EY SH AH N Z
COUNTERACT	K AW N T ER AE K T
COUNTERACTED	K AW N T ER AE K T IH D
COUNTERACTING	K AW N T ER AE K T IH NG
COUNTERACTION	K AW N T ER AE K SH AH N
COUNTERACTIONS	K AW N T ER AE K SH AH N Z
COUNTERACTIVE	K AW N T ER AE K T IH V
COUNTERACTS	K AW N T ER AE K T S
COUNTERADAPTATION	K AW N T ER AE D AE P T EY SH AH N
COUNTERADAPTATIONS	K AW N T ER AE D AE P T EY SH AH N Z
COUNTERADVERTISING	K AW N T ER AE D V ER T AY Z IH NG
COUNTERADVERTISINGS	K AW N T ER AE D V ER T AY Z IH NG Z
COUNTERAGENT	K AW N T ER IH JH AH N T
COUNTERAGENTS	K AW N T ER IH JH AH N T S
COUNTERAGGRESSION	K AW N T ER AH G R EH SH AH N
COUNTERAGGRESSIONS	K AW N T ER AH G R EH SH AH N Z
COUNTERARGUE	K AW N T ER AA R G Y UW
COUNTERARGUED	K AW N T ER AA R G Y UW D
COUNTERARGUES	K AW N T ER AA R G Y UW Z
COUNTERARGUING	K AW N T ER AA R G Y UW IH NG
COUNTERARGUMENT	K AW N T ER AA R G Y AH M AH N T
COUNTERARGUMENTS	K AW N T ER AA R G Y AH M AH N T S
COUNTERASSAULT	K AW N T ER AH S AO L T
COUNTERASSAULTS	K AW N T ER AH S AO L T S
COUNTERATTACK	K AW N T ER AH T AE K
COUNTERATTACK(2)	K AW N ER AH T AE K
COUNTERATTACKED	K AW N T ER AH T AE K T
COUNTERATTACKED(2)	K AW N ER AH T AE K T
COUNTERATTACKER	K AW N T ER AH T AE K ER
COUNTERATTACKERS	K AW N T ER AH T AE K ER Z
COUNTERATTACKING	K AW N T ER AH T AE K IH NG
COUNTERATTACKING(2)	K AW N ER AH T AE K IH NG
COUNTERATTACKS	K AW N T ER AH T AE K S
COUNTERATTACKS(2)	K AW N ER AH T AE K S
COUNTERBADE	K AW N T ER B IY EY D
COUNTERBALANCE	K AW N T ER B AE L AH N S
COUNTERBALANCE(2)	K AW N ER B AE L AH N S
COUNTERBALANCED	K AW N T ER B AE L AH N S T
COUNTERBALANCED(2)	K AW N ER B AE L AH N S T
COUNTERBALANCES	K AW N T ER B AE L AH N S IH Z
COUNTERBALANCES(2)	K AW N ER B AE L AH N S IH Z
COUNTERBALANCING	K AW N T ER B AE L AH N S IH NG
COUNTERBALANCING(2)	K AW N ER B AE L AH N S IH NG
COUNTERBID	K AW N T ER B IH D
COUNTERBIDDEN	K AW N T ER B IH D AH N
COUNTERBIDDING	K AW N T ER B IH D IH NG
COUNTERBIDS	K AW N T ER B IH D Z
COUNTERBLAST	K AW N T ER B L AE S T
COUNTERBLASTS	K AW N T ER B L AE S T S
COUNTERBLOCKADE	K AW N T ER B L AA K EY D
COUNTERBLOCKADED	K AW N T ER B L AA K EY D IH D
COUNTERBLOCKADES	K AW N T ER B L AA K EY D Z
COUNTERBLOCKADING	K AW N T ER B L AA K EY D IH NG
COUNTERBLOW	K AW N T ER B L OW
COUNTERBLOWS	K AW N T ER B L OW Z
COUNTERCAMPAIGN	K AW N T ER K AE M P EY N
COUNTERCAMPAIGNS	K AW N T ER K AE M P EY N Z
COUNTERCHANGE	K AW N T ER CH EY N JH
COUNTERCHANGED	K AW N T ER CH EY N JH D
COUNTERCHANGES	K AW N T ER CH EY N JH IH Z
COUNTERCHANGING	K AW N T ER CH EY N JH IH NG
COUNTERCHARGE	K AW N T ER CH AA R JH
COUNTERCHARGE(2)	K AW N ER CH AA R JH
COUNTERCHARGED	K AW N T ER CH AA R JH D
COUNTERCHARGES	K AW N T ER CH AA R JH IH Z
COUNTERCHARGES(2)	K AW N ER CH AA R JH IH Z
COUNTERCHARGING	K AW N T ER CH AA R JH IH NG
COUNTERCHECK	K AW N T ER CH EH K
COUNTERCHECKED	K AW N T ER CH EH K T
COUNTERCHECKING	K AW N T ER CH EH K IH NG
COUNTERCHECKS	K AW N T ER CH EH K S
