EA	IY AH
BUREAUCRATISED	B Y UH R AH K R AE T IY Z D
BUREAUCRATISES	B Y UH R AH K R AE T IY Z IH Z
BUREAUCRATISING	B Y UH R AH K R AE T IY Z IH NG
BUREAUCRATISM	B Y UH R AH K R AE T IH Z AH M
BUREAUCRATISMS	B Y UH R AH K R AE T IH Z AH M Z
BUREAUCRATIZATION	B Y UH R AH K R AE T AH Z EY SH AH N
BUREAUCRATIZATIONS	B Y UH R AH K R AE T AH Z EY SH AH N Z
BUREAUCRATIZE	B Y UH R AH K R AE T AY Z
BUREAUCRATIZED	B Y UH R AH K R AE T AY Z D
BUREAUCRATIZES	B Y UH R AH K R AE T AY Z IH Z
BUREAUCRATIZING	B Y UH R AH K R AE T AY Z IH NG
BUREAUCRATS	B Y UH R AH K R AE T S
BUREAUCRATS(2)	B Y UH R OW K R AE T S
BUREAUS	B Y UH R OW Z
BUREAUX	B Y UH R IY AH K S
CADUCEAN	K AE D Y UW S IY AH N
CAESAREAN	K EY S ER IY N
CAESAREANS	K EY S ER IY N Z
CALCANEA	K AE L K EY N IY AH
CALCANEAL	K AE L K EY N IY AH L
CALCEATE	K AE L S IY EY T
CALYCEAL	K AH L IH S IY AH L
CAMOUFLAGEABLE	K AE M AH F L AA ZH AH B AH L
CANOEABLE	K AH N UW AH B AH L
CASEASE	K EY S IY Z
CASEASES	K EY S IY Z AH Z
CASEATE	K EY S AH T
CASEATED	K EY S EY T IH D
CASEATES	K EY S AH T S
CASEATING	K EY S EY T IH NG
CASEATION	K EY S EY SH AH N
CASEATIONS	K EY S EY SH AH N Z
CASEBEARER	K EY S B AE ER ER
CASEBEARERS	K EY S B AE ER ER Z
CATHEAD	K AE T HH EH D
CATHEADS	K AE T HH EH D Z
CAVEAT	K EY V IY AE T
CAVEATED	K EY V IY AE T IH D
CAVEATING	K EY V IY AE T IH NG
CAVEATOR	K EY V IY AE T ER
CAVEATORS	K EY V IY AE T ER Z
CAVEATS	K EY V IY AE T S
CEANOTHUS	S IY N AH TH AH S
CEANOTHUSES	S IY N AH TH UW Z AH Z
CEASE	S IY S
CEASED	S IY S T
CEASEFIRE	S IY S F AY ER
CEASEFIRES	S IY S F AY ER Z
CEASELESS	S IY S L IH S
CEASELESSLY	S IY Z L AH S L IY
CEASELESSNESS	S IY S L AH S N AH S
CEASELESSNESSES	S IY S L AH S N AH S IH Z
CEASES	S IY S IH Z
CEASING	S IY S IH NG
CENTAUREA	S EH N T AH Y UH R IY AH
CENTAUREAS	S EH N T AH Y UH R IY AH Z
CEREAL	S IH R IY AH L
CEREALS	S IH R IY AH L Z
CERULEAN	S AH R UW L IY AH N
CERULEANS	S AH R UW L IY AH N Z
CESAREAN	S AH S AE R IY AH N
CESAREANS	S EH S AH R IY N Z
CETACEAN	S IH T EY SH AH N
CETACEAN(2)	S IY T EY SH AH N
CETACEANS	S EH T AH S IY N Z
CHALYBEATE	CH AH L AY B IY EY T
CHALYBEATES	CH AH L AY B IY EY T S
CHANGEABILITIES	CH EY N JH AH B IH L AH T EH Z
CHANGEABILITY	CH EY N JH AH B IH L AH T EH
CHANGEABLE	CH EY N JH AH B AH L
CHANGEABLENESS	CH EY N JH AH B AH L N AH S
CHANGEABLENESSES	CH EY N JH AH B AH L N AH S IH Z
CHANGEABLY	CH EY N JH AH B L IY
CHAPEAU	CH EY P IY UW
CHAPEAUS	CH EY P IY AH S
CHAPEAUX	CH EY P IY AH K S
CHARGEABLE	CH AA R JH AH B AH L
CHATEAU	SH AE T OW
CHATEAUBRIAND	CH EY T IY AH B R IY AH N D
CHATEAUBRIANDS	CH EY T IY AH B R IY AH N D Z
CHATEAUS	SH AE T OW Z
CHATEAUX	SH AH T OW
CHEAP	CH IY P
CHEAPEN	CH IY P AH N
CHEAPENED	CH IY P AH N D
CHEAPENING	CH IY P AH N IH NG
CHEAPENS	CH IY P AH N Z
CHEAPER	CH IY P ER
CHEAPEST	CH IY P AH S T
CHEAPIE	CH IY P IY
CHEAPIES	CH IY P IY Z
CHEAPISH	CH IY P IH SH
CHEAPISHLY	CH IY P IH SH L IY
CHEAPJACK	CH IY P JH AE K
CHEAPJACKS	CH IY P JH AE K S
CHEAPLY	CH IY P L IY
CHEAPNESS	CH IY P N AH S
CHEAPNESSES	CH IY P N AH S IH Z
CHEAPO	CH IY P OW
CHEAPOS	CH IY P AA S
CHEAPS	CH IY P S
CHEAPSKATE	CH IY P S K EY T
CHEAPSKATES	CH IY P S K EY T S
CHEAT	CH IY T
CHEATED	CH IY T AH D
CHEATED(2)	CH IY T IH D
CHEATER	CH IY T ER
CHEATERS	CH IY T ER Z
CHEATING	CH IY T IH NG
CHEATS	CH IY T S
CHEERLEAD	CH IH ER L IY D
CHEERLEADER	CH IH R L IY D ER
CHEERLEADERS	CH IH R L IY D ER Z
CHEERLEADING	CH IH R L IY D IH NG
CHEERLEADS	CH IH ER L IY D Z
CHICKENHEARTED	CH IH K AH N HH AA R T IH D
CHICKPEA	CH IH K P IY
CHICKPEAS	CH IH K P IY Z
CHILDBEARING	CH AY L D B EH R IH NG
CHILDBEARINGS	CH AY L D B AE ER IH NG Z
CHOREA	CH AO R IY AH
CHOREAL	CH OW R AH L
CHOREAS	CH AH R IY Z
CHOWDERHEAD	CH AW D ER HH EH D
CHOWDERHEADED	CH AW D ER HH EH D IH D
CHOWDERHEADS	CH AW D ER HH EH D Z
CHUCKLEHEAD	CH AH K AH L HH EH D
CHUCKLEHEADED	CH AH K AH L HH EH D IH D
CHUCKLEHEADS	CH AH K AH L HH EH D Z
CINEAST	S AH N IY S T
CINEASTE	S AH N IY S T
CINEASTES	S AH N IY S T S
CINEASTS	S AH N IY S T S
CITEABLE	S AY T AH B AH L
CLEAN	K L IY N
CLEANABILITIES	K L IY N AH B IH L AH T EH Z
CLEANABILITY	K L IY N AH B IH L AH T EH
CLEANABLE	K L IY N AH B AH L
CLEANED	K L IY N D
CLEANER	K L IY N ER
CLEANERS	K L IY N ER Z
CLEANEST	K L IY N AH S T
CLEANHANDED	K L IY N HH AE N D IH D
CLEANING	K L IY N IH NG
CLEANLIER	K L IY N L IY ER
CLEANLIEST	K L IY N L IY AH S T
CLEANLINESS	K L EH N L IY N IH S
CLEANLINESSES	K L IY N L IY N AH S IH Z
CLEANLY	K L IY N L IY
CLEANNESS	K L IY N IH S
CLEANNESSES	K L IY N AH S IH Z
CLEANS	K L IY N Z
CLEANSE	K L EH N Z
CLEANSED	K L EH N Z D
CLEANSER	K L EH N Z ER
CLEANSERS	K L EH N Z ER Z
CLEANSES	K L EH N Z IH Z
CLEANSING	K L EH N Z IH NG
CLEANUP	K L IY N AH P
CLEANUPS	K L IY N AH P S
CLEAR	K L IH R
CLEARABLE	K L IH ER AH B AH L
CLEARANCE	K L IH R AH N S
CLEARANCES	K L IH R AH N S IH Z
CLEARED	K L IH R D
CLEARER	K L IH R ER
CLEARERS	K L IH ER ER Z
CLEAREST	K L IH R IH S T
CLEARHEADED	K L IH ER HH EH D IH D
CLEARHEADEDLY	K L IH ER HH EH D AH D L IY
CLEARHEADEDNESS	K L IH ER HH EH D AH D N AH S
CLEARHEADEDNESSES	K L IH ER HH EH D AH D N AH S IH Z
CLEARING	K L IH R IH NG
CLEARINGHOUSE	K L IH R IH NG HH AW S
CLEARINGHOUSES	K L IY R IH NG HH AW S IH Z
CLEARINGS	K L IH ER IH NG Z
CLEARLY	K L IH R L IY
CLEARNESS	K L IH R N AH S
CLEARNESSES	K L IH ER N AH S IH Z
CLEARS	K L IH R Z
CLEARSTORIES	K L IH ER S T OW R IY Z
CLEARSTORY	K L IH ER S T OW R IY
CLEARWING	K L IH ER W IH NG
CLEARWINGS	K L IH ER W IH NG Z
CLEAT	K L IY T
CLEATED	K L IY T IH D
CLEATING	K L IY T IH NG
CLEATS	K L IY T S
CLEAVABLE	K L IY V AH B AH L
CLEAVAGE	K L IY V AH JH
CLEAVAGE(2)	K L IY V IH JH
CLEAVAGES	K L IY V IH JH IH Z
CLEAVE	K L IY V
CLEAVED	K L IY V D
CLEAVER	K L IY V ER
CLEAVERS	K L IY V ER Z
CLEAVES	K L IY V Z
CLEAVING	K L IY V IH NG
CLOSEABLE	K L OW Z AH B AH L
CLOVERLEAF	K L OW V ER L IY F
CLOVERLEAFS	K L OW V ER L IY F S
CLOVERLEAVES	K L OW V ER L IY V Z
CLYPEAL	K L AY P IY AH L
CLYPEATE	K L AY P IY EY T
COAPPEAR	K OW AH P IH ER
COAPPEARED	K OW AH P IH ER D
COAPPEARING	K OW AH P IH ER IH NG
COAPPEARS	K OW AH P IH ER Z
COCCYGEAL	K AA K S AY JH IY AH L
COCHINEAL	K OW CH AY N AH L
COCHINEALS	K OW CH AY N AH L Z
COCHLEA	K AA K L IY AH
COCHLEAE	K OW K L IY
COCHLEAR	K AA K L IY ER
COCHLEAS	K OW K L IY Z
COCREATE	K OW K R IY EY T
COCREATED	K OW K R IY EY T IH D
COCREATES	K OW K R IY EY T S
COCREATING	K OW K R IY EY T IH NG
COCREATOR	K OW K R IY EY T ER
COCREATORS	K OW K R IY EY T ER Z
COFEATURE	K OW F IY CH ER
COFEATURED	K OW F IY CH ER D
COFEATURES	K OW F IY CH ER Z
COFEATURING	K OW F IY CH ER IH NG
COHEAD	K OW HH EH D
COHEADED	K OW HH EH D IH D
COHEADING	K OW HH EH D IH NG
COHEADS	K OW HH EH D Z
COKEHEAD	K OW K HH EH D
COKEHEADS	K OW K HH EH D Z
COLDHEARTED	K OW L D HH AA R T IH D
COLDHEARTEDLY	K OW L D HH AA R T AH D L IY
COLDHEARTEDNESS	K OW L D HH AA R T AH D N AH S
COLDHEARTEDNESSES	K OW L D HH AA R T AH D N AH S IH Z
COLEAD	K OW L IY D
COLEADER	K OW L IY D ER
COLEADERS	K OW L IY D ER Z
COLEADING	K OW L IY D IH NG
COLEADS	K OW L IY D Z
COLINEAR	K OW L IH N IY ER
COLINEARITIES	K OW L IH N IY ER AH T IY Z
COLINEARITY	K OW L IH N IY ER AH T IY
COLLEAGUE	K AA L IY G
COLLEAGUES	K AA L IY G Z
COLLEAGUESHIP	K AA L IY G SH IH P
COLLEAGUESHIPS	K AA L IY G SH IH P S
COLLECTANEA	K AA L EH K T EY N IY AH
COLLINEAR	K AA L AY N IY AH R
COLLINEARITIES	K AA L AH N IY R AH T AY Z
COLLINEARITY	K AA L AH N IY R AH T IY
COMMONWEAL	K AA M AH N W IY L
COMMONWEALS	K AA M AH N W IY L Z
COMMONWEALTH	K AA M AH N W EH L TH
COMMONWEALTHS	K AA M AH N W EH L TH S
COMPLEAT	K AH M P L IY T
CONCEAL	K AH N S IY L
CONCEALABLE	K AH N S IY L AH B AH L
CONCEALED	K AH N S IY L D
CONCEALER	K AH N S IY L ER
CONCEALERS	K AH N S IY L ER Z
CONCEALING	K AH N S IY L IH NG
CONCEALINGLY	K AH N S IY L IH NG L IY
CONCEALMENT	K AH N S IY L M AH N T
CONCEALMENTS	K AH N S IY L M AH N T S
CONCEALS	K AH N S IY L Z
CONGEAL	K AH N JH IY L
CONGEALED	K AH N JH IY L D
CONGEALING	K AH N JH IY L IH NG
CONGEALMENT	K AH N JH IY L M AH N T
CONGEALMENTS	K AH N JH IY L M AH N T S
CONGEALS	K AH N JH IY L Z
COOLHEADED	K UW L HH EH D IH D
COPPERHEAD	K AA P ER HH EH D
COPPERHEADS	K AA P ER HH EH D Z
COPYREAD	K AA P IY R IY D
COPYREADER	K AA P IY R IY D ER
COPYREADERS	K AA P IY R IY D ER Z
COPYREADING	K OW P AY ER EY D IH NG
COPYREADS	K AA P IY R IY D Z
CORESEARCHER	K OW R IY S ER CH ER
CORESEARCHERS	K OW R IY S ER CH ER Z
CORNBREAD	K AO R N B R EH D
CORNBREADS	K AO R N B R EH D Z
CORNEA	K AO R N IY AH
CORNEAE	K AA R N IY
CORNEAL	K AO R N IY L
CORNEAS	K AO R N IY AH Z
CORNMEAL	K AO R N M IY L
CORNMEALS	K AO R N M IY L Z
CORPOREAL	K AO R P OW R IY AH L
CORPOREALITIES	K AO R P OW R IY AE L AH T IY Z
CORPOREALITY	K AO R P OW R IY AE L AH T IY
CORPOREALLY	K AO R P OW R IY AH L IY
CORPOREALNESS	K AO R P OW R IY AH L N AH S
CORPOREALNESSES	K AO R P OW R IY AH L N AH S IH Z
COTEAU	K OW T IY UW
COTEAUS	K OW T IY AH S
COTEAUX	K OW T IY AH K S
COTONEASTER	K OW T OW N AE S T ER
COTONEASTERS	K OW T OW N AE S T ER Z
COTQUEAN	K OW T AE N
COTQUEANS	K OW T W IY N Z
COUNTERCOUNTERMEASURE	K AW N T ER K AW N T ER M EH ZH ER
COUNTERCOUNTERMEASURES	K AW N T ER K AW N T ER M EH ZH ER Z
COUNTERMEASURE	K AW N T ER M EH ZH ER
COUNTERMEASURES	K AW N T ER M EH ZH ER Z
COUNTERPLEA	K AW N T ER P L IY
COUNTERPLEAS	K AW N T ER P L IY Z
COUNTERREACTION	K AW N T ER R IY AE K SH AH N
COUNTERREACTIONS	K AW N T ER R IY AE K SH AH N Z
COUNTERSTREAM	K AW N T ER S T R IY M
COUNTERSTREAMS	K AW N T ER S T R IY M Z
COUNTERTHREAT	K AW N T ER TH R EH T
COUNTERTHREATS	K AW N T ER TH R EH T S
COUNTRYSEAT	K AH N T R IY S IY T
COUNTRYSEATS	K AH N T R IY S IY T S
COUTEAU	K OW Y UW T IY UW
COUTEAUX	K OW Y UW T IY AH K S
COWPEA	K AW P IY
COWPEAS	K AW P IY Z
CRABMEAT	K R AE B M IY T
CRABMEATS	K R AE B M IY T S
CREAK	K R IY K
CREAKED	K R IY K T
CREAKIER	K R IY K IY ER
CREAKIEST	K R IY K IY AH S T
CREAKILY	K R IY K IY L IY
CREAKINESS	K R IY K IY N AH S
CREAKINESSES	K R IY K IY N AH S IH Z
CREAKING	K R IY K IH NG
CREAKS	K R IY K S
CREAKY	K R IY K IY
CREAM	K R IY M
CREAMCUPS	K R IY M K AH P S
CREAMED	K R IY M D
CREAMER	K R IY M ER
CREAMERIES	K R IY M AH R IY Z
CREAMERS	K R IY M ER Z
CREAMERY	K R IY M ER IY
CREAMIER	K R IY M IY ER
CREAMIEST	K R IY M IY IH S T
CREAMILY	K R IY M IY L IY
CREAMINESS	K R IY M IY N AH S
CREAMINESSES	K R IY M IY N AH S IH Z
CREAMING	K R IY M IH NG
CREAMPUFF	K R IY M P AH F
CREAMPUFFS	K R IY M P AH F S
CREAMS	K R IY M Z
CREAMWARE	K R IY M W EH R
CREAMWARES	K R IY M W EH R Z
CREAMY	K R IY M IY
CREASE	K R IY S
CREASED	K R IY S T
CREASELESS	K R IY S L AH S
CREASER	K R IY S ER
CREASERS	K R IY S ER Z
CREASES	K R IY S IH Z
CREASIER	K R IY S IY ER
CREASIEST	K R IY S IY AH S T
CREASING	K R IY S IH NG
CREASY	K R IY S IY
CREATE	K R IY EY T
CREATED	K R IY EY T AH D
CREATED(2)	K R IY EY T IH D
CREATES	K R IY EY T S
CREATIN	K R IY T AH N
CREATINE	K R IY T AY N
CREATINES	K R IY T AY N Z
CREATING	K R IY EY T IH NG
CREATININE	K R IY T AH N AY N
CREATININES	K R IY T AH N AY N Z
CREATINS	K R IY T AH N Z
CREATION	K R IY EY SH AH N
CREATIONISM	K R IY EY SH AH N IH Z AH M
CREATIONISMS	K R IY EY SH AH N IH Z AH M Z
CREATIONIST	K R IY EY SH AH N IH S T
CREATIONISTS	K R IY EY SH AH N IH S T S
CREATIONS	K R IY EY SH AH N Z
CREATIVE	K R IY EY T IH V
CREATIVELY	K R IY EY T IH V L IY
CREATIVENESS	K R IY EY T IH V N AH S
CREATIVENESSES	K R IY EY T IH V N AH S IH Z
CREATIVITIES	K R IY EY T IH V AH T IY Z
CREATIVITY	K R IY EY T IH V AH T IY
CREATOR	K R IY EY T ER
CREATORS	K R IY EY T ER Z
CREATURAL	K R IY CH ER AH L
CREATURE	K R IY CH ER
CREATUREHOOD	K R IY CH ER HH UH D
CREATUREHOODS	K R IY CH ER HH UH D Z
CREATURELINESS	K R IY CH ER L IY N AH S
CREATURELINESSES	K R IY CH ER L IY N AH S IH Z
CREATURELY	K R IY CH ER L IY
CREATURES	K R IY CH ER Z
CRISPBREAD	K R IH S P B R EH D
CRISPBREADS	K R IH S P B R EH D Z
CROSSBEAM	K R AO S B IY M
CROSSBEAMS	K R AO S B IY M Z
CROSSBEARER	K R AO S B AE ER ER
CROSSBEARERS	K R AO S B AE ER ER Z
CROSSHEAD	K R AO S HH EH D
CROSSHEADS	K R AO S HH EH D Z
CRUSTACEA	K R AH S T EY S IY AH
CRUSTACEAN	K R AH S T EY SH AH N
CRUSTACEANS	K R AH S T EY SH AH N Z
CUDBEAR	K AH D B AE ER
CUDBEARS	K AH D B AE ER Z
CUNEAL	K Y UW N IY AH L
CUNEATE	K Y UW N IY EY T
CUNEATED	K Y UW N IY EY T AH D
CUNEATIC	K Y UW N IY AH T AH K
CUPBEARER	K AH P B AE ER ER
CUPBEARERS	K AH P B AE ER ER Z
CURVILINEAR	K AH R V AH L AY N IY AH R
CURVILINEARITIES	K AH R V AH L AH N IY R AH T AY Z
CURVILINEARITY	K AH R V IH L AH N IY R AH T IY
CYCLOPEAN	S AY K L AH P IY AH N
CYSTEAMINE	S IH S T AH M AY N
CYSTEAMINES	S IH S T AH M AY N Z
DAHABEAH	D AH HH EY B IY AH
DAHABEAHS	D AE HH AH B IY Z
DAMAGEABILITIES	D AE M IH JH AH B IH L AH T EH Z
DAMAGEABILITY	D AE M IH JH AH B IH L AH T EH
DANCEABLE	D AE N S AH B AH L
DATEABLE	D EY T AH B AH L
DAYBREAK	D EY B R EY K
DAYBREAKS	D EY B R EY K S
DAYDREAM	D EY D R IY M
DAYDREAMED	D EY D R IY M D
DAYDREAMER	D EY D R IY M ER
DAYDREAMERS	D EY D R IY M ER Z
DAYDREAMING	D EY D R IY M IH NG
DAYDREAMLIKE	D EY D R IY M L AY K
DAYDREAMS	D EY D R IY M Z
DAYDREAMT	D EY D R EH M T
DEACIDIFICATION	D IY AE S AH D AH F AH K EY SH AH N
DEACIDIFICATIONS	D IY AE S AH D AH F AH K EY SH AH N Z
DEACIDIFIED	D IY AE S AH D AH F AY D
DEACIDIFIES	D IY AE S AH D AH F AY Z
DEACIDIFY	D IY AE S AH D AH F AY
DEACIDIFYING	D IY AE S AH D AH F AY IH NG
DEACON	D IY K AH N
DEACONED	D IY K AH N D
DEACONESS	D IY K AH N AH S
DEACONESSES	D IY K AH N AH S IH Z
DEACONING	D IY K AH N IH NG
DEACONRIES	D IY K AH N R IY Z
DEACONRY	D IY K AH N R IY
DEACONS	D IY K AH N Z
DEACTIVATE	D IY AE K T IH V EY T
DEACTIVATED	D IY AE K T IH V EY T IH D
DEACTIVATES	D IY AE K T IH V AH T S
DEACTIVATING	D IY AE K T IH V EY T IH NG
DEACTIVATION	D IY AE K T IH V EY SH AH N
DEACTIVATIONS	D IY AE K T IH V EY SH AH N Z
DEACTIVATOR	D IY AE K T IH V AH T ER
DEACTIVATORS	D IY AE K T IH V AH T ER Z
DEAD	D EH D
DEADBEAT	D EH D B IY T
DEADBEATS	D EH D B IY T S
DEADBOLT	D EH D B OW L T
DEADBOLTS	D EH D B OW L T S
DEADEN	D EH D AH N
DEADENED	D EH D AH N D
DEADENER	D EH D AH N ER
DEADENERS	D EH D AH N ER Z
DEADENING	D EH D AH N IH NG
DEADENING(2)	D EH D N IH NG
DEADENINGLY	D EH D AH N IH NG L IY
DEADENINGS	D EH D AH N IH NG Z
DEADENS	D EH D AH N Z
DEADER	D EH D ER
DEADEST	D EH D AH S T
DEADEYE	D EH D AY
DEADEYES	D EH D AY Z
DEADFALL	D EH D F AO L
DEADFALLS	D EH D F AO L Z
DEADHEAD	D EH D HH EH D
DEADHEADED	D EH D HH EH D IH D
DEADHEADING	D EH D HH EH D IH NG
DEADHEADS	D EH D HH EH D Z
DEADLIER	D EH D L IY ER
DEADLIEST	D EH D L IY AH S T
DEADLIFT	D EH D L IH F T
DEADLIFTED	D EH D L IH F T IH D
DEADLIFTING	D EH D L IH F T IH NG
DEADLIFTS	D EH D L IH F T S
DEADLIGHT	D EH D L AY T
DEADLIGHTS	D EH D L AY T S
DEADLINE	D EH D L AY N
DEADLINES	D EH D L AY N Z
DEADLINESS	D EH D L IY N AH S
DEADLINESSES	D EH D L IY N AH S IH Z
DEADLOCK	D EH D L AA K
DEADLOCKED	D EH D L AA K T
DEADLOCKING	D EH D L AA K IH NG
DEADLOCKS	D EH D L AA K S
DEADLY	D EH D L IY
DEADNESS	D EH D N AH S
DEADNESSES	D EH D N AH S IH Z
DEADPAN	D EH D P AE N
DEADPANNED	D EH D P AE N D
DEADPANNER	D EH D P AE N ER
DEADPANNERS	D EH D P AE N ER Z
DEADPANNING	D EH D P AE N IH NG
DEADPANS	D EH D P AE N Z
DEADS	D EH D Z
DEADWEIGHT	D EH D W EY T
DEADWEIGHTS	D EH D W EY T S
DEADWOOD	D EH D W UH D
DEADWOODS	D EH D W UH D Z
DEAERATE	D IY AE ER AH T
DEAERATED	D IY AE ER EY T IH D
DEAERATES	D IY AE ER AH T S
DEAERATING	D IY AE ER EY T IH NG
DEAERATION	D IY AE ER EY SH AH N
DEAERATIONS	D IY AE ER EY SH AH N Z
DEAERATOR	D IY AE ER AH T ER
DEAERATORS	D IY AE ER AH T ER Z
DEAF	D EH F
DEAFEN	D EH F AH N
DEAFENED	D EH F AH N D
DEAFENING	D EH F AH N IH NG
DEAFENING(2)	D EH F N IH NG
DEAFENINGLY	D EH F AH N IH NG L IY
DEAFENS	D EH F AH N Z
DEAFER	D EH F ER
DEAFEST	D EH F AH S T
DEAFISH	D EH F IH SH
DEAFLY	D EH F L IY
DEAFNESS	D EH F N AH S
DEAFNESSES	D EH F N AH S IH Z
DEAIR	D IY EH R
DEAIRED	D IY EH R D
DEAIRING	D IY EH R IH NG
DEAIRS	D IY EH R Z
DEAL	D IY L
DEALATE	D IY L AH T
DEALATED	D IY L EY T IH D
DEALATES	D IY L AH T S
DEALATION	D IY L EY SH AH N
DEALATIONS	D IY L EY SH AH N Z
DEALER	D IY L ER
DEALERS	D IY L ER Z
DEALERSHIP	D IY L ER SH IH P
DEALERSHIPS	D IY L ER SH IH P S
DEALFISH	D IY L F IH SH
DEALFISHES	D IY L F IH SH IH Z
DEALING	D IY L IH NG
DEALINGS	D IY L IH NG Z
DEALS	D IY L Z
DEALT	D EH L T
DEAMINASE	D IY AE M AH N EY Z
DEAMINASES	D IY AE M AH N EY Z AH Z
DEAMINATE	D IY AH M AY N AH T
DEAMINATED	D IY AH M AY N EY T IH D
DEAMINATES	D IY AH M AY N AH T S
DEAMINATING	D IY AH M AY N EY T IH NG
DEAMINATION	D IY AH M AY N EY SH AH N
DEAMINATIONS	D IY AH M AY N EY SH AH N Z
DEAN	D IY N
DEANED	D IY N D
DEANERIES	D IY N AH R IY Z
DEANERY	D IY N AH R IY
DEANING	D IY N IH NG
DEANS	D IY N Z
DEANSHIP	D IY N SH IH P
DEANSHIPS	D IY N SH IH P S
DEAR	D IH R
DEARER	D IH R ER
DEAREST	D IH R AH S T
DEARIE	D IH ER IY
DEARIES	D IH ER IY Z
DEARLY	D IH R L IY
DEARNESS	D IH ER N AH S
DEARNESSES	D IH ER N AH S IH Z
DEARS	D IH ER Z
DEARTH	D ER TH
DEARTHS	D ER TH S
DEARY	D IH R IY
DEASH	D IY AE SH
DEASHED	D IY AH SH EH D
DEASHES	D IY AE SH IH Z
DEASHING	D IY AE SH IH NG
DEASIL	D IY AE S AH L
DEATH	D EH TH
DEATHBED	D EH TH B EH D
DEATHBEDS	D EH TH B EH D Z
DEATHBLOW	D EH TH B L OW
DEATHBLOWS	D EH TH B L OW Z
DEATHCUP	D EH TH K AH P
DEATHCUPS	D EH TH K AH P S
DEATHFUL	D EH TH F AH L
DEATHLESS	D EH TH L AH S
DEATHLESSLY	D EH TH L AH S L IY
DEATHLESSNESS	D EH TH L AH S N AH S
DEATHLESSNESSES	D EH TH L AH S N AH S IH Z
DEATHLIKE	D EH TH L AY K
DEATHLY	D EH TH L IY
DEATHS	D EH TH S
DEATHSMAN	D EH TH S M AE N
DEATHSMEN	D EH TH S M EH N
DEATHTRAP	D EH TH T R AE P
DEATHTRAPS	D EH TH T R AE P S
DEATHWATCH	D EH TH W AA CH
DEATHWATCHES	D EH TH W AA CH IH Z
DEATHY	D EH TH IY
DEAVE	D IY EY V
DEAVED	D IY EY V D
DEAVES	D IY EY V Z
DEAVING	D IY EY V AH NG
DEBEAK	D IH B AH AE K
DEBEAKED	D IH B AH EY K T
DEBEAKING	D IY B IH AH K IH NG
DEBEAKS	D IH B AH AE K S
DECEASE	D IH S IY S
DECEASED	D IH S IY S T
DECEASES	D IY S IY S IH Z
DECEASING	D IY S IY S IH NG
DECREASE	D IH K R IY S
DECREASE(2)	D IY K R IY S
DECREASED	D IH K R IY S T
DECREASED(2)	D IY K R IY S T
DECREASES	D IH K R IY S AH Z
DECREASES(2)	D IH K R IY S IH Z
DECREASES(3)	D IY K R IY S IH Z
DECREASING	D IH K R IY S IH NG
DECREASING(2)	D IY K R IY S IH NG
DECREASINGLY	D IH K R IY S IH NG L IY
DEFEASANCE	D IH F IY Z AH N S
DEFEASANCES	D IY F IY Z AH N S IH Z
DEFEASIBILITIES	D IY F IY Z AH B IH L AH T IY Z
DEFEASIBILITY	D IY F IY Z AH B IH L AH T IY
DEFEASIBLE	D IY F IY Z AH B AH L
DEFEAT	D IH F IY T
DEFEATED	D IH F IY T AH D
DEFEATED(2)	D IH F IY T IH D
DEFEATER	D IH F IY T ER
DEFEATERS	D IH F IY T ER Z
DEFEATING	D IH F IY T IH NG
DEFEATISM	D IH F IY T IH Z AH M
DEFEATISMS	D IH F IY T IH Z AH M Z
DEFEATIST	D IH F IY T IH S T
DEFEATISTS	D IH F IY T IH S T S
DEFEATS	D IH F IY T S
DEFEATURE	D IH F IY CH ER
DEFEATURES	D IH F IY CH ER Z
DEFLEA	D IY F L IY
DEFLEAED	D IY F L IY D
DEFLEAING	D IY F L IY IH NG
DEFLEAS	D IY F L IY Z
DEGREASE	D IY G R IY S
DEGREASED	D IY G R IY S T
DEGREASER	D IY G R IY S ER
DEGREASERS	D IY G R IY S ER Z
DEGREASES	D IY G R IY S IH Z
DEGREASING	D IY G R IY S IH NG
DELEAD	D IY L IY D
DELEADED	D IY L EH D AH D
DELEADING	D IY L IY D IH NG
DELEADS	D IY L IY D Z
DELEAVE	D IY L IY V
DELEAVED	D IY L IY V D
DELEAVES	D IY L IY V Z
DELEAVING	D IY L IY V IH NG
DELINEATE	D IH L IH N IY EY T
DELINEATED	D IH L IH N IY EY T IH D
DELINEATES	D IH L IH N IY EY T S
DELINEATING	D IH L IH N IY EY T IH NG
DELINEATION	D IH L IH N IY EY SH AH N
DELINEATIONS	D IY L IH N IY EY SH AH N Z
DELINEATIVE	D IH L IH N IY EY T IH V
DELINEATOR	D IH L IH N IY EY T ER
DELINEATORS	D IH L IH N IY EY T ER Z
DEMEAN	D IH M IY N
DEMEANED	D IH M IY N D
DEMEANING	D IH M IY N IH NG
DEMEANOR	D IH M IY N ER
DEMEANORS	D IH M IY N ER Z
DEMEANOUR	D AH M IY N AH R
DEMEANOURS	D AH M AH N OW Y AH R Z
DEMEANS	D IH M IY N Z
DENUCLEARIZATION	D IY N UW K L IY ER AH Z EY SH AH N
DENUCLEARIZATIONS	D IY N UW K L IY ER AH Z EY SH AH N Z
DENUCLEARIZE	D IY N UW K L IY ER AY Z
DENUCLEARIZED	D IH N UW K L IY ER AY Z D
DENUCLEARIZED(2)	D IY N UW K L IY ER AY Z D
DENUCLEARIZES	D IY N UW K L IY ER AY Z IH Z
